Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,21.0,95.0,-1.392156862745098,-0.3284313725490196,0.023517060367454067
EMG1_mean,24.0,92.0,-1.6764705882352942,-0.24999999999999997,0.028300810224808855
EMG2_mean,46.0,106.0,-1.2990196078431373,0.11764705882352941,0.03614302310571834
EMG3_mean,61.0,91.0,-0.8235294117647058,-0.4901960784313725,0.1016002032004064
EMG4_mean,9.0,55.0,-1.6078431372549018,-0.9558823529411764,0.05629083598592729
EMG5_mean,72.0,122.0,-0.5196078431372548,1.338235294117647,0.04940558900725645
EMG6_mean,107.0,123.0,1.1519607843137254,3.3921568627450984,0.2112088930060213
EMG7_mean,15.0,112.0,-1.9852941176470584,0.41666666666666663,0.010605817130001608
Accl0_mean,89.0,119.0,0.831236549019608,0.8777238088235295,0.1016002032004064
Accl1_mean,85.0,118.0,-0.4583548823529412,-0.34744322058823535,0.08985641500694766
Accl2_mean,28.0,85.0,0.2913555,0.3475437843137254,0.039641596524572366
Gyr0_mean,67.0,120.0,0.13082107843137256,2.1724877450980395,0.04491105278506854
Gyr1_mean,16.0,64.0,-1.8339460784313724,-0.5094975490196079,0.0527076972521292
Gyr2_mean,29.0,78.0,-2.528799019607843,-0.8897058823529411,0.051023622047244095
Orien0_mean,74.0,106.0,61.42156862745099,65.13235294117646,0.09353376282510141
Orien1_mean,10.0,43.0,27.387254901960787,33.36764705882353,0.08985641500694766
Orien2_mean,43.0,66.0,42.09313725490196,45.95588235294117,0.14041994750656167
EMG0_min,29.0,78.0,-30.0,-11.0,0.051023622047244095
EMG1_min,6.0,92.0,-73.25,-12.0,0.01592904335233958
EMG2_min,21.0,125.0,-43.25,-5.0,0.007799025121859768
EMG3_min,38.0,118.0,-14.0,-6.0,0.019442014192670363
EMG4_min,11.0,96.0,-24.0,-9.0,0.016480498077275224
EMG5_min,42.0,115.0,-34.25,-13.75,0.024260480953394337
EMG6_min,27.0,62.0,-82.75,-43.75,0.0831146106736658
EMG7_min,70.0,130.0,-21.0,-5.25,0.03614302310571834
Accl0_min,103.0,122.0,0.77978475,0.8438722500000001,0.1748031496062992
Accl1_min,104.0,120.0,-0.50854475,-0.4309085,0.2112088930060213
Accl2_min,16.0,51.0,0.182129,0.250122,0.0831146106736658
Gyr0_min,40.0,86.0,-14.109375,-6.9375,0.05629083598592729
Gyr1_min,23.0,91.0,-27.765625,-11.671875,0.028300810224808855
Gyr2_min,82.0,111.0,-18.171875,-11.25,0.10603674540682413
Orien0_min,74.0,121.0,60.0,65.25,0.054461942257217844
Orien1_min,7.0,33.0,25.75,30.0,0.12131816856226306
Orien2_min,51.0,79.0,41.0,45.0,0.11077925604127072
EMG0_max,20.0,86.0,7.75,22.25,0.030085791514866615
EMG1_max,45.0,121.0,16.75,79.0,0.022088148072400043
EMG2_max,6.0,93.0,3.75,36.25,0.015390121689334284
EMG3_max,3.0,83.0,3.75,10.0,0.019442014192670363
EMG4_max,55.0,113.0,10.0,17.0,0.038435873481916454
EMG5_max,37.0,116.0,19.0,48.0,0.020078740157480315
EMG6_max,63.0,95.0,44.0,74.0,0.09353376282510141
EMG7_max,0.0,25.0,4.0,14.0,0.12719563900666261
Accl0_max,88.0,116.0,0.8786619999999999,0.92004375,0.11077925604127072
Accl1_max,69.0,116.0,-0.42468225000000004,-0.2849125,0.054461942257217844
Accl2_max,18.0,85.0,0.33459500000000003,0.4282225,0.029180176007410838
Gyr0_max,42.0,93.0,6.796875,12.765625,0.04784978800726832
Gyr1_max,58.0,118.0,12.1875,40.921875,0.03614302310571834
Gyr2_max,27.0,92.0,6.5,14.03125,0.031018849916487713
Orien0_max,64.0,101.0,62.0,66.0,0.07708246995441359
Orien1_max,10.0,30.0,30.75,36.0,0.1649793775778028
Orien2_max,40.0,57.0,44.0,47.25,0.19772528433945757
EMG0_stdev,37.0,86.0,3.8780907505126154,7.05289325626199,0.051023622047244095
EMG1_stdev,43.0,112.0,5.417777140393324,19.659828577048646,0.027446569178852645
EMG2_stdev,10.0,99.0,2.418754760310376,12.903958370003203,0.014348206474190724
EMG3_stdev,28.0,86.0,2.8429752140874536,4.349020468656684,0.038435873481916454
EMG4_stdev,58.0,108.0,4.174724359678657,5.7056651817505095,0.04940558900725645
EMG5_stdev,55.0,89.0,8.009960902822531,12.052461028971901,0.08638920134983127
EMG6_stdev,72.0,105.0,18.94935372924871,30.24688244375077,0.08985641500694766
EMG7_stdev,1.0,30.0,2.2470576350227,5.05983254373296,0.10603674540682413
Accl0_stdev,23.0,72.0,0.01385848570341161,0.02444189407413748,0.051023622047244095
Accl1_stdev,15.0,96.0,0.01704768678183251,0.04710527211348723,0.018820818129441138
Accl2_stdev,82.0,108.0,0.025648628840929506,0.036609860351259,0.12131816856226306
Gyr0_stdev,50.0,75.0,2.8930696838109005,3.638007767690297,0.12719563900666261
Gyr1_stdev,52.0,109.0,4.327384352164356,10.455925151282804,0.039641596524572366
Gyr2_stdev,33.0,40.0,4.259680701990498,4.656633161137477,0.484251968503937
Orien0_stdev,22.0,94.0,0.2931260602696123,0.9223248109322983,0.025024269226620648
Orien1_stdev,45.0,100.0,1.1243445413072357,2.825672301549249,0.042182227221597306
Orien2_stdev,29.0,45.0,0.49841940497231674,0.6316794744299596,0.2112088930060213
EMG0_energy,36.0,86.0,805.0,2493.0,0.04940558900725645
EMG1_energy,41.0,110.0,1465.5,19234.25,0.027446569178852645
EMG2_energy,11.0,98.0,370.25,8446.5,0.015390121689334284
EMG3_energy,30.0,82.0,434.25,956.5,0.04635269647897787
EMG4_energy,58.0,105.0,921.0,1758.0,0.054461942257217844
EMG5_energy,54.0,87.0,3260.75,7279.75,0.08985641500694766
