Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,77.0,83.0,-0.5980392156862745,-0.5049019607843137,0.5579302587176603
EMG1_mean,11.0,93.0,-2.372549019607843,-0.2352941176470588,0.018214590646048766
EMG2_mean,44.0,70.0,-1.3627450980392157,-0.8823529411764706,0.12131816856226306
EMG3_mean,35.0,109.0,-0.9803921568627452,-0.1911764705882353,0.023517060367454067
EMG4_mean,47.0,118.0,-1.0588235294117647,0.06372549019607844,0.025809273840769902
EMG5_mean,28.0,105.0,-1.4607843137254903,0.14215686274509803,0.021401171007470222
EMG6_mean,59.0,80.0,-0.9313725490196079,-0.3088235294117647,0.1560486757337151
EMG7_mean,11.0,119.0,-2.1470588235294117,0.8774509803921569,0.00635700353969515
Accl0_mean,52.0,60.0,0.7768746029411764,0.7856421715686275,0.42694663167104113
Accl1_mean,38.0,42.0,-0.5886398333333333,-0.5667676421568627,0.7937007874015748
Accl2_mean,3.0,14.0,0.22506289656862744,0.25576838235294114,0.3123359580052493
Gyr0_mean,38.0,64.0,-0.6378676470588235,0.09865196078431374,0.12131816856226306
Gyr1_mean,73.0,78.0,-0.3492647058823529,-0.19577205882352944,0.6561679790026246
Gyr2_mean,110.0,121.0,0.036764705882352935,0.4571078431372549,0.3123359580052493
Orien0_mean,5.0,10.0,54.774509803921575,56.36274509803921,0.6561679790026246
Orien1_mean,72.0,80.0,37.950980392156865,38.48039215686275,0.42694663167104113
Orien2_mean,83.0,108.0,48.04901960784314,51.77450980392156,0.12719563900666261
EMG0_min,74.0,130.0,-12.0,-4.0,0.040889625638900404
EMG1_min,46.0,103.0,-34.0,-9.0,0.039641596524572366
EMG2_min,18.0,121.0,-47.5,-6.0,0.008176862507571167
EMG3_min,28.0,130.0,-16.0,-5.0,0.008562036541548815
EMG4_min,63.0,105.0,-14.0,-8.0,0.06445705914667643
EMG5_min,27.0,128.0,-41.0,-6.75,0.008954763007565234
EMG6_min,108.0,123.0,-17.25,-11.0,0.2263779527559055
EMG7_min,22.0,123.0,-38.0,-7.0,0.008954763007565234
Accl0_min,56.0,92.0,0.6932370000000001,0.76257325,0.08001702489891466
Accl1_min,62.0,81.0,-0.6516115,-0.5937497500000001,0.1748031496062992
Accl2_min,4.0,41.0,0.08715825,0.236816,0.07708246995441359
Gyr0_min,39.0,114.0,-14.28125,-4.171875,0.022793203481143803
Gyr1_min,28.0,115.0,-24.046875,-7.3125,0.015390121689334284
Gyr2_min,114.0,129.0,-10.765625,-3.015625,0.2263779527559055
Orien0_min,1.0,15.0,52.75,56.0,0.24356955380577425
Orien1_min,73.0,84.0,36.0,37.0,0.3123359580052493
Orien2_min,92.0,106.0,48.0,50.0,0.24356955380577425
EMG0_max,2.0,49.0,4.0,11.0,0.054461942257217844
EMG1_max,4.0,70.0,2.0,33.0,0.030085791514866615
EMG2_max,9.0,70.0,5.0,24.25,0.03505207010414021
EMG3_max,12.0,113.0,4.0,17.0,0.008954763007565234
EMG4_max,9.0,122.0,5.0,21.75,0.004696781323387209
EMG5_max,30.0,59.0,15.0,24.0,0.10603674540682413
EMG6_max,2.0,26.0,4.75,20.25,0.1335433070866142
EMG7_max,5.0,62.0,5.75,22.0,0.039641596524572366
Accl0_max,40.0,79.0,0.8070069999999999,0.867188,0.0716535433070866
Accl1_max,32.0,52.0,-0.54126,-0.46874975,0.1649793775778028
Accl2_max,3.0,36.0,0.27758775,0.35766625,0.08985641500694766
Gyr0_max,20.0,57.0,4.21875,8.578125,0.07708246995441359
Gyr1_max,57.0,122.0,12.109375,58.8125,0.031018849916487713
Gyr2_max,40.0,115.0,7.171875,29.96875,0.022793203481143803
Orien0_max,4.0,7.0,55.75,57.0,1.0
