Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,4.0,89.0,-3.1470588235294112,-0.42647058823529416,0.016480498077275224
EMG1_mean,16.0,40.0,-2.0098039215686274,-1.1764705882352942,0.1335433070866142
EMG2_mean,0.0,60.0,-12.357843137254902,-1.0343137254901964,0.03614302310571834
EMG3_mean,2.0,120.0,-2.0294117647058822,0.049019607843137254,0.003176073579037917
EMG4_mean,0.0,124.0,-2.7156862745098045,0.1715686274509804,0.0015118110236220486
EMG5_mean,29.0,113.0,-1.3872549019607843,0.37254901960784315,0.017044928207503477
EMG6_mean,0.0,35.0,-9.480392156862745,-1.642156862745098,0.0831146106736658
EMG7_mean,14.0,119.0,-2.0735294117647056,0.7156862745098039,0.007428316743425941
Accl0_mean,77.0,100.0,0.8194172892156862,0.8405929313725491,0.14041994750656167
Accl1_mean,65.0,75.0,-0.5051892352941176,-0.4784055,0.34359341445955616
Accl2_mean,5.0,15.0,0.23021977941176466,0.25771914215686265,0.34359341445955616
Gyr0_mean,7.0,55.0,-1.7490808823529411,-0.16850490196078433,0.0527076972521292
Gyr1_mean,26.0,82.0,-1.4304534313725488,-0.006433823529411765,0.040889625638900404
Gyr2_mean,7.0,16.0,-4.498774509803923,-3.6299019607843137,0.3811023622047244
Orien0_mean,12.0,19.0,56.803921568627445,57.94117647058823,0.484251968503937
Orien1_mean,22.0,47.0,31.249999999999996,33.71078431372549,0.12719563900666261
Orien2_mean,68.0,76.0,46.06372549019608,47.11274509803923,0.42694663167104113
EMG0_min,15.0,39.0,-40.25,-22.0,0.1335433070866142
EMG1_min,69.0,93.0,-20.25,-12.0,0.1335433070866142
EMG2_min,0.0,8.0,-112.25,-82.75,0.42694663167104113
EMG3_min,7.0,42.0,-24.0,-13.0,0.0831146106736658
EMG4_min,13.0,80.0,-23.25,-11.0,0.029180176007410838
EMG5_min,26.0,62.0,-41.25,-27.75,0.08001702489891466
EMG6_min,2.0,31.0,-128.0,-77.0,0.10603674540682413
EMG7_min,59.0,92.0,-22.0,-15.0,0.08985641500694766
Accl0_min,60.0,70.0,0.69946275,0.7255862499999999,0.34359341445955616
Accl1_min,47.0,57.0,-0.70434575,-0.65551775,0.34359341445955616
Accl2_min,18.0,42.0,0.19567875,0.2373045,0.1335433070866142
Gyr0_min,20.0,53.0,-18.46875,-11.8125,0.08985641500694766
Gyr1_min,45.0,116.0,-19.34375,-6.546875,0.025809273840769902
Gyr2_min,12.0,38.0,-50.59375,-35.328125,0.12131816856226306
Orien0_min,10.0,19.0,55.75,57.0,0.3811023622047244
Orien1_min,22.0,45.0,29.0,32.0,0.14041994750656167
Orien2_min,72.0,82.0,44.0,46.0,0.34359341445955616
EMG0_max,93.0,123.0,26.0,66.0,0.1016002032004064
EMG1_max,17.0,76.0,7.0,37.25,0.037270341207349074
EMG2_max,116.0,129.0,58.75,86.5,0.26321709786276715
EMG3_max,66.0,99.0,8.0,13.0,0.08985641500694766
EMG4_max,83.0,119.0,12.0,19.0,0.08001702489891466
EMG5_max,101.0,115.0,37.0,46.25,0.24356955380577425
EMG6_max,90.0,123.0,68.0,106.0,0.08985641500694766
EMG7_max,38.0,103.0,17.0,40.0,0.031018849916487713
Accl0_max,67.0,96.0,0.8486327499999999,0.8853759999999999,0.10603674540682413
Accl1_max,58.0,82.0,-0.45678725,-0.39709475,0.1335433070866142
Accl2_max,7.0,23.0,0.288452,0.34301725,0.2112088930060213
Gyr0_max,15.0,47.0,3.609375,7.390625,0.09353376282510141
Gyr1_max,59.0,84.0,12.5625,18.546875,0.12719563900666261
Gyr2_max,2.0,78.0,2.359375,10.953125,0.022088148072400043
Orien0_max,12.0,21.0,57.75,59.0,0.3811023622047244
Orien1_max,68.0,76.0,41.0,42.0,0.42694663167104113
Orien2_max,69.0,83.0,49.0,50.25,0.24356955380577425
EMG0_stdev,99.0,118.0,10.786750125922651,19.1395633964845,0.1748031496062992
EMG1_stdev,35.0,63.0,4.69394670306644,8.577550612321488,0.11077925604127072
EMG2_stdev,125.0,130.0,31.054364766018317,39.33400662470144,0.6561679790026246
EMG3_stdev,98.0,122.0,4.703815562493466,7.963125170879842,0.1335433070866142
EMG4_stdev,100.0,119.0,5.327251336521798,6.513012330248553,0.1748031496062992
EMG5_stdev,103.0,120.0,13.073589476302145,16.742920156996902,0.19772528433945757
EMG6_stdev,120.0,130.0,37.64781988367297,48.631959907155874,0.34359341445955616
EMG7_stdev,76.0,90.0,9.161759826006598,10.232538589845303,0.24356955380577425
Accl0_stdev,90.0,110.0,0.030680851925560183,0.04829292561321573,0.1649793775778028
