Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,48.0,114.0,-0.9215686274509804,0.2450980392156863,0.03790570954750059
EMG1_mean,23.0,75.0,-1.7303921568627452,-0.7401960784313726,0.05840071877807727
EMG2_mean,7.0,130.0,-2.7450980392156863,2.0490196078431375,0.002240143369175627
EMG3_mean,22.0,124.0,-1.1200980392156863,0.18627450980392157,0.010787486515641858
EMG4_mean,52.0,118.0,-1.0245098039215685,0.06372549019607844,0.03790570954750059
EMG5_mean,10.0,123.0,-1.9705882352941178,1.7892156862745099,0.00591757170704539
EMG6_mean,9.0,105.0,-4.651960784313726,1.1421568627450982,0.013909343806251022
EMG7_mean,59.0,109.0,-0.7254901960784313,0.27941176470588236,0.06224712107065049
Accl0_mean,73.0,102.0,0.8117580294117647,0.8421427279411765,0.13359788359788358
Accl1_mean,70.0,106.0,-0.495296769607843,-0.42212632843137254,0.10081510081510081
Accl2_mean,37.0,67.0,0.3003168578431372,0.32729441666666664,0.12800819252432155
Gyr0_mean,3.0,108.0,-2.5628063725490193,1.0214460784313726,0.009359089547768791
Gyr1_mean,23.0,93.0,-1.5180759803921569,0.32352941176470584,0.03353454057679409
Gyr2_mean,88.0,122.0,-0.7264093137254901,0.5502450980392156,0.108843537414966
Orien0_mean,51.0,96.0,60.10784313725491,63.07352941176471,0.0733264320220842
Orien1_mean,29.0,57.0,31.96078431372549,35.230392156862756,0.13957307060755336
Orien2_mean,111.0,129.0,51.882352941176464,59.24019607843138,0.23391812865497075
EMG0_min,46.0,121.0,-20.0,-6.0,0.028717627401837927
EMG1_min,29.0,105.0,-44.25,-9.0,0.02782931354359925
EMG2_min,17.0,66.0,-54.0,-23.75,0.06428571428571428
EMG3_min,46.0,95.0,-13.0,-7.0,0.06428571428571428
EMG4_min,32.0,123.0,-19.0,-6.75,0.01682194616977226
EMG5_min,6.0,71.0,-61.0,-25.0,0.03908128908128908
EMG6_min,0.0,29.0,-128.0,-80.5,0.13359788359788358
EMG7_min,58.0,119.0,-22.0,-8.0,0.044162826420890935
Accl0_min,79.0,110.0,0.7459717499999999,0.79675325,0.12276785714285714
Accl1_min,79.0,103.0,-0.6003419999999999,-0.51098625,0.16825396825396824
Accl2_min,46.0,70.0,0.24084475,0.275391,0.16825396825396824
Gyr0_min,45.0,93.0,-13.65625,-5.859375,0.06640751538710722
Gyr1_min,15.0,73.0,-34.796875,-13.859375,0.048426150121065374
Gyr2_min,26.0,120.0,-40.203125,-8.0625,0.015037593984962403
Orien0_min,52.0,99.0,59.0,62.0,0.06861772486772487
Orien1_min,32.0,61.0,30.0,34.0,0.13359788359788358
