Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,16.0,98.0,-1.6127450980392155,-0.28431372549019607,0.018214590646048766
EMG1_mean,14.0,111.0,-2.13235294117647,0.37745098039215685,0.010605817130001608
EMG2_mean,39.0,97.0,-1.4558823529411764,-0.24509803921568626,0.038435873481916454
EMG3_mean,24.0,120.0,-1.0539215686274512,0.08333333333333334,0.011039857131260657
EMG4_mean,20.0,114.0,-1.3333333333333333,-0.07352941176470588,0.011935350186489849
EMG5_mean,17.0,103.0,-1.7058823529411764,0.06862745098039216,0.01592904335233958
EMG6_mean,20.0,71.0,-2.892156862745098,-0.5245098039215687,0.04784978800726832
EMG7_mean,8.0,103.0,-2.4215686274509807,-0.03431372549019608,0.01148293963254593
Accl0_mean,31.0,44.0,0.6915163284313728,0.7468764656862744,0.26321709786276715
Accl1_mean,41.0,66.0,-0.5718371862745099,-0.5042413627450981,0.12719563900666261
Accl2_mean,89.0,125.0,0.3717519656862745,0.5039206078431373,0.08001702489891466
Gyr0_mean,126.0,130.0,3.689644607843137,5.772977941176471,0.7937007874015748
Gyr1_mean,0.0,6.0,-8.261029411764705,-5.407781862745098,0.5579302587176603
Gyr2_mean,6.0,108.0,-4.619332107843137,0.03431372549019608,0.008562036541548815
Orien0_mean,71.0,115.0,61.215686274509814,66.72549019607844,0.06019247594050743
Orien1_mean,85.0,99.0,40.78921568627451,45.50000000000001,0.24356955380577425
Orien2_mean,57.0,114.0,44.20098039215687,54.220588235294116,0.039641596524572366
EMG0_min,43.0,122.0,-20.25,-6.0,0.020078740157480315
EMG1_min,36.0,111.0,-40.25,-8.0,0.022793203481143803
EMG2_min,15.0,113.0,-61.0,-8.0,0.010180545613616483
EMG3_min,41.0,93.0,-13.0,-7.75,0.04635269647897787
EMG4_min,42.0,91.0,-16.0,-9.75,0.051023622047244095
EMG5_min,43.0,94.0,-34.0,-19.75,0.04784978800726832
EMG6_min,7.0,87.0,-111.75,-25.75,0.019442014192670363
EMG7_min,19.0,76.0,-41.0,-19.0,0.039641596524572366
Accl0_min,0.0,38.0,0.006347749999999999,0.62463375,0.07429840500706643
Accl1_min,5.0,34.0,-0.8944095,-0.73889175,0.10603674540682413
Accl2_min,12.0,127.0,0.15087899999999999,0.444336,0.00407276676622319
Gyr0_min,35.0,69.0,-14.515625,-9.1875,0.08638920134983127
Gyr1_min,1.0,8.0,-86.093875,-53.5625,0.484251968503937
Gyr2_min,6.0,27.0,-64.53125,-38.25,0.1560486757337151
Orien0_min,61.0,86.0,59.0,61.0,0.12719563900666261
Orien1_min,70.0,89.0,36.0,38.25,0.1748031496062992
Orien2_min,45.0,93.0,40.75,48.0,0.0527076972521292
EMG0_max,1.0,51.0,3.75,11.0,0.04940558900725645
EMG1_max,9.0,125.0,3.0,85.75,0.003768759674271486
EMG2_max,17.0,59.0,6.75,21.0,0.06445705914667643
EMG3_max,15.0,102.0,5.0,13.25,0.015390121689334284
EMG4_max,22.0,93.0,6.0,13.25,0.025809273840769902
EMG5_max,6.0,65.0,8.0,27.0,0.037270341207349074
EMG6_max,23.0,79.0,18.0,62.0,0.040889625638900404
EMG7_max,41.0,105.0,18.0,41.25,0.03198061780738946
Accl0_max,38.0,129.0,0.80175775,1.3033475,0.013351591920575149
Accl1_max,45.0,90.0,-0.48815925,-0.37402325,0.058199246833276284
Accl2_max,104.0,130.0,0.495239,0.866211,0.12131816856226306
Gyr0_max,127.0,130.0,54.671875,78.921875,1.0
Gyr1_max,5.0,79.0,4.4375,17.515625,0.023517060367454067
Gyr2_max,97.0,122.0,15.609375,38.453125,0.12719563900666261
Orien0_max,65.0,122.0,62.0,70.0,0.039641596524572366
Orien1_max,100.0,121.0,51.0,62.25,0.1560486757337151
Orien2_max,54.0,120.0,47.0,58.0,0.030085791514866615
EMG0_stdev,18.0,65.0,2.8586143455053654,5.023525605701784,0.054461942257217844
EMG1_stdev,29.0,78.0,4.011647757421162,12.988473767137918,0.051023622047244095
EMG2_stdev,18.0,76.0,3.4376811774978324,10.364887035321242,0.038435873481916454
EMG3_stdev,46.0,78.0,3.1646137260053013,4.111242712113392,0.09353376282510141
EMG4_stdev,36.0,94.0,3.610237261146719,4.988756657245031,0.038435873481916454
EMG5_stdev,27.0,61.0,5.5022107441174235,9.034163155030384,0.08638920134983127
EMG6_stdev,35.0,77.0,8.81673297878552,21.396440164399987,0.06445705914667643
EMG7_stdev,67.0,98.0,8.41986888009381,11.654007288016823,0.09744094488188976
Accl0_stdev,118.0,130.0,0.0618929004209174,0.19276735453782784,0.2858873410054512
Accl1_stdev,117.0,130.0,0.07136867606483291,0.1480572886877143,0.26321709786276715
Accl2_stdev,94.0,130.0,0.028078309440945887,0.1275869906539322,0.08001702489891466
Gyr0_stdev,124.0,128.0,15.13755120426157,19.531249003843836,0.7937007874015748
Gyr1_stdev,117.0,125.0,15.53038960660234,22.36235644561782,0.42694663167104113
Gyr2_stdev,112.0,124.0,13.368587363018252,19.4847386427193,0.2858873410054512
Orien0_stdev,100.0,127.0,1.0562635941246574,3.2887492599241916,0.1158605174353206
Orien1_stdev,123.0,130.0,4.948559656394902,9.631912250000017,0.484251968503937
Orien2_stdev,94.0,124.0,1.4757479368194522,3.3790686043723133,0.1016002032004064
EMG0_energy,18.0,62.0,460.0,1318.75,0.06019247594050743
EMG1_energy,28.0,77.0,806.5,8485.25,0.051023622047244095
EMG2_energy,17.0,76.0,593.0,5473.5,0.037270341207349074
EMG3_energy,46.0,76.0,549.75,880.0,0.1016002032004064
EMG4_energy,37.0,84.0,744.25,1242.0,0.054461942257217844
EMG5_energy,29.0,60.0,1671.75,4120.25,0.09744094488188976
EMG6_energy,35.0,77.0,4017.0,23300.5,0.06445705914667643
EMG7_energy,65.0,96.0,3613.0,6811.0,0.09744094488188976
Accl0_energy,31.0,44.0,25.26881634394175,29.139255005382758,0.26321709786276715
Accl1_energy,65.0,89.0,13.439921296234505,17.473381566693007,0.1335433070866142
Accl2_energy,88.0,124.0,7.118119137497251,13.025694001521995,0.08001702489891466
Gyr0_energy,124.0,128.0,12589.232421875,19726.9638671875,0.7937007874015748
Gyr1_energy,118.0,125.0,13788.8935546875,28340.079867250002,0.484251968503937
Gyr2_energy,111.0,121.0,9079.6064453125,16478.3984375,0.34359341445955616
Orien0_energy,69.0,113.0,191109.0,227938.5,0.06019247594050743
Orien1_energy,85.0,98.0,88405.75,109441.0,0.26321709786276715
Orien2_energy,55.0,111.0,99725.25,150352.75,0.040889625638900404
