Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,39.0,118.0,-1.0980392156862746,0.6715686274509803,0.025297619047619048
EMG1_mean,42.0,85.0,-1.1617647058823528,-0.49999999999999994,0.07846320346320347
EMG2_mean,45.0,71.0,-1.3088235294117647,-0.8602941176470589,0.15285126396237508
EMG3_mean,33.0,114.0,-0.9852941176470589,-0.05882352941176471,0.023712737127371278
EMG4_mean,24.0,121.0,-1.2990196078431373,0.1127450980392157,0.01336248785228377
EMG5_mean,37.0,124.0,-1.2450980392156863,2.004901960784314,0.019390331890331892
EMG6_mean,26.0,108.0,-2.504901960784314,1.230392156862745,0.02294893861158922
EMG7_mean,48.0,105.0,-0.9068627450980393,-0.014705882352941176,0.049945265462506834
Accl0_mean,78.0,86.0,0.8202096176470587,0.8295204166666663,0.5379188712522045
Accl1_mean,84.0,94.0,-0.45884317156862753,-0.44826135294117647,0.4329004329004329
Accl2_mean,70.0,82.0,0.32977887254901966,0.3421654705882353,0.3601953601953602
Gyr0_mean,66.0,93.0,0.11948529411764709,0.6571691176470589,0.1459750566893424
Gyr1_mean,22.0,63.0,-1.53125,-0.5346200980392157,0.08408919123204837
Gyr2_mean,67.0,102.0,-1.0174632352941175,-0.3446691176470589,0.10471781305114637
Orien0_mean,89.0,94.0,62.99509803921569,63.044117647058826,0.8267195767195767
Orien1_mean,41.0,55.0,33.17156862745099,34.61764705882353,0.30687830687830686
Orien2_mean,118.0,122.0,57.57843137254902,58.200980392156865,1.0
EMG0_min,63.0,105.0,-14.25,-8.75,0.0812107788851975
EMG1_min,121.0,130.0,-5.0,-3.0,0.4801587301587302
EMG2_min,68.0,98.0,-23.25,-12.0,0.12800819252432155
EMG3_min,104.0,129.0,-7.0,-5.0,0.16025641025641027
EMG4_min,78.0,128.0,-12.0,-5.75,0.06224712107065049
EMG5_min,78.0,121.0,-24.0,-10.75,0.07846320346320347
EMG6_min,50.0,82.0,-60.25,-29.0,0.11784511784511784
EMG7_min,110.0,128.0,-10.25,-6.0,0.23391812865497075
Accl0_min,83.0,108.0,0.750977,0.79565425,0.16025641025641027
Accl1_min,95.0,111.0,-0.54528825,-0.48999025000000007,0.2661064425770308
Accl2_min,93.0,99.0,0.31018075,0.32495125,0.7029478458049886
Gyr0_min,85.0,128.0,-7.078125,-1.921875,0.07846320346320347
Gyr1_min,55.0,108.0,-15.8125,-8.484375,0.056584362139917695
Gyr2_min,88.0,124.0,-16.453125,-7.109375,0.10081510081510081
Orien0_min,105.0,117.0,63.0,63.25,0.3601953601953602
Orien1_min,48.0,58.0,32.0,33.0,0.4329004329004329
Orien2_min,117.0,123.0,56.0,58.0,0.7029478458049886
EMG0_max,36.0,84.0,10.0,21.25,0.06640751538710722
EMG1_max,0.0,15.0,1.0,6.25,0.28521825396825395
EMG2_max,13.0,32.0,5.75,12.0,0.22023809523809523
EMG3_max,1.0,54.0,2.75,8.0,0.056584362139917695
EMG4_max,2.0,71.0,4.0,11.0,0.03458049886621316
EMG5_max,35.0,112.0,17.0,45.0,0.026963776963776966
EMG6_max,64.0,96.0,45.75,74.25,0.11784511784511784
EMG7_max,3.0,21.0,4.75,12.25,0.23391812865497075
Accl0_max,57.0,68.0,0.832764,0.85107425,0.39351851851851855
Accl1_max,71.0,76.0,-0.4208985,-0.40771475,0.8267195767195767
Accl2_max,32.0,84.0,0.35290499999999997,0.422363,0.05840071877807727
Gyr0_max,23.0,80.0,4.71875,10.25,0.049945265462506834
Gyr1_max,1.0,25.0,1.890625,7.046875,0.16825396825396824
Gyr2_max,4.0,61.0,2.78125,9.03125,0.049945265462506834
Orien0_max,77.0,97.0,63.0,64.25,0.20786092214663643
Orien1_max,21.0,58.0,35.0,40.0,0.09711779448621553
Orien2_max,114.0,119.0,57.75,58.0,0.8267195767195767
EMG0_stdev,46.0,72.0,4.267064905667377,5.543487856629621,0.15285126396237508
EMG1_stdev,0.0,9.0,1.0840810199962947,1.761068552061624,0.4801587301587302
EMG2_stdev,17.0,39.0,3.3090402927435445,5.535305292252359,0.1863354037267081
EMG3_stdev,2.0,21.0,1.9510090888166176,2.6588332083163264,0.22023809523809523
EMG4_stdev,4.0,45.0,2.3805829233494946,3.9297099332439447,0.08408919123204837
EMG5_stdev,42.0,62.0,7.132340273169081,9.153492077692253,0.20786092214663643
EMG6_stdev,65.0,85.0,16.934968578155978,23.99862804012715,0.20786092214663643
EMG7_stdev,5.0,18.0,2.6675992824094887,4.005178981899914,0.33163265306122447
Accl0_stdev,6.0,54.0,0.007817221245519422,0.018081988612593837,0.06640751538710722
Accl1_stdev,6.0,49.0,0.012775012400340522,0.026466992414625603,0.07846320346320347
Accl2_stdev,0.0,67.0,0.007265967412138223,0.021876319917322896,0.03676470588235294
Gyr0_stdev,0.0,25.0,1.146870046499679,2.2557799203523627,0.16025641025641027
Gyr1_stdev,3.0,60.0,2.372940726271195,4.614824674097146,0.049945265462506834
Gyr2_stdev,2.0,44.0,2.0828066423019003,4.938063308216453,0.0812107788851975
Orien0_stdev,6.0,13.0,0.0,0.20643826140154162,0.6101190476190477
Orien1_stdev,16.0,73.0,0.5841805443277258,1.789174953949412,0.049945265462506834
Orien2_stdev,0.0,42.0,-0.035007002100700235,0.5877212925351152,0.0812107788851975
EMG0_energy,46.0,71.0,971.25,1553.75,0.16025641025641027
EMG1_energy,0.0,8.0,91.0,174.5,0.5379188712522045
EMG2_energy,18.0,40.0,646.25,1658.25,0.1863354037267081
EMG3_energy,4.0,16.0,236.25,353.5,0.3601953601953602
EMG4_energy,4.0,43.0,364.25,817.25,0.09027777777777778
EMG5_energy,41.0,63.0,2638.5,4357.5,0.1863354037267081
EMG6_energy,65.0,83.0,14408.5,29215.5,0.23391812865497075
EMG7_energy,3.0,18.0,358.75,852.0,0.28521825396825395
Accl0_energy,75.0,85.0,34.3065924515535,35.09806568194574,0.4329004329004329
Accl1_energy,33.0,41.0,10.238395120384746,10.759912921799252,0.5379188712522045
Accl2_energy,68.0,80.0,5.5631322972029995,6.000931467895751,0.3601953601953602
Gyr0_energy,0.0,20.0,63.45703125,261.9501953125,0.20786092214663643
Gyr1_energy,4.0,60.0,323.38671875,1183.5849609375,0.05151768309663046
Gyr2_energy,2.0,44.0,228.5810546875,1265.0068359375,0.0812107788851975
Orien0_energy,85.0,90.0,201856.5,202673.0,0.8267195767195767
Orien1_energy,37.0,52.0,55923.5,61257.0,0.28521825396825395
Orien2_energy,116.0,120.0,169347.25,172772.25,1.0
