Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,17.0,125.0,-1.5196078431372548,1.7647058823529413,0.00635700353969515
EMG1_mean,13.0,129.0,-2.1813725490196076,2.4656862745098036,0.003768759674271486
EMG2_mean,11.0,104.0,-2.4362745098039214,0.024509803921568627,0.012397386496900652
EMG3_mean,5.0,96.0,-1.6323529411764706,-0.4509803921568628,0.013351591920575149
EMG4_mean,22.0,61.0,-1.3186274509803921,-0.9166666666666667,0.0716535433070866
EMG5_mean,13.0,48.0,-1.8970588235294117,-0.9460784313725491,0.0831146106736658
EMG6_mean,41.0,96.0,-1.3676470588235294,0.3823529411764706,0.042182227221597306
EMG7_mean,34.0,117.0,-1.284313725490196,0.6568627450980392,0.017622797150356206
Accl0_mean,8.0,26.0,0.5828019509803921,0.6839767254901962,0.18566100290095316
Accl1_mean,7.0,25.0,-0.7274313725490194,-0.6327503529411763,0.18566100290095316
Accl2_mean,93.0,113.0,0.3792221887254902,0.4141821960784313,0.1649793775778028
Gyr0_mean,57.0,117.0,-0.16237745098039214,1.5479473039215685,0.03614302310571834
Gyr1_mean,72.0,102.0,-0.37285539215686275,0.6393995098039216,0.1016002032004064
Gyr2_mean,13.0,90.0,-3.9846813725490198,-0.5842524509803921,0.021401171007470222
Orien0_mean,29.0,69.0,58.81372549019608,61.18627450980392,0.06913769925100827
Orien1_mean,104.0,121.0,47.01470588235294,54.029411764705884,0.19772528433945757
Orien2_mean,60.0,70.0,44.48529411764706,46.254901960784316,0.34359341445955616
EMG0_min,26.0,113.0,-31.5,-7.0,0.015390121689334284
EMG1_min,2.0,51.0,-83.75,-30.0,0.051023622047244095
EMG2_min,79.0,106.0,-19.25,-9.75,0.1158605174353206
EMG3_min,31.0,103.0,-15.0,-7.0,0.025024269226620648
EMG4_min,19.0,116.0,-20.0,-7.0,0.010605817130001608
EMG5_min,40.0,119.0,-35.0,-12.5,0.020078740157480315
EMG6_min,87.0,108.0,-26.25,-17.0,0.1560486757337151
EMG7_min,32.0,103.0,-32.25,-13.0,0.025809273840769902
Accl0_min,9.0,32.0,0.40856925,0.6054685000000001,0.14041994750656167
Accl1_min,7.0,41.0,-0.8837889999999999,-0.722046,0.08638920134983127
Accl2_min,1.0,118.0,0.0048828,0.36889625,0.003469905244895233
Gyr0_min,46.0,127.0,-13.578125,-2.046875,0.018820818129441138
Gyr1_min,77.0,124.0,-13.625,-3.40625,0.054461942257217844
Gyr2_min,12.0,115.0,-51.609375,-10.09375,0.008176862507571167
Orien0_min,24.0,56.0,57.0,59.0,0.09353376282510141
Orien1_min,111.0,123.0,46.75,51.25,0.2858873410054512
Orien2_min,64.0,82.0,44.0,46.0,0.18566100290095316
EMG0_max,33.0,120.0,9.0,63.0,0.015390121689334284
EMG1_max,76.0,120.0,36.5,77.25,0.06019247594050743
EMG2_max,23.0,64.0,9.0,22.0,0.0667416572928384
EMG3_max,11.0,67.0,4.0,8.0,0.040889625638900404
EMG4_max,17.0,74.0,6.0,11.25,0.039641596524572366
EMG5_max,15.0,36.0,11.0,19.0,0.1560486757337151
EMG6_max,5.0,83.0,7.0,64.25,0.020731585766969002
EMG7_max,70.0,109.0,23.0,43.25,0.0716535433070866
Accl0_max,7.0,128.0,0.631958,1.19519,0.002323480056796178
Accl1_max,7.0,26.0,-0.654175,-0.553711,0.1748031496062992
Accl2_max,70.0,127.0,0.40686075,0.6770017500000001,0.039641596524572366
Gyr0_max,19.0,114.0,4.125,23.4375,0.01148293963254593
Gyr1_max,18.0,52.0,6.4375,11.390625,0.08638920134983127
Gyr2_max,6.0,44.0,3.1875,7.640625,0.07429840500706643
Orien0_max,36.0,69.0,60.0,62.0,0.08985641500694766
Orien1_max,95.0,123.0,49.0,64.25,0.11077925604127072
Orien2_max,54.0,65.0,47.0,48.25,0.3123359580052493
EMG0_stdev,14.0,105.0,2.7214054307443276,13.110900834815318,0.013351591920575149
EMG1_stdev,88.0,122.0,13.799156103829805,22.66524349356907,0.08638920134983127
EMG2_stdev,29.0,58.0,4.469591666229533,6.943288766250536,0.10603674540682413
EMG3_stdev,10.0,65.0,2.420060479313059,3.725587202039432,0.042182227221597306
EMG4_stdev,6.0,97.0,2.7210110657609787,5.278652373530044,0.013351591920575149
EMG5_stdev,19.0,41.0,5.006947999043865,7.077310010728359,0.14789455665867854
EMG6_stdev,8.0,60.0,4.480664364567485,13.984588587080694,0.04635269647897787
EMG7_stdev,58.0,82.0,7.8800770745991615,9.675867262181741,0.1335433070866142
Accl0_stdev,46.0,121.0,0.016998825709994735,0.0829323641764774,0.022793203481143803
Accl1_stdev,30.0,106.0,0.021344962985399132,0.05555488193065682,0.022088148072400043
Accl2_stdev,11.0,122.0,0.010995425547091452,0.06585125328787736,0.00534308211473566
Gyr0_stdev,9.0,87.0,1.881013202221911,3.990764543041832,0.020731585766969002
Gyr1_stdev,2.0,31.0,1.941370113567217,3.5825763906037706,0.10603674540682413
Gyr2_stdev,16.0,112.0,3.067023903139954,13.507529983429492,0.011039857131260657
Orien0_stdev,32.0,96.0,0.34754037711536473,0.9996594669238609,0.03198061780738946
Orien1_stdev,4.0,112.0,0.379869445573611,3.8011087441177565,0.00635700353969515
Orien2_stdev,12.0,78.0,0.3925569009019202,1.0238947732287167,0.030085791514866615
EMG0_energy,13.0,104.0,397.75,8776.0,0.013351591920575149
EMG1_energy,86.0,122.0,9701.5,25871.25,0.08001702489891466
EMG2_energy,29.0,53.0,1092.5,2414.75,0.1335433070866142
EMG3_energy,12.0,63.0,335.75,745.0,0.04784978800726832
EMG4_energy,9.0,96.0,432.0,1474.25,0.015390121689334284
EMG5_energy,19.0,40.0,1303.75,2633.5,0.1560486757337151
EMG6_energy,8.0,60.0,1095.25,9811.25,0.04635269647897787
EMG7_energy,57.0,80.0,3123.5,4698.0,0.14041994750656167
Accl0_energy,8.0,27.0,17.456079361042498,24.209802603546752,0.1748031496062992
Accl1_energy,104.0,122.0,20.4803261209985,27.140831462795497,0.18566100290095316
Accl2_energy,94.0,111.0,7.545098685966688,8.75464744483025,0.19772528433945757
Gyr0_energy,9.0,88.0,189.462890625,904.513671875,0.020078740157480315
Gyr1_energy,2.0,27.0,191.4345703125,648.599609375,0.12719563900666261
Gyr2_energy,16.0,112.0,487.1103515625,9985.0615234375,0.011039857131260657
Orien0_energy,28.0,68.0,176446.0,190983.0,0.06913769925100827
Orien1_energy,104.0,120.0,112840.75,149649.5,0.2112088930060213
Orien2_energy,57.0,67.0,100773.0,109159.0,0.34359341445955616
