Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,68.0,113.0,-0.7254901960784313,0.21568627450980396,0.058199246833276284
EMG1_mean,0.0,126.0,-3.392156862745098,1.9754901960784317,0.0009920019840039662
EMG2_mean,50.0,117.0,-1.196078431372549,0.6568627450980392,0.029180176007410838
EMG3_mean,45.0,113.0,-0.9215686274509804,-0.05882352941176471,0.028300810224808855
EMG4_mean,34.0,114.0,-1.1764705882352942,-0.05392156862745098,0.019442014192670363
EMG5_mean,38.0,121.0,-1.176470588235294,1.093137254901961,0.017622797150356206
EMG6_mean,37.0,102.0,-1.6127450980392155,0.9558823529411764,0.031018849916487713
EMG7_mean,13.0,115.0,-2.120098039215686,0.5637254901960784,0.008562036541548815
Accl0_mean,35.0,40.0,0.7262274107843137,0.7396408431372549,0.6561679790026246
Accl1_mean,29.0,33.0,-0.6206198382352941,-0.60195025,0.7937007874015748
Accl2_mean,49.0,61.0,0.30843099999999996,0.3177681764705882,0.2858873410054512
Gyr0_mean,68.0,102.0,0.14307598039215685,0.8428308823529412,0.08638920134983127
Gyr1_mean,27.0,83.0,-1.3679534313725492,0.0024509803921568627,0.040889625638900404
Gyr2_mean,73.0,105.0,-0.9767156862745098,-0.10049019607843138,0.09353376282510141
Orien0_mean,18.0,23.0,57.90196078431373,58.13725490196079,0.6561679790026246
Orien1_mean,90.0,94.0,41.84803921568627,42.946078431372555,0.7937007874015748
Orien2_mean,92.0,110.0,49.48529411764707,51.82843137254902,0.18566100290095316
EMG0_min,21.0,73.0,-38.25,-12.0,0.04635269647897787
EMG1_min,16.0,82.0,-57.25,-16.0,0.030085791514866615
EMG2_min,110.0,122.0,-9.0,-5.75,0.2858873410054512
EMG3_min,70.0,124.0,-10.0,-6.0,0.04352183249821045
EMG4_min,35.0,118.0,-18.0,-7.0,0.017622797150356206
EMG5_min,73.0,113.0,-25.0,-14.0,0.06913769925100827
EMG6_min,107.0,128.0,-18.0,-8.75,0.1560486757337151
EMG7_min,2.0,95.0,-68.25,-15.0,0.012397386496900652
Accl0_min,46.0,62.0,0.654175,0.704224,0.2112088930060213
Accl1_min,48.0,62.0,-0.70129425,-0.64831525,0.24356955380577425
Accl2_min,7.0,77.0,0.094116225,0.28186025,0.026616391260951534
Gyr0_min,16.0,96.0,-20.59375,-5.671875,0.019442014192670363
Gyr1_min,14.0,98.0,-38.96875,-10.90625,0.017044928207503477
Gyr2_min,31.0,114.0,-37.15625,-10.46875,0.017622797150356206
Orien0_min,16.0,35.0,56.0,58.0,0.1748031496062992
Orien1_min,78.0,99.0,36.0,41.0,0.1560486757337151
Orien2_min,95.0,113.0,48.0,51.25,0.18566100290095316
EMG0_max,32.0,115.0,9.0,56.75,0.017622797150356206
EMG1_max,69.0,129.0,31.0,105.0,0.03614302310571834
EMG2_max,5.0,54.0,3.0,18.0,0.051023622047244095
EMG3_max,8.0,70.0,4.0,9.0,0.03399575053118361
EMG4_max,24.0,57.0,6.0,10.0,0.08985641500694766
EMG5_max,23.0,74.0,13.75,29.0,0.04784978800726832
EMG6_max,14.0,57.0,13.0,38.0,0.06227630637079455
EMG7_max,52.0,129.0,20.0,84.5,0.021401171007470222
Accl0_max,28.0,103.0,0.7602535,0.897095,0.022793203481143803
Accl1_max,29.0,41.0,-0.5461429999999999,-0.49389649999999996,0.2858873410054512
Accl2_max,25.0,101.0,0.34350575,0.48388699999999996,0.022088148072400043
Gyr0_max,64.0,82.0,9.03125,11.0,0.18566100290095316
Gyr1_max,34.0,125.0,8.046875,85.734375,0.013351591920575149
Gyr2_max,15.0,124.0,4.65625,48.390625,0.006012884753042233
Orien0_max,16.0,24.0,58.0,59.0,0.42694663167104113
Orien1_max,81.0,87.0,43.0,45.25,0.5579302587176603
Orien2_max,92.0,110.0,51.0,54.25,0.18566100290095316
EMG0_stdev,50.0,110.0,4.324528647173404,16.062163191329173,0.03614302310571834
EMG1_stdev,69.0,128.0,9.660590817433242,28.025074023652483,0.037270341207349074
EMG2_stdev,9.0,35.0,2.157586383553962,5.208531736635198,0.12131816856226306
EMG3_stdev,3.0,43.0,1.9696522822432287,3.1046451501241767,0.06913769925100827
EMG4_stdev,10.0,61.0,2.8676011086416775,4.215382475218117,0.04784978800726832
EMG5_stdev,23.0,50.0,5.378202681715688,7.6720086381557415,0.1158605174353206
EMG6_stdev,7.0,41.0,4.097041461665762,10.051305801028533,0.08638920134983127
EMG7_stdev,51.0,125.0,6.844066219926171,21.649738540511457,0.023517060367454067
Accl0_stdev,20.0,99.0,0.013304650516846943,0.03782074671782109,0.020078740157480315
Accl1_stdev,18.0,56.0,0.017314209330466405,0.028722340069583012,0.07429840500706643
