Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,15.0,106.0,-1.6519607843137256,0.04411764705882353,0.013351591920575149
EMG1_mean,1.0,130.0,-3.392156862745098,2.7696078431372544,0.00024227740763173747
EMG2_mean,26.0,127.0,-1.8480392156862744,1.691176470588235,0.008954763007565234
EMG3_mean,6.0,116.0,-1.534313725490196,-0.05392156862745098,0.005674966304887562
EMG4_mean,3.0,116.0,-2.068627450980392,-0.014705882352941173,0.004696781323387209
EMG5_mean,12.0,113.0,-1.9411764705882355,0.4558823529411765,0.008954763007565234
EMG6_mean,31.0,69.0,-1.7794117647058822,-0.5735294117647058,0.07429840500706643
EMG7_mean,4.0,86.0,-3.1960784313725488,-0.27450980392156865,0.018214590646048766
Accl0_mean,5.0,66.0,0.5389260980392157,0.7929352696078431,0.03505207010414021
Accl1_mean,4.0,83.0,-0.758621519607843,-0.4592309264705883,0.020078740157480315
Accl2_mean,90.0,107.0,0.3722354852941177,0.39985683823529405,0.19772528433945757
Gyr0_mean,13.0,49.0,-1.359375,-0.33057598039215685,0.08001702489891466
Gyr1_mean,88.0,117.0,0.07199754901960784,1.2221200980392157,0.10603674540682413
Gyr2_mean,124.0,129.0,0.6228553921568628,3.6498161764705883,0.6561679790026246
Orien0_mean,25.0,105.0,58.25490196078431,65.06862745098039,0.019442014192670363
Orien1_mean,65.0,125.0,36.73529411764705,57.27941176470588,0.03614302310571834
Orien2_mean,84.0,113.0,48.20588235294119,53.44117647058824,0.10603674540682413
EMG0_min,30.0,101.0,-29.25,-9.0,0.025809273840769902
EMG1_min,5.0,20.0,-74.25,-49.75,0.2263779527559055
EMG2_min,42.0,92.0,-31.25,-14.0,0.04940558900725645
EMG3_min,14.0,90.0,-18.5,-8.0,0.022088148072400043
EMG4_min,23.0,43.0,-19.0,-16.0,0.1649793775778028
EMG5_min,86.0,126.0,-22.0,-7.75,0.06913769925100827
EMG6_min,89.0,130.0,-25.25,-7.25,0.0667416572928384
EMG7_min,5.0,109.0,-62.75,-10.75,0.007799025121859768
Accl0_min,13.0,49.0,0.4643555,0.67712425,0.08001702489891466
Accl1_min,14.0,73.0,-0.83789075,-0.609375,0.037270341207349074
Accl2_min,100.0,121.0,0.32543975,0.38806175,0.1560486757337151
Gyr0_min,13.0,71.0,-21.421875,-9.046875,0.038435873481916454
Gyr1_min,52.0,105.0,-16.828125,-8.609375,0.04491105278506854
Gyr2_min,45.0,123.0,-30.578125,-7.40625,0.020731585766969002
Orien0_min,27.0,118.0,57.0,64.0,0.013351591920575149
Orien1_min,44.0,120.0,31.75,50.25,0.022088148072400043
Orien2_min,86.0,114.0,46.75,52.5,0.11077925604127072
EMG0_max,37.0,99.0,10.0,38.25,0.03399575053118361
EMG1_max,78.0,127.0,37.75,98.5,0.051023622047244095
EMG2_max,71.0,106.0,24.0,47.75,0.0831146106736658
EMG3_max,22.0,121.0,5.0,21.25,0.009763779527559057
EMG4_max,8.0,51.0,5.0,10.0,0.06227630637079455
EMG5_max,1.0,61.0,4.0,25.25,0.03614302310571834
EMG6_max,0.0,7.0,3.75,8.75,0.484251968503937
EMG7_max,16.0,45.0,10.75,19.0,0.10603674540682413
Accl0_max,12.0,71.0,0.6705325,0.8552245,0.037270341207349074
Accl1_max,15.0,109.0,-0.6245115,-0.30944825,0.011935350186489849
Accl2_max,73.0,105.0,0.41174299999999997,0.500122,0.09353376282510141
Gyr0_max,6.0,99.0,2.421875,14.234375,0.012397386496900652
Gyr1_max,49.0,91.0,10.375,22.203125,0.06445705914667643
Gyr2_max,118.0,126.0,30.671875,69.484375,0.42694663167104113
Orien0_max,30.0,105.0,60.0,67.25,0.022793203481143803
Orien1_max,63.0,118.0,40.0,61.0,0.042182227221597306
Orien2_max,67.0,106.0,48.75,54.0,0.0716535433070866
EMG0_stdev,46.0,99.0,4.242924522726417,10.917433786711609,0.04491105278506854
EMG1_stdev,121.0,130.0,22.189769314112308,35.50573775666524,0.3811023622047244
EMG2_stdev,71.0,88.0,9.762972127164604,11.684932478086111,0.19772528433945757
EMG3_stdev,64.0,99.0,3.6417584511711354,4.861017585227657,0.0831146106736658
EMG4_stdev,47.0,76.0,3.96954088479732,4.555221113225282,0.10603674540682413
EMG5_stdev,4.0,18.0,3.414857889650021,4.957359238351659,0.24356955380577425
EMG6_stdev,1.0,12.0,2.4000408399386703,5.3688394131891055,0.3123359580052493
EMG7_stdev,19.0,104.0,4.134886950262788,12.379849960745169,0.016480498077275224
Accl0_stdev,102.0,119.0,0.040055612891980744,0.07094337583752117,0.19772528433945757
Accl1_stdev,103.0,119.0,0.05307412549763768,0.08084571669500609,0.2112088930060213
Accl2_stdev,12.0,68.0,0.011596305395753305,0.02237285632652634,0.040889625638900404
Gyr0_stdev,38.0,111.0,2.58560923411192,6.228562833769394,0.024260480953394337
Gyr1_stdev,19.0,77.0,3.2709603881615203,5.878771030493359,0.038435873481916454
Gyr2_stdev,92.0,122.0,9.781596266983415,16.960582755411224,0.1016002032004064
Orien0_stdev,95.0,117.0,0.9339441548145588,1.788098235360189,0.14789455665867854
Orien1_stdev,107.0,121.0,3.324359779413821,4.810446916414767,0.24356955380577425
Orien2_stdev,32.0,88.0,0.5083574896802248,1.3013293233062628,0.040889625638900404
EMG0_energy,43.0,98.0,911.5,6128.0,0.042182227221597306
EMG1_energy,121.0,130.0,24727.5,63581.25,0.3811023622047244
EMG2_energy,71.0,86.0,4902.75,6849.0,0.2263779527559055
EMG3_energy,59.0,100.0,667.5,1245.25,0.0667416572928384
EMG4_energy,40.0,78.0,784.25,1209.75,0.07429840500706643
EMG5_energy,4.0,18.0,758.5,1285.25,0.24356955380577425
EMG6_energy,1.0,12.0,339.25,1570.0,0.3123359580052493
EMG7_energy,18.0,105.0,884.0,8343.25,0.015390121689334284
Accl0_energy,5.0,65.0,15.0140024568335,32.13134446556525,0.03614302310571834
Accl1_energy,47.0,125.0,10.983670039661,29.523241660946503,0.020731585766969002
Accl2_energy,87.0,101.0,7.075467186009501,8.12995523884964,0.24356955380577425
Gyr0_energy,47.0,108.0,404.796875,1964.7412109375,0.03505207010414021
Gyr1_energy,19.0,75.0,536.302734375,1773.9169921875,0.040889625638900404
Gyr2_energy,91.0,119.0,4955.146484375,14260.4658203125,0.11077925604127072
Orien0_energy,24.0,101.0,173121.0,215998.0,0.021401171007470222
Orien1_energy,62.0,124.0,69327.0,168240.25,0.03399575053118361
Orien2_energy,82.0,110.0,118548.0,145790.0,0.11077925604127072
