Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,17.0,130.0,-1.4754901960784315,4.2941176470588225,0.004696781323387209
EMG1_mean,33.0,113.0,-1.3970588235294117,0.6225490196078431,0.019442014192670363
EMG2_mean,27.0,91.0,-1.6715686274509804,-0.5098039215686274,0.03198061780738946
EMG3_mean,48.0,127.0,-0.8872549019607843,0.4705882352941177,0.020078740157480315
EMG4_mean,43.0,71.0,-1.0784313725490196,-0.7401960784313726,0.11077925604127072
EMG5_mean,49.0,70.0,-0.8872549019607843,-0.5637254901960784,0.1560486757337151
EMG6_mean,16.0,87.0,-3.083333333333333,0.08823529411764705,0.025809273840769902
EMG7_mean,1.0,125.0,-4.950980392156863,1.583333333333333,0.0015118110236220486
Accl0_mean,15.0,32.0,0.6304045392156865,0.7095037784313726,0.19772528433945757
Accl1_mean,12.0,26.0,-0.6856019362745097,-0.6280015588235293,0.24356955380577425
Accl2_mean,84.0,105.0,0.34261786764705876,0.39755188235294125,0.1560486757337151
Gyr0_mean,15.0,36.0,-1.3118872549019607,-0.6488970588235294,0.1560486757337151
Gyr1_mean,97.0,116.0,0.4742647058823529,1.1783088235294117,0.1748031496062992
Gyr2_mean,44.0,78.0,-1.8247549019607843,-0.8831188725490196,0.08638920134983127
Orien0_mean,27.0,43.0,58.632352941176464,59.77450980392156,0.2112088930060213
Orien1_mean,97.0,115.0,44.30882352941177,50.504901960784316,0.18566100290095316
Orien2_mean,7.0,18.0,30.583333333333336,36.568627450980394,0.3123359580052493
EMG0_min,9.0,17.0,-50.25,-39.0,0.42694663167104113
EMG1_min,3.0,13.0,-75.0,-58.0,0.34359341445955616
EMG2_min,9.0,81.0,-82.25,-18.0,0.025024269226620648
EMG3_min,1.0,38.0,-33.25,-13.75,0.07708246995441359
EMG4_min,21.0,72.0,-20.0,-12.0,0.04784978800726832
EMG5_min,48.0,123.0,-33.0,-9.0,0.022793203481143803
EMG6_min,60.0,90.0,-48.0,-25.0,0.1016002032004064
EMG7_min,0.0,15.0,-90.25,-42.0,0.2263779527559055
Accl0_min,30.0,48.0,0.5968019999999999,0.672363,0.18566100290095316
Accl1_min,30.0,50.0,-0.7550049999999999,-0.6809080000000001,0.1649793775778028
Accl2_min,60.0,111.0,0.257446,0.35278325,0.04784978800726832
Gyr0_min,33.0,63.0,-14.609375,-9.625,0.1016002032004064
Gyr1_min,103.0,125.0,-9.640625,-3.28125,0.14789455665867854
Gyr2_min,89.0,112.0,-16.015625,-10.921875,0.14041994750656167
Orien0_min,30.0,59.0,57.0,59.0,0.10603674540682413
Orien1_min,97.0,120.0,41.0,50.25,0.14041994750656167
Orien2_min,10.0,22.0,30.0,35.25,0.2858873410054512
EMG0_max,104.0,128.0,40.0,86.0,0.1335433070866142
EMG1_max,87.0,123.0,44.25,82.5,0.08001702489891466
EMG2_max,80.0,119.0,28.0,68.0,0.0716535433070866
EMG3_max,108.0,130.0,14.75,36.75,0.14789455665867854
EMG4_max,36.0,82.0,8.0,12.0,0.05629083598592729
EMG5_max,7.0,24.0,8.0,14.0,0.19772528433945757
EMG6_max,39.0,53.0,24.75,34.25,0.24356955380577425
EMG7_max,117.0,129.0,48.0,81.5,0.2858873410054512
Accl0_max,9.0,34.0,0.64404325,0.79199225,0.12719563900666261
Accl1_max,7.0,24.0,-0.654175,-0.5651855,0.19772528433945757
Accl2_max,52.0,95.0,0.378662,0.44616725,0.06227630637079455
Gyr0_max,3.0,26.0,2.09375,4.9375,0.14041994750656167
Gyr1_max,68.0,86.0,14.484375,18.734375,0.18566100290095316
Gyr2_max,0.0,81.0,1.265625,11.578125,0.018820818129441138
Orien0_max,23.0,39.0,59.0,60.0,0.2112088930060213
Orien1_max,89.0,103.0,46.0,52.0,0.24356955380577425
Orien2_max,5.0,18.0,33.0,40.0,0.26321709786276715
EMG0_stdev,121.0,127.0,20.282622946572356,24.352102487351214,0.5579302587176603
EMG1_stdev,104.0,128.0,18.041417324119955,25.98489317154187,0.1335433070866142
EMG2_stdev,91.0,123.0,11.708009007936308,30.699828230364115,0.09353376282510141
EMG3_stdev,108.0,126.0,5.592878014063038,9.957731504315099,0.18566100290095316
EMG4_stdev,47.0,87.0,3.9559675154082776,4.863382798247368,0.06913769925100827
EMG5_stdev,1.0,34.0,2.6354118837539207,6.271076660637906,0.08985641500694766
EMG6_stdev,36.0,61.0,9.114400828445891,14.508532209312873,0.12719563900666261
EMG7_stdev,122.0,130.0,19.008526852143756,27.301588296779062,0.42694663167104113
Accl0_stdev,10.0,63.0,0.01038506806745756,0.022357521268778675,0.04491105278506854
Accl1_stdev,7.0,24.0,0.013092811304188157,0.019110122131236827,0.19772528433945757
Accl2_stdev,28.0,100.0,0.015027942385597504,0.03075169161221205,0.025024269226620648
Gyr0_stdev,29.0,69.0,2.3708260077627177,3.3912832528361143,0.06913769925100827
Gyr1_stdev,25.0,62.0,3.432733808099697,4.66421064258521,0.07708246995441359
Gyr2_stdev,11.0,23.0,2.7844739745181966,3.6613380685093566,0.2858873410054512
Orien0_stdev,49.0,85.0,0.41467971973581214,0.7445207739347228,0.08001702489891466
Orien1_stdev,10.0,62.0,0.4954620369294314,1.5144799469786474,0.04635269647897787
Orien2_stdev,60.0,102.0,0.776619118295423,1.608743142719523,0.06445705914667643
EMG0_energy,120.0,128.0,20801.25,34241.25,0.42694663167104113
EMG1_energy,103.0,128.0,16367.0,33825.5,0.12719563900666261
EMG2_energy,88.0,123.0,6867.0,47315.25,0.0831146106736658
EMG3_energy,106.0,125.0,1584.5,5000.0,0.1748031496062992
EMG4_energy,47.0,83.0,829.25,1224.75,0.08001702489891466
EMG5_energy,1.0,34.0,377.0,2003.5,0.08985641500694766
EMG6_energy,36.0,61.0,4251.25,10656.0,0.12719563900666261
EMG7_energy,122.0,130.0,18195.75,38188.0,0.42694663167104113
Accl0_energy,15.0,31.0,20.309020987133,25.765513098522,0.2112088930060213
Accl1_energy,103.0,118.0,20.147438712200003,24.060190219498253,0.2263779527559055
Accl2_energy,81.0,100.0,6.02325481310325,8.07528675590525,0.1748031496062992
Gyr0_energy,31.0,71.0,320.29296875,660.3681640625,0.06913769925100827
Gyr1_energy,24.0,59.0,613.185546875,1118.0458984375,0.0831146106736658
Gyr2_energy,17.0,24.0,541.3876953125,748.3466796875,0.484251968503937
Orien0_energy,26.0,42.0,175384.75,182231.5,0.2112088930060213
Orien1_energy,94.0,114.0,100248.75,130367.75,0.1649793775778028
Orien2_energy,7.0,17.0,47781.0,68320.0,0.34359341445955616
