Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,20.0,99.0,-1.4362745098039218,-0.28431372549019607,0.020078740157480315
EMG1_mean,19.0,65.0,-1.9313725490196079,-0.8039215686274509,0.05629083598592729
EMG2_mean,3.0,40.0,-6.450980392156861,-1.431372549019608,0.07708246995441359
EMG3_mean,0.0,104.0,-2.8921568627450984,-0.3137254901960784,0.007799025121859768
EMG4_mean,9.0,47.0,-1.6078431372549018,-1.0588235294117647,0.07429840500706643
EMG5_mean,19.0,87.0,-1.6764705882352942,-0.24999999999999997,0.028300810224808855
EMG6_mean,3.0,129.0,-6.343137254901961,5.911764705882353,0.0009920019840039662
EMG7_mean,5.0,78.0,-2.7549019607843137,-0.4117647058823529,0.024260480953394337
Accl0_mean,78.0,118.0,0.8199343480392156,0.874480617647059,0.06913769925100827
Accl1_mean,82.0,112.0,-0.4612390784313726,-0.38772405882352934,0.1016002032004064
Accl2_mean,17.0,82.0,0.2605578970588235,0.3425939558823529,0.031018849916487713
Gyr0_mean,39.0,91.0,-0.6268382352941176,0.6446078431372549,0.04635269647897787
Gyr1_mean,18.0,81.0,-1.6280637254901962,-0.12806372549019607,0.03297244094488189
Gyr2_mean,33.0,69.0,-2.3642769607843137,-0.9981617647058824,0.08001702489891466
Orien0_mean,65.0,87.0,60.98529411764706,62.73039215686274,0.14789455665867854
Orien1_mean,12.0,56.0,28.45588235294118,35.14705882352942,0.06019247594050743
Orien2_mean,20.0,37.0,37.15686274509804,40.81862745098039,0.19772528433945757
EMG0_min,69.0,91.0,-13.0,-9.0,0.14789455665867854
EMG1_min,59.0,92.0,-27.25,-12.75,0.08985641500694766
EMG2_min,3.0,13.0,-99.25,-65.5,0.34359341445955616
EMG3_min,3.0,55.0,-30.0,-11.0,0.04635269647897787
EMG4_min,54.0,100.0,-15.0,-9.0,0.05629083598592729
EMG5_min,18.0,80.0,-46.25,-22.75,0.03399575053118361
EMG6_min,5.0,38.0,-116.75,-73.0,0.08985641500694766
EMG7_min,6.0,69.0,-61.25,-21.0,0.03297244094488189
Accl0_min,54.0,113.0,0.69140625,0.8004150000000001,0.037270341207349074
Accl1_min,63.0,101.0,-0.6451417500000001,-0.51586925,0.07429840500706643
Accl2_min,37.0,72.0,0.230957,0.27746550000000003,0.0831146106736658
Gyr0_min,9.0,77.0,-28.4375,-8.109375,0.028300810224808855
Gyr1_min,22.0,110.0,-28.109375,-8.09375,0.014863310625497657
Gyr2_min,32.0,59.0,-36.953125,-25.265625,0.1158605174353206
Orien0_min,64.0,97.0,59.75,62.0,0.08985641500694766
Orien1_min,10.0,54.0,26.75,33.0,0.06019247594050743
Orien2_min,24.0,36.0,35.75,39.0,0.2858873410054512
EMG0_max,18.0,63.0,7.0,14.25,0.058199246833276284
EMG1_max,43.0,56.0,16.0,22.0,0.26321709786276715
EMG2_max,114.0,129.0,56.75,82.5,0.2263779527559055
EMG3_max,106.0,118.0,14.0,18.25,0.2858873410054512
EMG4_max,18.0,87.0,6.0,13.0,0.027446569178852645
EMG5_max,45.0,99.0,21.0,36.25,0.04352183249821045
EMG6_max,90.0,128.0,68.75,120.0,0.07429840500706643
EMG7_max,29.0,95.0,14.0,34.0,0.030085791514866615
Accl0_max,71.0,111.0,0.8525389999999999,0.90624975,0.06913769925100827
Accl1_max,76.0,105.0,-0.40978975,-0.326782,0.10603674540682413
Accl2_max,22.0,109.0,0.33972175,0.5164792500000001,0.015390121689334284
Gyr0_max,27.0,100.0,4.9375,14.71875,0.024260480953394337
Gyr1_max,28.0,107.0,7.1875,29.078125,0.020078740157480315
Gyr2_max,69.0,113.0,9.5,29.421875,0.06019247594050743
Orien0_max,48.0,80.0,61.0,63.0,0.09353376282510141
Orien1_max,20.0,79.0,34.75,43.0,0.037270341207349074
Orien2_max,20.0,27.0,40.0,42.25,0.484251968503937
EMG0_stdev,24.0,59.0,3.08382498677181,4.584842452663196,0.0831146106736658
EMG1_stdev,44.0,62.0,5.457730272097391,8.416965411353651,0.18566100290095316
EMG2_stdev,120.0,127.0,23.29500155405352,33.23596991657319,0.484251968503937
EMG3_stdev,99.0,123.0,4.730498731332008,8.436711002610519,0.1335433070866142
EMG4_stdev,40.0,82.0,3.780902155505864,4.753555792227768,0.06445705914667643
EMG5_stdev,69.0,91.0,9.678808065746512,12.09047958856118,0.14789455665867854
EMG6_stdev,109.0,123.0,32.915925653225344,41.49096560866086,0.24356955380577425
EMG7_stdev,61.0,105.0,8.010810191569028,12.511582993804995,0.06019247594050743
Accl0_stdev,67.0,84.0,0.02270734953037275,0.029127264415617686,0.19772528433945757
Accl1_stdev,74.0,108.0,0.03746573991647657,0.05701782724741404,0.08638920134983127
Accl2_stdev,54.0,109.0,0.018521827898204092,0.03696894917613544,0.042182227221597306
Gyr0_stdev,32.0,113.0,2.4180285799004926,6.5897581362377355,0.018820818129441138
Gyr1_stdev,14.0,101.0,3.092532422528792,8.577136603440547,0.015390121689334284
Gyr2_stdev,78.0,97.0,7.583530888259161,10.539253416831077,0.1748031496062992
Orien0_stdev,4.0,74.0,0.0,0.6255827975370956,0.026616391260951534
Orien1_stdev,79.0,102.0,1.8890222433671742,2.9548795088337934,0.14041994750656167
Orien2_stdev,38.0,77.0,0.5397889889891412,1.0144025118167717,0.0716535433070866
EMG0_energy,23.0,60.0,509.25,1170.0,0.07708246995441359
EMG1_energy,43.0,61.0,1548.25,3725.0,0.18566100290095316
EMG2_energy,120.0,127.0,27623.0,58332.25,0.484251968503937
EMG3_energy,96.0,124.0,1125.25,4014.0,0.11077925604127072
EMG4_energy,46.0,87.0,823.25,1258.75,0.0667416572928384
EMG5_energy,70.0,89.0,4830.25,7363.75,0.1748031496062992
EMG6_energy,107.0,123.0,54176.5,87288.75,0.2112088930060213
EMG7_energy,63.0,103.0,3525.0,7856.25,0.06913769925100827
Accl0_energy,78.0,114.0,34.33551842486175,39.022467462105496,0.08001702489891466
