Features,Range_Lower,Range_Upper,Threshold_Upper,Threshold_Lower,Weight
EMG0_mean,15.0,107.0,-1.6519607843137256,0.04411764705882353,0.01651003302006604
EMG1_mean,1.0,131.0,-3.392156862745098,2.7696078431372544,0.00030053495221494224
EMG2_mean,26.0,128.0,-1.8480392156862744,1.691176470588235,0.011084779451112298
EMG3_mean,6.0,119.0,-1.534313725490196,0.024509803921568627,0.00621632822213013
EMG4_mean,3.0,117.0,-2.068627450980392,-0.014705882352941173,0.005819924683327625
EMG5_mean,12.0,114.0,-1.9411764705882355,0.4558823529411765,0.011084779451112298
EMG6_mean,31.0,70.0,-1.8382352941176467,-0.5735294117647058,0.09055118110236221
EMG7_mean,4.0,87.0,-3.1960784313725488,-0.27450980392156865,0.02249718785151856
Accl0_mean,5.0,67.0,0.5389260980392157,0.7929352696078431,0.04311961004874391
Accl1_mean,4.0,84.0,-0.758621519607843,-0.4592309264705883,0.024788568095654714
Accl2_mean,90.0,108.0,0.3722354852941177,0.39985683823529405,0.23414836303356817
Gyr0_mean,13.0,50.0,-1.359375,-0.33057598039215685,0.09738914214670534
Gyr1_mean,88.0,118.0,0.07199754901960784,1.2221200980392157,0.12827025654051308
Gyr2_mean,49.0,130.0,-1.7052696078431373,3.6498161764705883,0.024006145573266757
Orien0_mean,25.0,106.0,58.25490196078431,65.06862745098039,0.024006145573266757
Orien1_mean,65.0,126.0,36.73529411764705,57.27941176470588,0.0444500889001778
Orien2_mean,84.0,114.0,48.14705882352941,53.44117647058824,0.12827025654051308
EMG0_min,30.0,103.0,-29.25,-9.0,0.030857629282826135
EMG1_min,5.0,21.0,-74.25,-49.75,0.26632700324224173
EMG2_min,37.0,93.0,-34.5,-14.0,0.05180273518441774
EMG3_min,14.0,125.0,-18.5,-6.0,0.007030371203599553
EMG4_min,23.0,96.0,-19.0,-9.0,0.030857629282826135
EMG5_min,83.0,127.0,-22.0,-7.75,0.07611548556430446
EMG6_min,89.0,131.0,-25.25,-7.25,0.08148690715986083
