Features,Range_Lower,Range_Upper,Threshold_Upper,Threshold_Lower,Weight
EMG0_mean,47.0,113.0,-0.9264705882352942,0.21568627450980396,0.03819485250910799
EMG1_mean,23.0,75.0,-1.7303921568627452,-0.7401960784313726,0.05868370227306492
EMG2_mean,5.0,131.0,-2.892156862745098,2.0490196078431375,0.0015500031000061972
EMG3_mean,22.0,125.0,-1.1200980392156863,0.18627450980392157,0.01059963658388855
EMG4_mean,52.0,119.0,-1.0245098039215685,0.06372549019607844,0.03705419175544233
EMG5_mean,11.0,124.0,-1.9705882352941178,1.7892156862745099,0.00621632822213013
EMG6_mean,9.0,106.0,-4.651960784313726,1.1421568627450982,0.013659006909850554
EMG7_mean,59.0,110.0,-0.7254901960784313,0.27941176470588236,0.06056935190793458
Accl0_mean,73.0,102.0,0.8117580294117647,0.8421427279411765,0.13385826771653545
Accl1_mean,70.0,106.0,-0.495296769607843,-0.42212632843137254,0.10108533730580975
Accl2_mean,37.0,68.0,0.3003168578431372,0.32729441666666664,0.12303149606299213
Gyr0_mean,3.0,109.0,-2.5628063725490193,1.0214460784313726,0.00919861652807418
Gyr1_mean,23.0,93.0,-1.5180759803921569,0.32352941176470584,0.03382499722745924
Gyr2_mean,88.0,123.0,-0.7264093137254901,0.5502450980392156,0.10498687664041993
Orien0_mean,51.0,96.0,60.10784313725491,63.07352941176471,0.07360492981855529
Orien1_mean,30.0,58.0,31.96078431372549,35.230392156862756,0.13983165897366276
Orien2_mean,112.0,130.0,51.882352941176464,59.24019607843138,0.23414836303356817
EMG0_min,46.0,124.0,-20.0,-6.0,0.026412837635801854
EMG1_min,30.0,105.0,-44.0,-9.0,0.029009531703273934
EMG2_min,17.0,65.0,-54.0,-24.0,0.0666880925598586
EMG3_min,41.0,99.0,-13.0,-7.0,0.048712131322567735
EMG4_min,28.0,122.0,-19.0,-7.0,0.015333609614587653
EMG5_min,5.0,75.0,-61.5,-24.75,0.03382499722745924
EMG6_min,2.0,29.0,-128.0,-80.5,0.14623172103487064
EMG7_min,59.0,120.0,-22.0,-8.0,0.0444500889001778
Accl0_min,79.0,110.0,0.7459717499999999,0.79675325,0.12303149606299213
Accl1_min,79.0,103.0,-0.6003419999999999,-0.51098625,0.168503937007874
Accl2_min,46.0,71.0,0.24084475,0.275391,0.16050878255602663
Gyr0_min,45.0,94.0,-13.65625,-5.859375,0.06456692913385827
Gyr1_min,15.0,73.0,-34.796875,-13.859375,0.048712131322567735
Gyr2_min,26.0,121.0,-40.203125,-8.0625,0.014763779527559055
Orien0_min,53.0,97.0,59.0,62.0,0.07611548556430446
Orien1_min,31.0,60.0,30.0,34.0,0.13385826771653545
Orien2_min,110.0,129.0,50.0,58.0,0.2204724409448819
EMG0_max,14.0,72.0,6.0,16.25,0.048712131322567735
EMG1_max,27.0,62.0,9.75,24.0,0.10498687664041993
EMG2_max,48.0,104.0,16.0,42.25,0.05180273518441774
EMG3_max,17.0,88.0,5.0,11.25,0.032808398950131226
EMG4_max,38.0,98.0,8.0,14.0,0.04582419000903576
EMG5_max,93.0,120.0,34.0,52.5,0.14623172103487064
EMG6_max,98.0,130.0,74.75,123.5,0.11811023622047244
EMG7_max,26.0,44.0,14.0,18.0,0.23414836303356817
Accl0_max,65.0,108.0,0.841675,0.902954,0.07874015748031496
Accl1_max,57.0,98.0,-0.46032675,-0.3465575,0.0843644544431946
Accl2_max,35.0,82.0,0.35412575,0.42004400000000003,0.0688976377952756
Gyr0_max,53.0,102.0,7.59375,14.84375,0.06456692913385827
Gyr1_max,23.0,97.0,6.84375,24.609375,0.02992125984251969
Gyr2_max,13.0,102.0,4.421875,18.4375,0.018372703412073487
Orien0_max,53.0,98.0,61.0,64.25,0.07360492981855529
Orien1_max,16.0,48.0,34.0,38.25,0.11811023622047244
Orien2_max,101.0,131.0,53.0,60.75,0.12827025654051308
EMG0_stdev,11.0,81.0,2.6822117898181843,5.953055183109127,0.03382499722745924
EMG1_stdev,26.0,66.0,3.7387481035189483,9.159173662857746,0.087382369886691
EMG2_stdev,81.0,109.0,10.740622045283663,15.892602372119967,0.13983165897366276
EMG3_stdev,40.0,91.0,3.0457500991741293,4.4266997134866815,0.06056935190793458
