Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,42.0,128.0,-1.2401960784313726,4.240196078431373,0.015690567414705345
EMG1_mean,10.0,102.0,-2.9607843137254903,-0.03921568627450981,0.01263014166239973
EMG2_mean,9.0,57.0,-2.7696078431372553,-1.0098039215686274,0.05247813411078717
EMG3_mean,3.0,86.0,-3.1323529411764706,-0.4460784313725491,0.017384731670445956
EMG4_mean,9.0,100.0,-2.446078431372549,0.0196078431372549,0.01311249137336094
EMG5_mean,37.0,117.0,-2.2598039215686274,1.9852941176470584,0.019204389574759947
EMG6_mean,82.0,105.0,-0.22058823529411767,0.8676470588235294,0.14021164021164023
EMG7_mean,4.0,126.0,-3.897058823529412,1.7549019607843137,0.001806684733514001
Accl0_mean,99.0,104.0,0.47639730392156876,0.48781452941176473,0.6560846560846562
Accl1_mean,79.0,85.0,-0.6727270588235292,-0.6613602156862745,0.5578231292517007
Accl2_mean,21.0,38.0,0.603123073529412,0.6115842549019608,0.19753086419753088
Gyr0_mean,16.0,51.0,0.17708333333333334,1.0294117647058822,0.08289241622574955
Gyr1_mean,59.0,115.0,-1.1066176470588236,-0.41881127450980393,0.04065719855193539
Gyr2_mean,17.0,55.0,-0.8541666666666666,0.058823529411764705,0.07407407407407408
Orien0_mean,60.0,73.0,65.83823529411765,65.99019607843138,0.2630385487528345
Orien1_mean,25.0,31.0,60.88235294117647,61.59803921568627,0.5578231292517007
Orien2_mean,0.0,7.0,1.8431372549019605,3.8382352941176467,0.48412698412698413
EMG0_min,21.0,35.0,-44.25,-34.5,0.24338624338624337
EMG1_min,24.0,72.0,-37.5,-14.75,0.05247813411078717
EMG2_min,0.0,42.0,-115.25,-27.0,0.06423034330011074
EMG3_min,32.0,58.0,-29.75,-17.0,0.12110523221634333
EMG4_min,2.0,92.0,-69.0,-19.0,0.01360544217687075
EMG5_min,20.0,121.0,-69.0,-21.5,0.008714596949891065
EMG6_min,25.0,53.0,-59.0,-39.0,0.11056376573617951
EMG7_min,8.0,42.0,-67.0,-35.0,0.08616780045351474
Accl0_min,93.0,108.0,0.385498,0.4282225,0.2261904761904762
Accl1_min,16.0,96.0,-0.8273922499999999,-0.7226560000000001,0.019204389574759947
Accl2_min,46.0,55.0,0.57897975,0.58764625,0.38095238095238093
Gyr0_min,90.0,122.0,-2.015625,-1.125,0.09331409331409332
Gyr1_min,26.0,97.0,-28.0625,-14.125,0.02557319223985891
Gyr2_min,20.0,62.0,-20.296875,-12.21875,0.06423034330011074
Orien0_min,61.0,79.0,65.0,65.0,0.18546365914786966
Orien1_min,20.0,30.0,59.0,61.0,0.3434343434343434
Orien2_min,4.0,11.0,1.0,3.25,0.48412698412698413
EMG0_max,97.0,111.0,40.75,58.25,0.24338624338624337
EMG1_max,60.0,79.0,18.75,26.25,0.1746031746031746
EMG2_max,105.0,122.0,40.75,69.25,0.19753086419753088
EMG3_max,70.0,88.0,18.75,25.25,0.18546365914786966
EMG4_max,33.0,62.0,14.0,20.0,0.10582010582010581
EMG5_max,51.0,122.0,40.75,87.25,0.02557319223985891
EMG6_max,69.0,114.0,40.75,79.5,0.057971014492753624
EMG7_max,85.0,126.0,34.75,82.5,0.06651549508692366
Accl0_max,95.0,101.0,0.5059815,0.520386,0.5578231292517007
Accl1_max,60.0,87.0,-0.6409914999999999,-0.6020507500000001,0.11564625850340138
Accl2_max,14.0,37.0,0.6260987499999999,0.6451419999999999,0.14021164021164023
Gyr0_max,8.0,47.0,6.21875,11.890625,0.07142857142857142
Gyr1_max,12.0,108.0,2.109375,9.96875,0.010800196367206673
Gyr2_max,23.0,103.0,6.921875,19.90625,0.019204389574759947
Orien0_max,66.0,69.0,66.0,66.0,1.0
Orien1_max,33.0,38.0,64.0,65.0,0.6560846560846562
Orien2_max,3.0,8.0,3.0,4.5,0.6560846560846562
EMG0_stdev,88.0,105.0,12.89704295978625,18.791071999869896,0.19753086419753088
EMG1_stdev,57.0,89.0,6.931668650159365,10.792626565929476,0.09331409331409332
EMG2_stdev,102.0,122.0,13.594096075827935,25.900250813585462,0.16477702191987906
EMG3_stdev,81.0,93.0,8.543689299973924,10.350678753071666,0.2857142857142857
