Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,43.0,75.0,-1.2205882352941175,-0.5980392156862745,0.11757575757575757
EMG1_mean,50.0,87.0,-1.1911764705882353,-0.588235294117647,0.0968421052631579
EMG2_mean,43.0,88.0,-1.1862745098039216,-0.5735294117647058,0.07304347826086956
EMG3_mean,27.0,85.0,-1.3137254901960784,-0.4705882352941176,0.04813559322033899
EMG4_mean,38.0,97.0,-1.3186274509803921,-0.03431372549019608,0.04666666666666667
EMG5_mean,50.0,115.0,-1.4019607843137254,1.8970588235294117,0.03878787878787878
EMG6_mean,23.0,116.0,-2.019607843137255,2.049019607843137,0.015319148936170215
EMG7_mean,40.0,94.0,-1.534313725490196,-0.07843137254901962,0.05454545454545455
Accl0_mean,22.0,34.0,0.36819522058823523,0.37328627941176457,0.36
Accl1_mean,26.0,31.0,-0.7193052892156864,-0.7112151372549018,0.8266666666666667
Accl2_mean,65.0,79.0,0.6328101568627451,0.6410678431372548,0.3066666666666667
Gyr0_mean,69.0,90.0,1.1479779411764703,1.328737745098039,0.19636363636363638
Gyr1_mean,40.0,108.0,-1.3480392156862744,-0.5520833333333334,0.03536231884057971
Gyr2_mean,47.0,85.0,-0.18198529411764705,0.3630514705882353,0.09333333333333334
Orien0_mean,26.0,57.0,64.91666666666667,65.80882352941175,0.1225
Orien1_mean,91.0,109.0,68.15686274509804,68.52941176470588,0.23368421052631577
Orien2_mean,93.0,102.0,170.94117647058823,171.85784313725492,0.48
EMG0_min,119.0,129.0,-8.25,-4.25,0.43272727272727274
EMG1_min,122.0,129.0,-5.25,-3.25,0.61
EMG2_min,87.0,126.0,-13.0,-5.75,0.09
EMG3_min,53.0,119.0,-20.5,-8.0,0.037611940298507465
EMG4_min,22.0,76.0,-41.25,-21.75,0.05454545454545455
EMG5_min,11.0,109.0,-81.25,-28.0,0.012525252525252526
EMG6_min,60.0,97.0,-32.25,-20.0,0.0968421052631579
EMG7_min,107.0,129.0,-14.0,-5.0,0.18608695652173912
Accl0_min,25.0,71.0,0.28405775000000005,0.34143100000000004,0.07063829787234042
Accl1_min,41.0,72.0,-0.784668,-0.7567135,0.1225
Accl2_min,65.0,89.0,0.5928957499999999,0.605957,0.168
Gyr0_min,42.0,109.0,-4.53125,-1.546875,0.036470588235294116
Gyr1_min,88.0,120.0,-16.015625,-8.96875,0.11757575757575757
Gyr2_min,75.0,115.0,-10.03125,-5.28125,0.08682926829268292
Orien0_min,28.0,46.0,64.0,64.0,0.23368421052631577
Orien1_min,100.0,122.0,67.75,68.0,0.18608695652173912
Orien2_min,90.0,108.0,170.0,171.0,0.23368421052631577
EMG0_max,0.0,21.0,3.5,11.25,0.19636363636363638
EMG1_max,0.0,5.0,2.0,3.25,0.8266666666666667
EMG2_max,0.0,16.0,3.0,7.0,0.26588235294117646
EMG3_max,9.0,54.0,6.75,14.0,0.07304347826086956
EMG4_max,35.0,98.0,15.0,27.25,0.04125
EMG5_max,32.0,91.0,31.0,55.0,0.04666666666666667
EMG6_max,27.0,77.0,19.0,47.25,0.06196078431372548
EMG7_max,0.0,6.0,7.0,10.0,0.7028571428571428
Accl0_max,9.0,19.0,0.386108,0.39648425,0.43272727272727274
Accl1_max,9.0,22.0,-0.6955562500000001,-0.676636,0.33142857142857146
Accl2_max,55.0,66.0,0.660034,0.668091,0.3933333333333333
Gyr0_max,19.0,45.0,8.71875,11.828125,0.15259259259259259
Gyr1_max,45.0,93.0,4.5625,7.3125,0.06612244897959184
Gyr2_max,3.0,36.0,2.953125,8.9375,0.11294117647058823
Orien0_max,14.0,49.0,64.75,66.0,0.10444444444444445
Orien1_max,94.0,114.0,70.0,71.0,0.20761904761904762
Orien2_max,84.0,104.0,171.0,172.25,0.20761904761904762
