Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,27.0,76.0,-1.7107843137254903,-0.5686274509803921,0.064
EMG1_mean,50.0,106.0,-1.1617647058823528,0.06372549019607844,0.0512280701754386
EMG2_mean,25.0,113.0,-1.6470588235294117,0.09803921568627452,0.01842696629213483
EMG3_mean,38.0,77.0,-1.0784313725490196,-0.5784313725490197,0.09
EMG4_mean,33.0,129.0,-1.4460784313725492,1.9313725490196076,0.013608247422680414
EMG5_mean,18.0,104.0,-3.450980392156863,1.0,0.019770114942528734
EMG6_mean,17.0,117.0,-2.4754901960784315,2.3235294117647056,0.011485148514851488
EMG7_mean,51.0,112.0,-1.0637254901960784,0.7352941176470588,0.04387096774193549
Accl0_mean,110.0,120.0,0.5047942254901963,0.5160295049019608,0.43272727272727274
Accl1_mean,113.0,119.0,-0.6176853186274509,-0.6109332107843136,0.7028571428571428
Accl2_mean,62.0,74.0,0.6313859460784315,0.6388345833333334,0.36
Gyr0_mean,34.0,78.0,0.7334558823529411,1.228247549019608,0.07555555555555556
Gyr1_mean,64.0,80.0,-1.046875,-0.8250612745098039,0.26588235294117646
Gyr2_mean,7.0,32.0,-1.107230392156863,-0.48437499999999994,0.16
Orien0_mean,103.0,109.0,67.5343137254902,67.9264705882353,0.7028571428571428
Orien1_mean,11.0,19.0,59.102941176470594,59.72058823529411,0.5377777777777778
Orien2_mean,61.0,128.0,163.74019607843138,178.1029411764706,0.036470588235294116
EMG0_min,56.0,113.0,-23.0,-10.0,0.04965517241379311
EMG1_min,69.0,119.0,-17.0,-6.0,0.06196078431372548
EMG2_min,34.0,68.0,-35.0,-17.0,0.10857142857142858
EMG3_min,5.0,117.0,-49.0,-9.0,0.006017699115044245
EMG4_min,46.0,106.0,-29.25,-16.0,0.04524590163934427
EMG5_min,32.0,110.0,-60.5,-28.0,0.02582278481012658
EMG6_min,59.0,95.0,-33.0,-20.0,0.10054054054054054
EMG7_min,36.0,114.0,-39.0,-11.75,0.02582278481012658
Accl0_min,100.0,121.0,0.41735849999999997,0.4595945,0.19636363636363638
Accl1_min,104.0,124.0,-0.7106935,-0.6586915,0.20761904761904762
Accl2_min,69.0,106.0,0.5964357499999999,0.623657,0.0968421052631579
Gyr0_min,86.0,121.0,-2.125,-1.125,0.10444444444444445
Gyr1_min,65.0,102.0,-21.4375,-13.453125,0.0968421052631579
Gyr2_min,40.0,76.0,-16.015625,-9.859375,0.10054054054054054
Orien0_min,110.0,121.0,67.0,67.0,0.3933333333333333
Orien1_min,7.0,18.0,57.75,59.0,0.3933333333333333
Orien2_min,0.0,129.0,0.0,177.75,0.0
EMG0_max,14.0,69.0,9.0,26.0,0.05285714285714286
EMG1_max,18.0,75.0,8.0,24.0,0.04965517241379311
EMG2_max,43.0,91.0,13.0,29.0,0.06612244897959184
EMG3_max,66.0,88.0,17.0,26.0,0.18608695652173912
EMG4_max,25.0,109.0,12.0,31.0,0.021176470588235297
EMG5_max,8.0,78.0,20.0,50.0,0.0332394366197183
EMG6_max,2.0,73.0,11.0,46.0,0.03222222222222223
EMG7_max,28.0,68.0,15.0,29.0,0.08682926829268292
Accl0_max,105.0,118.0,0.5286865000000001,0.547363,0.33142857142857146
Accl1_max,97.0,106.0,-0.5897212500000001,-0.577637,0.48
Accl2_max,51.0,73.0,0.656494,0.677246,0.18608695652173912
Gyr0_max,22.0,67.0,8.96875,12.9375,0.07304347826086956
Gyr1_max,22.0,73.0,2.734375,5.78125,0.06
Gyr2_max,4.0,49.0,3.234375,10.640625,0.07304347826086956
Orien0_max,98.0,102.0,67.75,68.0,1.0
Orien1_max,13.0,36.0,62.0,64.0,0.17666666666666667
Orien2_max,122.0,127.0,176.75,179.0,0.8266666666666667
EMG0_stdev,18.0,57.0,4.026774316651454,8.798069676182479,0.09
EMG1_stdev,12.0,58.0,2.7473078049228,7.069550980220427,0.07063829787234042
EMG2_stdev,75.0,91.0,8.03738088951127,11.074143115821403,0.26588235294117646
EMG3_stdev,47.0,96.0,5.003371412377467,10.927186153468162,0.064
EMG4_stdev,35.0,81.0,6.838572815978236,10.066978572946848,0.07063829787234042
EMG5_stdev,17.0,45.0,10.897754480225776,15.784292406557487,0.13931034482758622
EMG6_stdev,29.0,66.0,7.546887557517072,12.134882222990552,0.0968421052631579
EMG7_stdev,13.0,72.0,4.603464874521023,11.062389412334262,0.04666666666666667
Accl0_stdev,61.0,99.0,0.01705525651992828,0.024189579276239628,0.09333333333333334
Accl1_stdev,9.0,82.0,0.012872441997982379,0.021706317810274215,0.030270270270270273
Accl2_stdev,3.0,60.0,0.007300832934369731,0.011543178329678862,0.04965517241379311
Gyr0_stdev,13.0,42.0,2.246402620496282,2.958570700379539,0.13333333333333333
Gyr1_stdev,46.0,66.0,3.9175625553221365,4.608185676256845,0.20761904761904762
Gyr2_stdev,36.0,67.0,2.986812308455124,3.730553289258763,0.1225
Orien0_stdev,52.0,94.0,0.30032661958503204,0.48889520835449435,0.08093023255813954
Orien1_stdev,66.0,116.0,0.7439955373879197,1.552985739111067,0.06196078431372548
Orien2_stdev,3.0,129.0,0.14002800840280108,48.449441730824574,0.0009448818897637778
EMG0_energy,17.0,57.0,835.0,3962.0,0.08682926829268292
EMG1_energy,12.0,57.0,424.75,2564.25,0.07304347826086956
EMG2_energy,73.0,91.0,3166.25,6202.0,0.23368421052631577
EMG3_energy,48.0,96.0,1307.0,6023.5,0.06612244897959184
EMG4_energy,33.0,81.0,2425.25,5098.5,0.06612244897959184
EMG5_energy,15.0,45.0,5999.0,12469.5,0.12774193548387097
EMG6_energy,33.0,67.0,3132.0,7660.25,0.10857142857142858
EMG7_energy,12.0,71.0,1072.25,6183.5,0.04666666666666667
Accl0_energy,110.0,120.0,13.015177777771505,13.599259736207248,0.43272727272727274
Accl1_energy,10.0,16.0,19.043278037384745,19.47119805881875,0.7028571428571428
Accl2_energy,62.0,74.0,20.343030191983253,20.818955371296248,0.36
Gyr0_energy,11.0,46.0,277.22265625,512.4521484375,0.10444444444444445
Gyr1_energy,44.0,65.0,801.7919921875,1118.7666015625,0.19636363636363638
Gyr2_energy,37.0,68.0,484.7568359375,754.357421875,0.1225
Orien0_energy,103.0,109.0,232617.75,235317.75,0.7028571428571428
Orien1_energy,11.0,19.0,178199.25,181986.75,0.5377777777777778
Orien2_energy,100.0,128.0,1505783.75,1617765.25,0.13931034482758622
