Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,21.0,85.0,-1.9411764705882353,-0.3333333333333333,0.04
EMG1_mean,45.0,98.0,-1.2745098039215683,-0.24509803921568626,0.05629629629629629
EMG2_mean,39.0,93.0,-1.2794117647058822,-0.42647058823529416,0.05454545454545455
EMG3_mean,52.0,106.0,-0.9264705882352942,-0.13725490196078433,0.05454545454545455
EMG4_mean,17.0,123.0,-2.0588235294117645,1.3774509803921569,0.008598130841121496
EMG5_mean,19.0,121.0,-3.4019607843137254,2.4509803921568625,0.010485436893203883
EMG6_mean,27.0,92.0,-1.8333333333333335,0.19117647058823528,0.03878787878787878
EMG7_mean,30.0,76.0,-1.8284313725490193,-0.5294117647058824,0.07063829787234042
Accl0_mean,78.0,88.0,0.42551555882352937,0.4498960882352941,0.43272727272727274
Accl1_mean,56.0,79.0,-0.6903985980392157,-0.6711162352941177,0.17666666666666667
Accl2_mean,37.0,81.0,0.6112443676470589,0.6426618872549019,0.07555555555555556
Gyr0_mean,13.0,101.0,0.1053921568627451,1.4669117647058822,0.01842696629213483
Gyr1_mean,9.0,44.0,-2.5808823529411766,-1.3103553921568627,0.10444444444444445
Gyr2_mean,60.0,125.0,0.08792892156862744,1.1565563725490196,0.03878787878787878
Orien0_mean,43.0,87.0,65.20588235294116,66.80392156862743,0.07555555555555556
Orien1_mean,42.0,51.0,63.25490196078431,65.23529411764706,0.48
Orien2_mean,23.0,28.0,14.019607843137251,16.97058823529412,0.8266666666666667
EMG0_min,28.0,92.0,-40.25,-14.75,0.04
EMG1_min,91.0,122.0,-11.0,-5.0,0.1225
EMG2_min,95.0,121.0,-11.0,-6.0,0.15259259259259259
EMG3_min,92.0,118.0,-12.0,-9.0,0.15259259259259259
EMG4_min,29.0,78.0,-36.25,-21.0,0.064
EMG5_min,23.0,86.0,-66.0,-38.75,0.04125
EMG6_min,79.0,127.0,-24.0,-12.0,0.06612244897959184
EMG7_min,89.0,122.0,-19.25,-8.0,0.11294117647058823
Accl0_min,24.0,89.0,0.2729495,0.38159200000000004,0.03878787878787878
Accl1_min,18.0,70.0,-0.82141125,-0.758667,0.05811320754716981
Accl2_min,39.0,100.0,0.57446275,0.6206050000000001,0.04387096774193549
Gyr0_min,47.0,121.0,-4.109375,-1.125,0.02933333333333333
Gyr1_min,15.0,53.0,-32.265625,-23.171875,0.09333333333333334
Gyr2_min,48.0,129.0,-14.578125,-2.28125,0.023414634146341463
Orien0_min,58.0,99.0,65.0,66.0,0.0838095238095238
Orien1_min,43.0,55.0,63.0,65.0,0.36
Orien2_min,25.0,29.0,11.75,15.25,1.0
EMG0_max,22.0,98.0,11.75,41.25,0.027532467532467537
EMG1_max,11.0,45.0,5.75,14.0,0.10857142857142858
EMG2_max,9.0,53.0,5.75,15.0,0.07555555555555556
EMG3_max,7.0,34.0,6.0,10.0,0.1457142857142857
EMG4_max,55.0,95.0,18.75,27.0,0.08682926829268292
EMG5_max,55.0,118.0,43.0,81.5,0.04125
EMG6_max,3.0,52.0,11.75,27.0,0.064
EMG7_max,10.0,33.0,11.0,17.0,0.17666666666666667
Accl0_max,71.0,81.0,0.45092775,0.46911625,0.43272727272727274
Accl1_max,35.0,68.0,-0.661621,-0.629883,0.11294117647058823
Accl2_max,29.0,103.0,0.640137,0.732056,0.02933333333333333
Gyr0_max,16.0,96.0,8.375,16.625,0.02419753086419753
Gyr1_max,13.0,117.0,2.171875,11.5,0.009523809523809525
Gyr2_max,41.0,99.0,9.421875,18.203125,0.04813559322033899
Orien0_max,50.0,76.0,66.0,67.0,0.15259259259259259
Orien1_max,39.0,75.0,64.75,69.0,0.10054054054054054
Orien2_max,23.0,27.0,14.5,17.5,1.0
EMG0_stdev,32.0,91.0,5.739521436892635,13.54589128029923,0.04666666666666667
EMG1_stdev,7.0,38.0,2.3516588583598415,4.866797387578711,0.1225
EMG2_stdev,11.0,37.0,3.1229561239848653,4.568483690632926,0.15259259259259259
EMG3_stdev,7.0,29.0,3.1662778298686503,4.415280107922046,0.18608695652173912
