Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,19.0,124.0,-2.112745098039216,2.299019607843137,0.009056603773584904
EMG1_mean,20.0,118.0,-2.107843137254902,0.7450980392156863,0.012525252525252526
EMG2_mean,8.0,128.0,-2.8529411764705888,3.147058823529412,0.0029752066115702504
EMG3_mean,4.0,115.0,-2.9950980392156863,0.1127450980392157,0.00642857142857143
EMG4_mean,4.0,119.0,-3.049019607843137,1.2352941176470589,0.0048275862068965555
EMG5_mean,15.0,124.0,-3.818627450980392,3.2745098039215685,0.007272727272727274
EMG6_mean,51.0,113.0,-0.9215686274509804,1.8431372549019605,0.042539682539682544
EMG7_mean,56.0,128.0,-0.9509803921568627,3.504901960784313,0.03123287671232876
Accl0_mean,81.0,95.0,0.42869413725490196,0.4700951519607842,0.3066666666666667
Accl1_mean,86.0,99.0,-0.6590576274509803,-0.6312016421568628,0.33142857142857146
Accl2_mean,88.0,108.0,0.6489736666666667,0.6687729754901961,0.20761904761904762
Gyr0_mean,41.0,92.0,0.8192401960784313,1.3425245098039216,0.06
Gyr1_mean,19.0,36.0,-1.913602941176471,-1.400735294117647,0.2488888888888889
Gyr2_mean,85.0,115.0,0.37837009803921573,0.8030024509803921,0.12774193548387097
Orien0_mean,99.0,106.0,66.98529411764706,67.82843137254902,0.61
Orien1_mean,36.0,48.0,62.25490196078431,64.80392156862743,0.36
Orien2_mean,10.0,16.0,5.617647058823529,10.931372549019606,0.7028571428571428
EMG0_min,24.0,85.0,-42.0,-15.75,0.04387096774193549
EMG1_min,42.0,79.0,-26.25,-13.0,0.0968421052631579
EMG2_min,5.0,40.0,-71.75,-29.0,0.10444444444444445
EMG3_min,3.0,60.0,-49.0,-17.0,0.04965517241379311
EMG4_min,41.0,100.0,-31.0,-17.0,0.04666666666666667
EMG5_min,45.0,95.0,-54.0,-34.0,0.06196078431372548
EMG6_min,7.0,56.0,-94.75,-34.0,0.064
EMG7_min,54.0,89.0,-31.25,-19.0,0.10444444444444445
Accl0_min,17.0,94.0,0.25842275,0.3880615,0.026666666666666672
Accl1_min,13.0,103.0,-0.84057625,-0.7121584999999999,0.017142857142857147
Accl2_min,59.0,108.0,0.5893550000000001,0.62536625,0.064
Gyr0_min,7.0,73.0,-17.328125,-2.609375,0.037611940298507465
Gyr1_min,7.0,87.0,-37.140625,-16.046875,0.02419753086419753
Gyr2_min,17.0,81.0,-22.03125,-8.78125,0.04
Orien0_min,111.0,121.0,67.0,67.0,0.43272727272727274
Orien1_min,37.0,47.0,62.0,64.0,0.43272727272727274
Orien2_min,11.0,18.0,3.75,8.25,0.61
EMG0_max,54.0,102.0,20.0,50.25,0.06612244897959184
EMG1_max,43.0,88.0,14.0,30.25,0.07304347826086956
EMG2_max,85.0,127.0,26.0,82.75,0.08093023255813954
EMG3_max,90.0,118.0,26.0,47.25,0.13931034482758622
EMG4_max,27.0,105.0,12.75,29.0,0.02582278481012658
EMG5_max,33.0,108.0,31.0,68.0,0.028421052631578944
EMG6_max,75.0,109.0,46.0,73.25,0.10857142857142858
EMG7_max,47.0,106.0,20.75,49.5,0.04666666666666667
Accl0_max,85.0,125.0,0.48620599999999997,0.5705565,0.08682926829268292
Accl1_max,75.0,116.0,-0.6206050000000001,-0.5539554999999999,0.0838095238095238
Accl2_max,75.0,126.0,0.680542,0.8319094999999999,0.06
Gyr0_max,91.0,118.0,15.28125,22.921875,0.1457142857142857
Gyr1_max,15.0,102.0,2.4375,8.25,0.019090909090909092
Gyr2_max,94.0,113.0,17.390625,23.703125,0.22
Orien0_max,71.0,106.0,66.75,68.0,0.10444444444444445
Orien1_max,31.0,48.0,64.0,67.0,0.2488888888888889
Orien2_max,10.0,16.0,6.75,11.25,0.7028571428571428
EMG0_stdev,60.0,99.0,8.844039123093323,16.10002577492018,0.09
EMG1_stdev,61.0,86.0,7.424083674027516,10.617864685155421,0.16
EMG2_stdev,106.0,121.0,16.368205511553636,25.026089451595407,0.285
EMG3_stdev,97.0,121.0,10.948106881619754,16.829342090696812,0.168
EMG4_stdev,30.0,86.0,6.690061495734447,10.340473438941489,0.0512280701754386
EMG5_stdev,38.0,73.0,15.143943988206333,18.383539466765765,0.10444444444444445
EMG6_stdev,85.0,113.0,21.266520714748744,27.909854072556612,0.13931034482758622
EMG7_stdev,49.0,90.0,8.711996503838753,14.90663906291957,0.0838095238095238
Accl0_stdev,77.0,116.0,0.01930592231222604,0.03213634226806439,0.09
Accl1_stdev,80.0,112.0,0.021370472761467304,0.03158300987799373,0.11757575757575757
Accl2_stdev,83.0,116.0,0.013960010920754348,0.028778590618335386,0.11294117647058823
Gyr0_stdev,82.0,108.0,3.6808620974058117,4.678791591840364,0.15259259259259259
Gyr1_stdev,73.0,117.0,4.9463594647574505,7.150288635973292,0.07555555555555556
Gyr2_stdev,78.0,111.0,4.130848357955825,5.870749111628182,0.11294117647058823
Orien0_stdev,3.0,87.0,0.0,0.4401425793945393,0.021176470588235297
Orien1_stdev,53.0,97.0,0.6628633877833447,1.0372141913929778,0.07555555555555556
Orien2_stdev,80.0,108.0,0.6416889479197486,0.8507036231187828,0.13931034482758622
EMG0_energy,61.0,99.0,4101.5,12961.0,0.09333333333333334
EMG1_energy,61.0,86.0,2809.25,5661.5,0.16
EMG2_energy,107.0,121.0,14340.75,31417.5,0.3066666666666667
EMG3_energy,97.0,121.0,6080.5,14237.0,0.168
EMG4_energy,29.0,85.0,2257.75,5409.0,0.0512280701754386
EMG5_energy,38.0,74.0,11609.5,17217.0,0.10054054054054054
EMG6_energy,85.0,113.0,22680.25,39465.0,0.13931034482758622
EMG7_energy,48.0,90.0,3842.25,11497.25,0.08093023255813954
Accl0_energy,81.0,95.0,9.418832737518997,11.296874669163248,0.3066666666666667
Accl1_energy,28.0,43.0,20.34291910273075,22.192172569016012,0.285
Accl2_energy,87.0,108.0,21.4890255098685,22.821033464291258,0.19636363636363638
Gyr0_energy,77.0,104.0,712.4521484375,1142.0263671875,0.1457142857142857
Gyr1_energy,72.0,114.0,1315.8076171875,2739.419921875,0.08093023255813954
Gyr2_energy,79.0,110.0,879.103515625,1733.1123046875,0.1225
Orien0_energy,99.0,106.0,228839.25,234642.75,0.61
Orien1_energy,36.0,48.0,197680.0,214223.0,0.36
Orien2_energy,10.0,16.0,1643.0,6138.5,0.7028571428571428
