Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,39.0,108.0,-1.303921568627451,0.3382352941176471,0.034285714285714294
EMG1_mean,37.0,106.0,-1.3725490196078431,0.06372549019607844,0.034285714285714294
EMG2_mean,47.0,81.0,-1.1421568627450982,-0.7205882352941176,0.10857142857142858
EMG3_mean,14.0,109.0,-1.553921568627451,-0.09313725490196079,0.014166666666666664
EMG4_mean,2.0,124.0,-3.6715686274509807,1.4362745098039214,0.0022764227642276397
EMG5_mean,1.0,126.0,-6.348039215686274,3.965686274509804,0.0012698412698412724
EMG6_mean,45.0,109.0,-1.1176470588235294,1.1862745098039214,0.04
EMG7_mean,55.0,104.0,-0.9803921568627452,0.31862745098039214,0.064
Accl0_mean,18.0,63.0,0.36517455882352945,0.39590514215686273,0.07304347826086956
Accl1_mean,35.0,53.0,-0.709606637254902,-0.6934168137254904,0.23368421052631577
Accl2_mean,82.0,91.0,0.6433655833333334,0.6535764362745099,0.48
Gyr0_mean,105.0,119.0,1.5456495098039216,2.7950367647058822,0.3066666666666667
Gyr1_mean,39.0,87.0,-1.3728553921568627,-0.7751225490196079,0.06612244897959184
Gyr2_mean,64.0,109.0,0.14185049019607845,0.6651348039215685,0.07304347826086956
Orien0_mean,52.0,76.0,65.74019607843138,66.08823529411765,0.168
Orien1_mean,66.0,115.0,66.93627450980392,68.8921568627451,0.064
Orien2_mean,75.0,91.0,169.77450980392157,170.85294117647058,0.26588235294117646
EMG0_min,74.0,126.0,-18.25,-6.0,0.05811320754716981
EMG1_min,46.0,123.0,-24.0,-5.0,0.026666666666666672
EMG2_min,96.0,128.0,-11.0,-5.0,0.11757575757575757
EMG3_min,64.0,108.0,-16.0,-10.0,0.07555555555555556
EMG4_min,21.0,45.0,-43.0,-29.75,0.168
EMG5_min,8.0,65.0,-85.0,-45.75,0.04965517241379311
EMG6_min,75.0,121.0,-25.0,-13.0,0.07063829787234042
EMG7_min,99.0,129.0,-16.0,-5.0,0.12774193548387097
Accl0_min,25.0,54.0,0.28124975,0.326782,0.13333333333333333
Accl1_min,24.0,67.0,-0.807739,-0.7592770000000001,0.07818181818181819
Accl2_min,64.0,99.0,0.591797,0.6176755,0.10444444444444445
Gyr0_min,34.0,102.0,-6.296875,-1.796875,0.03536231884057971
Gyr1_min,80.0,115.0,-17.75,-10.4375,0.10444444444444445
Gyr2_min,52.0,97.0,-13.796875,-7.546875,0.07304347826086956
Orien0_min,23.0,27.0,64.0,64.0,1.0
Orien1_min,62.0,119.0,65.75,68.0,0.04965517241379311
Orien2_min,79.0,95.0,168.0,170.0,0.26588235294117646
