Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,2.0,121.0,-7.014705882352941,1.7647058823529411,0.002645502645502643
EMG1_mean,23.0,112.0,-2.0049019607843137,0.23039215686274514,0.014109347442680775
EMG2_mean,33.0,115.0,-1.357843137254902,0.14705882352941177,0.017976668579078217
EMG3_mean,37.0,98.0,-1.0784313725490196,-0.2352941176470588,0.03481822836661546
EMG4_mean,49.0,113.0,-1.1421568627450982,0.6029411764705883,0.031746031746031744
EMG5_mean,11.0,72.0,-4.431372549019607,-0.5833333333333334,0.03481822836661546
EMG6_mean,20.0,97.0,-2.2450980392156863,0.3382352941176471,0.021164021164021166
EMG7_mean,7.0,114.0,-3.3970588235294117,0.8529411764705882,0.006466784244562023
Accl0_mean,65.0,83.0,0.39617080392156867,0.4311116421568627,0.18546365914786966
Accl1_mean,42.0,64.0,-0.7039914656862745,-0.6851351911764705,0.147688060731539
Accl2_mean,60.0,76.0,0.6260100343137256,0.6391506421568627,0.21101774042950514
Gyr0_mean,64.0,96.0,1.124387254901961,1.4270833333333333,0.09331409331409332
Gyr1_mean,56.0,116.0,-1.160232843137255,-0.26041666666666663,0.035909445745511324
Gyr2_mean,75.0,118.0,0.23651960784313725,0.8226102941176471,0.06204906204906205
Orien0_mean,62.0,69.0,65.86274509803921,65.92647058823529,0.48412698412698413
Orien1_mean,46.0,64.0,64.55392156862743,66.90686274509804,0.18546365914786966
Orien2_mean,64.0,81.0,168.6372549019608,170.15686274509804,0.19753086419753088
EMG0_min,6.0,26.0,-70.5,-41.0,0.16477702191987906
EMG1_min,64.0,96.0,-18.0,-10.0,0.09331409331409332
EMG2_min,100.0,122.0,-11.0,-6.0,0.147688060731539
EMG3_min,113.0,128.0,-9.0,-5.75,0.2261904761904762
EMG4_min,43.0,120.0,-30.25,-11.0,0.021164021164021166
EMG5_min,15.0,93.0,-77.5,-35.75,0.020494273658830626
EMG6_min,74.0,115.0,-25.0,-16.0,0.06651549508692366
EMG7_min,21.0,52.0,-48.25,-32.0,0.09722222222222222
Accl0_min,85.0,92.0,0.37280275,0.38500999999999996,0.48412698412698413
Accl1_min,71.0,93.0,-0.758789,-0.72570775,0.147688060731539
Accl2_min,78.0,94.0,0.6004639999999999,0.61145,0.21101774042950514
Gyr0_min,56.0,92.0,-3.390625,-1.875,0.07979407979407979
Gyr1_min,32.0,108.0,-26.59375,-12.125,0.02185116470830756
Gyr2_min,73.0,118.0,-10.328125,-4.625,0.057971014492753624
Orien0_min,66.0,84.0,65.0,65.25,0.18546365914786966
Orien1_min,50.0,65.0,64.0,66.0,0.2261904761904762
Orien2_min,64.0,70.0,167.0,168.0,0.5578231292517007
EMG0_max,106.0,125.0,53.5,92.5,0.1746031746031746
EMG1_max,48.0,76.0,14.75,24.0,0.11056376573617951
EMG2_max,10.0,70.0,6.0,20.0,0.035909445745511324
EMG3_max,2.0,15.0,5.0,7.0,0.2630385487528345
EMG4_max,26.0,49.0,12.0,18.0,0.14021164021164023
EMG5_max,20.0,89.0,25.0,55.0,0.0272108843537415
EMG6_max,7.0,35.0,15.0,22.0,0.11056376573617951
EMG7_max,73.0,108.0,30.0,53.25,0.08289241622574955
Accl0_max,46.0,70.0,0.41821275,0.44909625000000003,0.13333333333333333
