Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,4.0,111.0,-5.416666666666668,0.47549019607843146,0.008148148148148146
EMG1_mean,56.0,95.0,-1.0245098039215685,-0.39705882352941174,0.09
EMG2_mean,46.0,95.0,-1.156862745098039,-0.4117647058823529,0.064
EMG3_mean,32.0,100.0,-1.1421568627450982,-0.23039215686274508,0.03536231884057971
EMG4_mean,46.0,126.0,-1.230392156862745,1.7058823529411764,0.02419753086419753
EMG5_mean,9.0,106.0,-4.666666666666667,1.1715686274509804,0.013061224489795919
EMG6_mean,13.0,101.0,-2.9019607843137254,0.5784313725490196,0.01842696629213483
EMG7_mean,9.0,113.0,-3.372549019607843,0.7843137254901961,0.009523809523809525
Accl0_mean,57.0,72.0,0.39247764215686276,0.404184362745098,0.285
Accl1_mean,74.0,80.0,-0.6784812254901961,-0.6710109313725492,0.7028571428571428
Accl2_mean,99.0,107.0,0.6607499019607843,0.6668366176470589,0.5377777777777778
Gyr0_mean,58.0,108.0,1.0799632352941173,1.6011029411764708,0.06196078431372548
Gyr1_mean,8.0,101.0,-2.677389705882353,-0.6694240196078431,0.015319148936170215
Gyr2_mean,53.0,129.0,0.0009191176470588235,1.7126225490196076,0.027532467532467537
Orien0_mean,85.0,94.0,66.78431372549021,66.88725490196077,0.48
Orien1_mean,59.0,72.0,66.25,67.14705882352942,0.33142857142857146
Orien2_mean,18.0,22.0,11.460784313725489,12.803921568627448,1.0
EMG0_min,13.0,45.0,-56.25,-30.0,0.11757575757575757
EMG1_min,77.0,107.0,-13.0,-8.75,0.12774193548387097
EMG2_min,48.0,120.0,-25.25,-6.75,0.03123287671232876
EMG3_min,55.0,100.0,-20.0,-11.0,0.07304347826086956
EMG4_min,6.0,62.0,-50.5,-25.0,0.0512280701754386
EMG5_min,4.0,83.0,-92.75,-40.0,0.025
EMG6_min,38.0,105.0,-48.0,-17.75,0.036470588235294116
EMG7_min,75.0,104.0,-23.0,-14.0,0.13333333333333333
Accl0_min,31.0,87.0,0.29077149999999996,0.37792950000000003,0.0512280701754386
Accl1_min,57.0,91.0,-0.76794425,-0.73339825,0.10857142857142858
Accl2_min,102.0,115.0,0.62170375,0.63452125,0.33142857142857146
Gyr0_min,61.0,108.0,-3.15625,-1.625,0.06833333333333333
Gyr1_min,71.0,119.0,-20.828125,-9.140625,0.06612244897959184
Gyr2_min,45.0,128.0,-15.390625,-2.46875,0.021904761904761906
Orien0_min,86.0,101.0,66.0,66.0,0.285
Orien1_min,53.0,80.0,64.75,67.0,0.1457142857142857
Orien2_min,20.0,24.0,8.75,11.25,1.0
EMG0_max,70.0,114.0,26.0,66.0,0.07555555555555556
EMG1_max,6.0,119.0,3.75,77.5,0.005614035087719301
EMG2_max,8.0,55.0,5.0,15.0,0.06833333333333333
EMG3_max,23.0,102.0,8.0,33.5,0.025
