Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,42.0,90.0,-1.2401960784313726,-0.2549019607843137,0.05247813411078717
EMG1_mean,4.0,125.0,-4.470588235294118,2.068627450980392,0.002081706999739789
EMG2_mean,20.0,124.0,-2.0245098039215685,1.656862745098039,0.007558578987150417
EMG3_mean,29.0,103.0,-1.2696078431372548,-0.17647058823529413,0.023280423280423283
EMG4_mean,42.0,57.0,-1.2941176470588236,-1.0,0.2261904761904762
EMG5_mean,68.0,90.0,-0.75,0.3431372549019608,0.147688060731539
EMG6_mean,17.0,66.0,-2.563725490196078,-0.6617647058823529,0.050793650793650794
EMG7_mean,16.0,43.0,-2.5098039215686274,-1.465686274509804,0.11564625850340138
Accl0_mean,10.0,14.0,0.3576277303921569,0.3626709019607844,0.7936507936507936
Accl1_mean,125.0,129.0,-0.5932975882352941,-0.5805137401960784,0.7936507936507936
Accl2_mean,126.0,129.0,0.7577598529411763,0.7686455882352942,1.0
Gyr0_mean,121.0,124.0,3.3164828431372553,4.657169117647059,1.0
Gyr1_mean,51.0,99.0,-1.2432598039215685,-0.6801470588235294,0.05247813411078717
Gyr2_mean,23.0,58.0,-0.7034313725490196,0.07322303921568628,0.08289241622574955
Orien0_mean,125.0,129.0,70.71568627450978,71.3529411764706,0.7936507936507936
Orien1_mean,110.0,119.0,68.52450980392157,69.15686274509804,0.38095238095238093
Orien2_mean,81.0,92.0,169.91666666666666,170.8970588235294,0.3121693121693122
EMG0_min,98.0,125.0,-13.25,-6.75,0.11564625850340138
EMG1_min,22.0,35.0,-39.25,-30.75,0.2630385487528345
EMG2_min,63.0,79.0,-18.0,-14.75,0.21101774042950514
EMG3_min,81.0,126.0,-14.0,-7.0,0.057971014492753624
EMG4_min,122.0,129.0,-11.0,-7.25,0.48412698412698413
EMG5_min,91.0,124.0,-36.25,-19.0,0.0896358543417367
EMG6_min,43.0,70.0,-44.25,-26.75,0.11564625850340138
EMG7_min,74.0,105.0,-24.0,-14.0,0.09722222222222222
Accl0_min,29.0,52.0,0.28784175,0.3242185,0.14021164021164023
Accl1_min,66.0,89.0,-0.7603759999999999,-0.74096675,0.14021164021164023
Accl2_min,108.0,124.0,0.623901,0.6511235,0.21101774042950514
Gyr0_min,72.0,128.0,-2.625,-0.734375,0.04065719855193539
Gyr1_min,43.0,111.0,-24.546875,-11.796875,0.0280653324131585
Gyr2_min,22.0,30.0,-19.890625,-18.296875,0.4268077601410935
Orien0_min,98.0,120.0,66.0,67.0,0.147688060731539
Orien1_min,103.0,127.0,68.0,69.0,0.13333333333333333
Orien2_min,72.0,96.0,168.0,170.0,0.13333333333333333
EMG0_max,7.0,42.0,6.75,17.0,0.08289241622574955
EMG1_max,80.0,94.0,26.75,33.0,0.24338624338624337
EMG2_max,35.0,74.0,11.0,21.25,0.07142857142857142
EMG3_max,0.0,45.0,5.0,11.0,0.057971014492753624
EMG4_max,1.0,13.0,5.0,10.0,0.2857142857142857
EMG5_max,3.0,52.0,17.75,41.0,0.050793650793650794
EMG6_max,57.0,122.0,30.0,95.75,0.030784030784030785
EMG7_max,12.0,25.0,12.0,15.0,0.2630385487528345
Accl0_max,1.0,8.0,0.3754885,0.38623,0.48412698412698413
Accl1_max,112.0,121.0,-0.5616455,-0.547241,0.38095238095238093
Accl2_max,116.0,121.0,0.7860109999999999,0.8035892499999999,0.6560846560846562
Gyr0_max,121.0,126.0,28.125,50.21875,0.6560846560846562
Gyr1_max,81.0,116.0,6.484375,11.34375,0.08289241622574955
Gyr2_max,45.0,111.0,10.234375,22.6875,0.02985074626865672
Orien0_max,121.0,127.0,71.5,72.25,0.5578231292517007
Orien1_max,111.0,118.0,71.0,71.0,0.48412698412698413
Orien2_max,74.0,85.0,170.75,171.0,0.3121693121693122
EMG0_stdev,13.0,23.0,3.372780646937323,4.859263623590114,0.3434343434343434
EMG1_stdev,99.0,110.0,12.716626111869598,15.061276118748626,0.3121693121693122
EMG2_stdev,52.0,64.0,5.6700499805448565,7.163026376755744,0.2857142857142857
EMG3_stdev,1.0,17.0,2.7331936047544003,3.752504410041934,0.21101774042950514
EMG4_stdev,0.0,4.0,2.3884262290092373,3.8372062898126273,0.7936507936507936
EMG5_stdev,2.0,19.0,8.013699350708354,11.574784483819833,0.19753086419753088
EMG6_stdev,68.0,99.0,12.306197179687352,24.710736906077134,0.09722222222222222
EMG7_stdev,19.0,33.0,5.507205907623997,7.275990735530201,0.24338624338624337
Accl0_stdev,19.0,56.0,0.010792248343828467,0.016193080046946584,0.07685881370091896
Accl1_stdev,114.0,119.0,0.03347000621756056,0.054990754055168865,0.6560846560846562
Accl2_stdev,115.0,119.0,0.025870801942732762,0.041650300638407495,0.7936507936507936
Gyr0_stdev,121.0,124.0,7.918577446448892,10.349527227872846,1.0
Gyr1_stdev,25.0,94.0,3.333714202123123,5.84449377599468,0.0272108843537415
Gyr2_stdev,86.0,114.0,4.398660963555787,6.090063339227246,0.11056376573617951
