Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,20.0,88.0,-2.019607843137255,-0.303921568627451,0.03536231884057971
EMG1_mean,18.0,89.0,-2.1764705882352944,-0.5049019607843137,0.03222222222222223
EMG2_mean,12.0,96.0,-2.568627450980392,-0.38235294117647056,0.021176470588235297
EMG3_mean,8.0,128.0,-2.2794117647058822,2.0735294117647056,0.0029752066115702504
EMG4_mean,36.0,103.0,-1.3970588235294117,0.13725490196078433,0.036470588235294116
EMG5_mean,2.0,112.0,-5.90686274509804,1.7549019607843137,0.006846846846846845
EMG6_mean,5.0,94.0,-4.4068627450980395,0.2352941176470588,0.017777777777777778
EMG7_mean,15.0,123.0,-2.593137254901961,1.5931372549019607,0.007706422018348626
Accl0_mean,23.0,57.0,0.36859248529411753,0.3933129950980393,0.10857142857142858
Accl1_mean,6.0,22.0,-0.7415580294117645,-0.7236136470588236,0.26588235294117646
Accl2_mean,10.0,59.0,0.5884100539215686,0.6244590637254901,0.064
Gyr0_mean,4.0,36.0,-0.40900735294117646,0.7717524509803921,0.11757575757575757
Gyr1_mean,34.0,114.0,-1.4240196078431373,-0.4699754901960785,0.02419753086419753
Gyr2_mean,58.0,126.0,0.07751225490196077,1.2049632352941178,0.03536231884057971
Orien0_mean,8.0,36.0,63.955882352941174,64.98529411764706,0.13931034482758622
Orien1_mean,69.0,106.0,67.0,68.41176470588235,0.0968421052631579
Orien2_mean,34.0,38.0,19.279411764705877,21.740196078431374,1.0
EMG0_min,57.0,109.0,-23.0,-10.75,0.05811320754716981
EMG1_min,45.0,93.0,-24.25,-11.0,0.06612244897959184
EMG2_min,56.0,80.0,-19.25,-14.0,0.168
EMG3_min,4.0,51.0,-49.0,-22.75,0.06833333333333333
EMG4_min,53.0,105.0,-26.0,-16.0,0.05811320754716981
EMG5_min,30.0,93.0,-62.0,-34.75,0.04125
EMG6_min,1.0,30.0,-110.0,-55.75,0.13333333333333333
EMG7_min,35.0,93.0,-39.0,-17.0,0.04813559322033899
Accl0_min,14.0,81.0,0.25512725,0.3635255,0.036470588235294116
Accl1_min,14.0,48.0,-0.8289795,-0.77758775,0.10857142857142858
Accl2_min,17.0,60.0,0.5347897500000001,0.589966,0.07818181818181819
Gyr0_min,10.0,36.0,-14.984375,-5.53125,0.15259259259259259
Gyr1_min,29.0,66.0,-27.390625,-21.125,0.0968421052631579
Gyr2_min,7.0,127.0,-26.96875,-2.9375,0.0029752066115702504
Orien0_min,1.0,41.0,62.5,64.0,0.08682926829268292
Orien1_min,64.0,121.0,66.0,68.0,0.04965517241379311
Orien2_min,33.0,41.0,17.75,20.25,0.5377777777777778
EMG0_max,18.0,60.0,10.0,23.25,0.08093023255813954
EMG1_max,12.0,78.0,6.0,25.25,0.037611940298507465
EMG2_max,26.0,89.0,9.0,28.0,0.04125
EMG3_max,78.0,106.0,22.0,36.0,0.13931034482758622
EMG4_max,52.0,99.0,18.0,28.0,0.06833333333333333
EMG5_max,50.0,111.0,38.75,68.75,0.04387096774193549
EMG6_max,74.0,119.0,46.0,89.75,0.07304347826086956
EMG7_max,22.0,88.0,15.0,36.5,0.037611940298507465
Accl0_max,21.0,50.0,0.397949,0.42102025,0.13333333333333333
Accl1_max,4.0,86.0,-0.7060545,-0.6043700000000001,0.02265060240963855
Accl2_max,11.0,87.0,0.61938475,0.69030725,0.027532467532467537
Gyr0_max,3.0,111.0,3.53125,19.390625,0.007706422018348626
Gyr1_max,47.0,88.0,4.5625,7.015625,0.0838095238095238
Gyr2_max,57.0,115.0,11.671875,24.640625,0.04813559322033899
Orien0_max,3.0,48.0,64.0,66.0,0.07304347826086956
Orien1_max,62.0,118.0,68.0,71.0,0.0512280701754386
Orien2_max,32.0,39.0,20.0,22.25,0.61
EMG0_stdev,27.0,65.0,5.3857714959146925,9.507185360763923,0.09333333333333334
EMG1_stdev,21.0,69.0,3.4830042977967715,8.502974099890068,0.06612244897959184
EMG2_stdev,47.0,84.0,5.160911034026238,9.356647118843428,0.0968421052631579
EMG3_stdev,77.0,109.0,7.825053997283425,13.359089724499029,0.11757575757575757
EMG4_stdev,49.0,76.0,7.945167134206672,9.578650658385609,0.1457142857142857
EMG5_stdev,77.0,105.0,18.69663791433029,21.722401164132386,0.13931034482758622
EMG6_stdev,89.0,116.0,22.17765500560109,28.907437061688448,0.1457142857142857
EMG7_stdev,37.0,95.0,7.685485327115643,15.695528674610877,0.04813559322033899
Accl0_stdev,5.0,90.0,0.00844104694683528,0.02189681009700264,0.02046511627906977
Accl1_stdev,8.0,110.0,0.012782110437484406,0.029857985726332272,0.010485436893203883
Accl2_stdev,51.0,107.0,0.011051552989733121,0.02067189897933617,0.0512280701754386
Gyr0_stdev,4.0,98.0,1.6763391635624745,4.157736768737223,0.014736842105263158
Gyr1_stdev,51.0,79.0,4.01025563995517,5.252746785512936,0.13931034482758622
Gyr2_stdev,33.0,120.0,2.9538280918221953,7.536386802992954,0.019090909090909092
Orien0_stdev,7.0,114.0,0.0,0.8059220294132451,0.008148148148148146
Orien1_stdev,0.0,62.0,0.11562615792490105,0.7304300535243431,0.042539682539682544
Orien2_stdev,2.0,100.0,0.10502100630210079,0.7492476808208346,0.012525252525252526
EMG0_energy,30.0,65.0,1610.75,4534.0,0.10444444444444445
EMG1_energy,27.0,69.0,754.5,3640.25,0.08093023255813954
EMG2_energy,50.0,84.0,1521.75,4406.75,0.10857142857142858
EMG3_energy,76.0,110.0,3094.25,9171.5,0.10857142857142858
EMG4_energy,47.0,75.0,3177.5,4598.5,0.13931034482758622
