Class,EMG0_mean,EMG1_mean,EMG2_mean,EMG3_mean,EMG4_mean,EMG5_mean,EMG6_mean,EMG7_mean,Accl0_mean,Accl1_mean,Accl2_mean,Gyr0_mean,Gyr1_mean,Gyr2_mean,Orien0_mean,Orien1_mean,Orien2_mean,EMG0_min,EMG1_min,EMG2_min,EMG3_min,EMG4_min,EMG5_min,EMG6_min,EMG7_min,Accl0_min,Accl1_min,Accl2_min,Gyr0_min,Gyr1_min,Gyr2_min,Orien0_min,Orien1_min,Orien2_min,EMG0_max,EMG1_max,EMG2_max,EMG3_max,EMG4_max,EMG5_max,EMG6_max,EMG7_max,Accl0_max,Accl1_max,Accl2_max,Gyr0_max,Gyr1_max,Gyr2_max,Orien0_max,Orien1_max,Orien2_max,EMG0_stdev,EMG1_stdev,EMG2_stdev,EMG3_stdev,EMG4_stdev,EMG5_stdev,EMG6_stdev,EMG7_stdev,Accl0_stdev,Accl1_stdev,Accl2_stdev,Gyr0_stdev,Gyr1_stdev,Gyr2_stdev,Orien0_stdev,Orien1_stdev,Orien2_stdev,EMG0_energy,EMG1_energy,EMG2_energy,EMG3_energy,EMG4_energy,EMG5_energy,EMG6_energy,EMG7_energy,Accl0_energy,Accl1_energy,Accl2_energy,Gyr0_energy,Gyr1_energy,Gyr2_energy,Orien0_energy,Orien1_energy,Orien2_energy
a,-1.8431372549019607,-1.2941176470588236,-1.3529411764705883,-0.43137254901960786,-3.0784313725490198,-4.803921568627451,-0.45098039215686275,0.0,0.5200865490196079,-0.6798024901960783,0.555376882352941,1.3333333333333333,-4.446078431372549,-0.5428921568627451,64.0,57.92156862745098,160.07843137254903,-97.0,-12.0,-10.0,-14.0,-44.0,-59.0,-17.0,-38.0,0.414551,-0.786621,0.5273439999999999,-0.9375,-30.875,-17.5,64.0,57.0,156.0,42.0,6.0,11.0,18.0,40.0,88.0,16.0,34.0,0.544434,-0.629883,0.6035159999999999,19.625,1.375,12.8125,64.0,63.0,161.0,25.44120480560589,4.153524371649016,3.4165686260443513,7.026392821244152,14.391446261241294,24.108935777294803,6.441471029167782,15.786069808536892,0.023274556514196982,0.022908812403415895,0.012532054745566762,3.649650382799246,7.182552858401079,4.1767303711320976,0.0,1.5078877578241936,1.0167229171195455,32536.0,948.0,677.0,2478.0,10839.0,30239.0,2085.0,12460.0,13.822076191074,23.594943393803007,15.738470173863,756.6640625,3587.6015625,887.28515625,208896.0,171214.0,1306932.0
a,1.9803921568627452,-1.3333333333333333,-1.9607843137254901,-0.9607843137254902,-1.3333333333333333,-0.7450980392156863,-1.5686274509803921,-1.0784313725490196,0.5036764705882353,-0.7050780980392157,0.5381720392156863,1.1409313725490196,-3.6973039215686274,-0.8933823529411765,63.0,59.19607843137255,128.27450980392157,-32.0,-10.0,-13.0,-23.0,-23.0,-49.0,-17.0,-63.0,0.382324,-0.7924800000000001,0.49511700000000003,-1.0,-32.1875,-26.0625,63.0,58.0,125.0,81.0,13.0,8.0,23.0,28.0,74.0,37.0,51.0,0.539062,-0.661621,0.570312,18.0625,3.0,11.0625,63.0,63.0,129.0,22.54816196152443,4.116632928336783,4.525310085789594,8.924036719587667,10.797530581881519,20.90343812606424,8.49294978664253,18.493072364812615,0.028437354425721758,0.0231124160643191,0.010728697620794031,3.371313800315255,7.037881567686707,5.484584848088536,0.0,1.1492538073574035,0.9813955649492002,25621.0,938.0,1220.0,4029.0,5920.0,21876.0,3732.0,17159.0,12.978623494572002,25.380600529880994,14.776841581104,634.67578125,3173.76171875,1544.73828125,202419.0,178779.0,839220.0
a,-0.5294117647058824,0.0784313725490196,-1.5490196078431373,0.23529411764705882,-1.0588235294117647,0.5490196078431373,-0.6078431372549019,-4.607843137254902,0.5127719411764705,-0.6938093529411762,0.5368891764705882,1.5318627450980393,-3.6237745098039214,-0.7218137254901961,63.0,58.705882352941174,131.6078431372549,-42.0,-15.0,-14.0,-15.0,-48.0,-74.0,-17.0,-43.0,0.398438,-0.7871090000000001,0.515137,-1.375,-38.5,-25.25,63.0,58.0,128.0,84.0,31.0,13.0,28.0,20.0,51.0,17.0,54.0,0.53418,-0.6547850000000001,0.588379,19.4375,2.5625,15.375,63.0,64.0,133.0,24.391271341343792,8.66220096108351,6.1231159567337805,7.490228929196003,12.410337247159534,25.071349166321465,7.2334733879998465,18.595782781450797,0.0306697953748712,0.022247550398031266,0.010393972558566597,3.983586883800116,6.510406215677886,5.614230158232545,0.0,1.8362365604361404,1.1675346910914297,29761.0,3752.0,1997.0,2808.0,7758.0,31444.0,2635.0,18373.0,13.456720063969,24.574690004597006,14.706151111651995,913.125,2788.98828125,1602.55078125,202419.0,175934.0,883420.0
a,-0.9411764705882353,-1.392156862745098,-0.9411764705882353,-1.0588235294117647,-2.176470588235294,-1.0392156862745099,-1.9215686274509804,-1.0,0.4884248823529412,-0.6452110392156861,0.6231905490196078,1.420343137254902,-3.4558823529411766,-0.09681372549019608,66.23529411764706,60.1764705882353,170.7843137254902,-22.0,-11.0,-14.0,-15.0,-38.0,-49.0,-27.0,-24.0,0.42285200000000006,-0.729004,0.571289,-1.375,-33.75,-19.4375,66.0,60.0,168.0,29.0,13.0,20.0,23.0,28.0,48.0,9.0,27.0,0.5200199999999999,-0.575195,0.645508,19.4375,-0.25,6.5625,67.0,63.0,172.0,10.313896964204911,4.40489923322906,4.937253344546469,6.146256632148979,11.843489152024315,21.02851472102937,6.641816430028467,9.035485598461214,0.014463447285688224,0.02133700781643085,0.010159200982978385,4.508171026580731,5.641729207954098,3.4863867785442055,0.42840332837724987,0.6543968934199238,0.6422997895125331,5364.0,1069.0,1264.0,1946.0,7255.0,22165.0,2394.0,4133.0,12.176961716145001,21.253924936542997,19.811849947986,1119.06640625,2200.5546875,608.22265625,223752.0,184703.0,1487552.0
a,0.0784313725490196,-0.9607843137254902,-1.2156862745098038,0.0784313725490196,1.8431372549019607,-0.0196078431372549,-2.607843137254902,-3.372549019607843,0.500631843137255,-0.6494523725490196,0.611749431372549,1.2512254901960784,-3.049019607843137,0.4693627450980392,65.86274509803921,59.333333333333336,173.3921568627451,-38.0,-14.0,-8.0,-13.0,-39.0,-59.0,-24.0,-28.0,0.433594,-0.723633,0.5844729999999999,-3.6875,-20.75,-7.9375,65.0,59.0,171.0,67.0,20.0,11.0,18.0,33.0,54.0,24.0,19.0,0.5249020000000001,-0.616211,0.6367189999999999,11.3125,1.5,11.9375,66.0,61.0,174.0,20.022830106910366,6.396751626610886,4.177624805988188,5.7718043530767815,13.920305383172607,19.936389037213765,7.202995019774895,10.152754866170511,0.018239017019974022,0.01934923932350911,0.009151088342388355,3.4772809554502864,4.612759371526749,2.9356476220391836,0.3475403771153648,0.7393691004272953,1.0213409102263358,20046.0,2093.0,948.0,1666.0,9862.0,19873.0,2941.0,5734.0,12.798877447606003,21.529927247807006,19.090292826909003,684.41796875,1538.0,442.13671875,221239.0,179570.0,1533359.0
b,0.0392156862745098,-1.2352941176470589,-5.862745098039215,-0.49019607843137253,0.45098039215686275,-1.9411764705882353,-6.019607843137255,-3.411764705882353,0.4652363137254902,-0.681631019607843,0.6020794705882353,1.1041666666666667,-2.7463235294117645,0.41421568627450983,64.94117647058823,61.333333333333336,178.35294117647058,-20.0,-12.0,-67.0,-104.0,-20.0,-30.0,-59.0,-46.0,0.333496,-0.91748,0.545898,-4.625,-27.4375,-16.9375,64.0,61.0,176.0,33.0,11.0,47.0,62.0,46.0,75.0,78.0,23.0,0.526367,-0.609863,0.705566,15.5625,4.5625,28.8125,65.0,64.0,179.0,10.622543545335505,5.609236080944063,21.667505262805992,25.30088737496739,11.3372196335613,17.9124669040374,26.935842437969843,15.628405511232724,0.030498177677684417,0.038136747257462945,0.020848006764535503,3.4200389861325666,5.06844422266195,6.156715855271299,0.2376354103144016,0.7916228058025288,0.8904724456548835,5642.0,1651.0,25227.0,32019.0,6437.0,16235.0,38125.0,12806.0,11.085193150136,23.768383766041996,18.509216103396998,647.01171875,1669.11328125,1904.0078125,215088.0,191882.0,1622338.0
b,-1.5490196078431373,-1.803921568627451,-2.8823529411764706,-0.9803921568627451,-5.176470588235294,-3.0392156862745097,2.980392156862745,-2.6862745098039214,0.46724678431372546,-0.6865138431372548,0.5926585490196078,1.2904411764705883,-2.9816176470588234,0.6838235294117647,64.96078431372548,61.31372549019608,16.137254901960784,-15.0,-9.0,-37.0,-33.0,-52.0,-95.0,-86.0,-33.0,0.41552700000000004,-0.721191,0.520996,-3.0,-32.875,-10.5625,64.0,60.0,0.0,21.0,10.0,30.0,80.0,24.0,125.0,127.0,30.0,0.5268550000000001,-0.648926,0.617676,15.0625,8.25,18.25,65.0,63.0,179.0,7.550665468659554,4.195328868363657,14.968830360216566,23.62836447668643,13.491783992271657,31.0483241314656,36.8979621096225,14.4228848654885,0.01912757430550327,0.013016308196063198,0.014876030848736137,3.596457100602007,6.595515689154438,3.6974106599396417,0.1960392117639213,0.6779438347955186,47.98917361565758,2973.0,1046.0,11627.0,27964.0,10468.0,48671.0,68526.0,10769.0,11.152590634968,24.044835311726008,17.924516756718,731.65234375,2628.43359375,707.390625,215217.0,191751.0,128429.0
b,-0.4117647058823529,-1.0588235294117647,-1.1568627450980393,-0.0784313725490196,-0.49019607843137253,1.9411764705882353,-0.8823529411764706,0.35294117647058826,0.44488166666666656,-0.686475588235294,0.6135492549019608,0.6580882352941176,-2.340686274509804,0.21446078431372548,65.0,62.98039215686274,5.529411764705882,-21.0,-12.0,-36.0,-33.0,-19.0,-29.0,-57.0,-32.0,0.257324,-0.8764649999999999,0.583496,-2.6875,-22.75,-5.1875,65.0,62.0,2.0,22.0,5.0,25.0,52.0,18.0,25.0,67.0,31.0,0.494141,-0.624512,0.641113,12.25,2.625,9.375,65.0,64.0,6.0,8.236932610112177,3.518020833968339,11.75137872595315,14.798436589389977,8.107706331681253,11.250620897898715,24.837590107595805,10.886364920232586,0.029209642734320924,0.03094165694152559,0.008849252194040208,2.6010320349928073,4.199298931918022,1.9220047680563581,0.0,0.2441471751572295,0.8798395575665062,3401.0,676.0,6973.0,10950.0,3299.0,6521.0,30885.0,5932.0,10.136564725574997,24.081554702107002,19.202492560948006,360.35546875,1161.125,187.05078125,215475.0,202296.0,1598.0
b,-0.35294117647058826,0.0196078431372549,-0.058823529411764705,-0.8823529411764706,1.7058823529411764,1.2745098039215685,-0.7058823529411765,-0.9803921568627451,0.458247137254902,-0.6854128627450979,0.603802843137255,1.4583333333333333,-2.9840686274509802,0.18259803921568626,64.98039215686275,62.11764705882353,9.019607843137255,-15.0,-6.0,-35.0,-23.0,-23.0,-28.0,-80.0,-40.0,0.33007800000000004,-0.760742,0.561523,-1.375,-25.3125,-10.875,64.0,61.0,7.0,15.0,13.0,57.0,45.0,22.0,68.0,86.0,34.0,0.507324,-0.655762,0.6547850000000001,12.8125,0.625,14.375,65.0,64.0,10.0,6.976599542504256,3.6358778641666802,13.297235449078704,11.964358835848296,7.53735793934999,15.193522871766838,30.6322014342078,13.842673435544784,0.021071465779123763,0.016150535931689212,0.014424493946579277,3.2667038688357812,5.242432688189336,3.7563871259757122,0.14002800840280116,0.652596623452172,0.6779438347955197,2440.0,661.0,8841.0,7197.0,2989.0,11625.0,46942.0,9630.0,10.731712712422002,23.972372403782003,18.603874843693,642.03125,1828.29296875,707.22265625,215346.0,196810.0,4172.0
b,-1.1372549019607843,-0.8627450980392157,-0.1568627450980392,-1.1372549019607843,-2.4901960784313726,-1.588235294117647,-1.9215686274509804,-2.2941176470588234,0.4504633529411765,-0.6945369803921569,0.5968232941176471,1.1274509803921569,-0.7230392156862745,0.10294117647058823,64.90196078431373,63.13725490196079,9.745098039215685,-14.0,-8.0,-49.0,-46.0,-47.0,-62.0,-50.0,-46.0,0.390625,-0.742676,0.540039,-3.0,-31.9375,-6.3125,64.0,62.0,8.0,19.0,8.0,20.0,33.0,22.0,80.0,62.0,42.0,0.48144499999999996,-0.671387,0.6313479999999999,11.25,6.4375,13.5,65.0,65.0,10.0,7.205607837908298,3.5666208536548263,11.407668559385144,16.011270540270232,12.436032404299388,23.366793935487372,27.211646872069245,14.608619534572126,0.014100885910925634,0.013196294182065204,0.014362235382132008,3.0601766897597624,6.138636031597847,3.245377085404806,0.30032661958503204,0.6006532391700639,0.627475489717391,2662.0,674.0,6508.0,12884.0,8049.0,27429.0,37212.0,10939.0,10.358720598667,24.610169582751997,18.176413954732,533.0625,1910.8046875,527.1640625,214830.0,203320.0,4863.0
