Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,42.0,92.0,-1.2401960784313726,-0.24999999999999997,0.06224712107065049
EMG1_mean,4.0,126.0,-4.470588235294118,2.068627450980392,0.0025809781907342884
EMG2_mean,20.0,125.0,-2.0245098039215685,1.656862745098039,0.009359089547768791
EMG3_mean,29.0,104.0,-1.2696078431372548,-0.17647058823529413,0.028717627401837927
EMG4_mean,41.0,75.0,-1.2990196078431373,-0.5392156862745099,0.108843537414966
EMG5_mean,68.0,91.0,-0.75,0.3431372549019608,0.17691798941798942
EMG6_mean,17.0,123.0,-2.563725490196078,3.9852941176470593,0.008900756564307968
EMG7_mean,16.0,101.0,-2.5098039215686274,0.0392156862745098,0.020764119601328904
Accl0_mean,9.0,15.0,0.3539751284313726,0.3626709019607844,0.7029478458049886
Accl1_mean,125.0,130.0,-0.5932975882352941,-0.5805137401960784,0.8267195767195767
Accl2_mean,126.0,130.0,0.7577598529411763,0.7686455882352942,1.0
Gyr0_mean,121.0,125.0,3.3164828431372553,4.657169117647059,1.0
Gyr1_mean,51.0,100.0,-1.2432598039215685,-0.6801470588235294,0.06428571428571428
Gyr2_mean,23.0,63.0,-0.7034313725490196,0.1289828431372549,0.08710801393728224
Orien0_mean,125.0,130.0,70.48039215686273,71.3529411764706,0.8267195767195767
Orien1_mean,110.0,121.0,68.52450980392157,69.23039215686275,0.39351851851851855
Orien2_mean,81.0,99.0,169.91666666666666,171.75,0.23391812865497075
EMG0_min,99.0,125.0,-13.0,-7.0,0.15285126396237508
EMG1_min,22.0,45.0,-39.25,-24.75,0.17691798941798942
EMG2_min,62.0,85.0,-18.0,-13.0,0.17691798941798942
EMG3_min,75.0,130.0,-14.0,-5.25,0.05314625850340136
EMG4_min,122.0,130.0,-11.0,-6.25,0.5379188712522045
EMG5_min,93.0,124.0,-36.0,-19.0,0.12276785714285714
EMG6_min,43.0,70.0,-44.25,-27.0,0.1459750566893424
EMG7_min,70.0,118.0,-24.0,-11.0,0.06640751538710722
Accl0_min,29.0,68.0,0.28784175,0.3372805,0.09027777777777778
Accl1_min,66.0,108.0,-0.7603759999999999,-0.7020265,0.0812107788851975
Accl2_min,108.0,130.0,0.623901,0.68725575,0.1863354037267081
Gyr0_min,73.0,129.0,-2.625,-0.734375,0.05151768309663046
Gyr1_min,43.0,112.0,-24.546875,-11.796875,0.03458049886621316
Gyr2_min,22.0,73.0,-19.890625,-10.359375,0.06028693528693529
