Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,15.0,120.0,-2.284313725490196,1.7009803921568627,0.011320754716981135
EMG1_mean,6.0,130.0,-3.622549019607843,3.965686274509805,0.0023040000000000022
EMG2_mean,32.0,128.0,-1.3872549019607843,2.931372549019607,0.016824742268041235
EMG3_mean,56.0,127.0,-0.8823529411764706,1.3137254901960784,0.03933333333333333
EMG4_mean,14.0,121.0,-2.235294117647059,1.3137254901960784,0.010222222222222221
EMG5_mean,36.0,106.0,-2.2892156862745097,1.0784313725490198,0.040563380281690146
EMG6_mean,9.0,79.0,-3.553921568627451,-0.33333333333333337,0.040563380281690146
EMG7_mean,5.0,128.0,-3.735294117647059,2.127450980392157,0.0027096774193548397
Accl0_mean,52.0,70.0,0.3867594656862745,0.40338011764705883,0.28294736842105267
Accl1_mean,98.0,123.0,-0.6359838725490197,-0.6028334558823529,0.19384615384615383
Accl2_mean,115.0,120.0,0.6991947794117647,0.7228907794117649,1.0
Gyr0_mean,108.0,119.0,1.5744485294117647,2.1409313725490193,0.476
Gyr1_mean,26.0,107.0,-1.6504289215686272,-0.6041666666666666,0.028682926829268297
Gyr2_mean,70.0,121.0,0.21200980392156862,0.8704044117647058,0.07292307692307692
Orien0_mean,115.0,123.0,68.5686274509804,69.90686274509802,0.6506666666666666
Orien1_mean,57.0,75.0,66.19117647058823,67.20098039215688,0.28294736842105267
Orien2_mean,76.0,118.0,169.7843137254902,173.86764705882356,0.09823255813953488
EMG0_min,73.0,118.0,-19.0,-9.0,0.08869565217391304
EMG1_min,9.0,55.0,-66.75,-20.75,0.0857872340425532
EMG2_min,9.0,95.0,-64.5,-11.0,0.024275862068965523
EMG3_min,66.0,106.0,-16.0,-10.0,0.1053658536585366
EMG4_min,33.0,103.0,-35.25,-17.0,0.040563380281690146
EMG5_min,4.0,65.0,-92.75,-45.75,0.05341935483870968
EMG6_min,37.0,120.0,-48.25,-13.0,0.02685714285714286
EMG7_min,3.0,126.0,-78.25,-7.75,0.0027096774193548397
Accl0_min,53.0,77.0,0.3251955,0.34997599999999995,0.20352
Accl1_min,101.0,121.0,-0.71740725,-0.6748045,0.25142857142857145
Accl2_min,119.0,129.0,0.64038075,0.6867672499999999,0.5236363636363637
Gyr0_min,44.0,120.0,-4.453125,-1.21875,0.033662337662337664
Gyr1_min,8.0,70.0,-36.078125,-20.859375,0.05180952380952381
Gyr2_min,80.0,121.0,-9.34375,-4.0625,0.10171428571428573
Orien0_min,107.0,130.0,66.75,68.0,0.214
Orien1_min,55.0,89.0,65.0,67.0,0.13165714285714283
Orien2_min,69.0,120.0,168.0,173.0,0.07292307692307692
EMG0_max,4.0,89.0,6.0,35.25,0.025116279069767444
EMG1_max,61.0,125.0,19.75,97.75,0.048738461538461536
EMG2_max,37.0,107.0,11.0,45.5,0.040563380281690146
EMG3_max,25.0,86.0,9.0,24.0,0.05341935483870968
EMG4_max,20.0,102.0,11.0,28.0,0.02775903614457832
EMG5_max,44.0,95.0,35.0,56.0,0.07292307692307692
EMG6_max,18.0,112.0,17.0,76.5,0.018189473684210526
EMG7_max,14.0,121.0,12.0,62.25,0.010222222222222221
Accl0_max,33.0,67.0,0.40686075,0.438721,0.13165714285714283
Accl1_max,80.0,125.0,-0.61303725,-0.5220945,0.08869565217391304
Accl2_max,107.0,114.0,0.7354735,0.77795375,0.738
Gyr0_max,93.0,120.0,15.3125,24.375,0.17657142857142857
Gyr1_max,39.0,122.0,4.109375,13.765625,0.02685714285714286
Gyr2_max,54.0,90.0,11.109375,16.203125,0.12194594594594593
Orien0_max,112.0,120.0,68.75,70.25,0.6506666666666666
Orien1_max,62.0,78.0,68.0,69.0,0.32188235294117645
Orien2_max,67.0,117.0,169.75,174.0,0.07529411764705883
EMG0_stdev,11.0,73.0,3.2502553078495575,10.094889285727103,0.05180952380952381
EMG1_stdev,72.0,123.0,8.77760101529071,29.620968992366464,0.07292307692307692
EMG2_stdev,40.0,104.0,4.684877666458897,14.617821163008784,0.048738461538461536
EMG3_stdev,35.0,85.0,4.634035376859582,9.232462883311266,0.07529411764705883
EMG4_stdev,32.0,72.0,6.720172530557007,9.321200006166746,0.1053658536585366
EMG5_stdev,36.0,93.0,14.875663092221508,20.126886572561325,0.06041379310344827
EMG6_stdev,13.0,75.0,6.52580042194612,16.481992756353385,0.05180952380952381
EMG7_stdev,7.0,122.0,3.807867933076035,23.28154805254547,0.006206896551724135
Accl0_stdev,12.0,77.0,0.010121159245318366,0.019245841127733088,0.047272727272727265
Accl1_stdev,33.0,89.0,0.01621265712341849,0.022707655922035642,0.062315789473684206
Accl2_stdev,53.0,99.0,0.011142054903784414,0.0166584054450781,0.0857872340425532
Gyr0_stdev,89.0,116.0,3.7720741706596868,5.323089748260136,0.17657142857142857
Gyr1_stdev,70.0,123.0,4.715766328100807,7.3435510981556265,0.06844444444444445
Gyr2_stdev,23.0,53.0,2.7484628942221545,3.422851387040302,0.15483870967741936
Orien0_stdev,41.0,111.0,0.26468008053182196,0.6406938433753997,0.040563380281690146
Orien1_stdev,23.0,72.0,0.47419863100667126,0.7830305434966927,0.07776000000000001
Orien2_stdev,28.0,106.0,0.3475403771153652,0.8314872519254145,0.03159493670886076
EMG0_energy,9.0,72.0,553.5,5196.0,0.05025
EMG1_energy,72.0,123.0,3966.25,44686.25,0.07292307692307692
EMG2_energy,39.0,104.0,1106.0,11118.5,0.047272727272727265
EMG3_energy,35.0,85.0,1101.75,4331.25,0.07529411764705883
EMG4_energy,35.0,71.0,2510.25,4413.0,0.12194594594594593
EMG5_energy,36.0,90.0,11123.75,20440.5,0.06632727272727273
EMG6_energy,13.0,74.0,2146.25,13381.5,0.05341935483870968
EMG7_energy,7.0,122.0,759.25,27736.25,0.006206896551724135
Accl0_energy,52.0,70.0,7.635451619819748,8.317091187675999,0.28294736842105267
Accl1_energy,6.0,32.0,18.505102825836502,20.650444100174504,0.18488888888888888
Accl2_energy,115.0,120.0,25.01347853432126,26.69275421149525,1.0
Gyr0_energy,95.0,117.0,838.537109375,1596.49609375,0.22539130434782606
Gyr1_energy,70.0,117.0,1162.841796875,2786.6591796875,0.083
Gyr2_energy,22.0,52.0,379.5771484375,596.4072265625,0.15483870967741936
Orien0_energy,115.0,123.0,239804.5,249374.75,0.6506666666666666
Orien1_energy,57.0,75.0,223479.25,230334.25,0.28294736842105267
Orien2_energy,75.0,118.0,1470178.5,1541733.75,0.0949090909090909
