Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,10.0,112.0,-2.6813725490196076,0.5686274509803921,0.010787486515641858
EMG1_mean,30.0,125.0,-1.6078431372549018,1.6911764705882353,0.014467592592592594
EMG2_mean,35.0,106.0,-1.3529411764705883,-0.08823529411764706,0.032517636684303346
EMG3_mean,31.0,79.0,-1.1666666666666665,-0.5441176470588236,0.06640751538710722
EMG4_mean,11.0,93.0,-2.3431372549019605,-0.1568627450980392,0.02294893861158922
EMG5_mean,8.0,80.0,-4.745098039215687,-0.08333333333333334,0.031528593172428794
EMG6_mean,11.0,99.0,-3.284313725490196,0.3872549019607843,0.018726591760299626
EMG7_mean,41.0,99.0,-1.5294117647058822,0.0196078431372549,0.048426150121065374
Accl0_mean,17.0,43.0,0.3645379166666667,0.37612009313725486,0.15285126396237508
Accl1_mean,26.0,45.0,-0.7200209509803923,-0.7020072450980392,0.22023809523809523
Accl2_mean,71.0,90.0,0.6347465000000001,0.650144112745098,0.22023809523809523
Gyr0_mean,63.0,117.0,1.1191789215686274,1.7965686274509802,0.054834054834054825
Gyr1_mean,12.0,76.0,-2.334252450980392,-0.900122549019608,0.04029304029304029
Gyr2_mean,30.0,122.0,-0.5094975490196079,0.8988970588235294,0.01621437105308073
Orien0_mean,26.0,64.0,64.91666666666667,65.86274509803921,0.09361009361009362
Orien1_mean,92.0,115.0,68.17156862745098,68.75,0.17691798941798942
Orien2_mean,64.0,94.0,168.6372549019608,170.99019607843135,0.12800819252432155
EMG0_min,20.0,91.0,-45.5,-15.0,0.032517636684303346
EMG1_min,14.0,113.0,-48.0,-7.0,0.0123015873015873
EMG2_min,71.0,130.0,-16.25,-5.0,0.046957671957671955
EMG3_min,60.0,128.0,-17.0,-6.0,0.03565677478720957
EMG4_min,11.0,72.0,-48.0,-22.0,0.044162826420890935
EMG5_min,2.0,70.0,-96.75,-44.0,0.03565677478720957
EMG6_min,56.0,129.0,-38.25,-11.75,0.030566280566280562
EMG7_min,60.0,117.0,-28.25,-11.0,0.049945265462506834
Accl0_min,10.0,61.0,0.22937000000000002,0.33068825,0.06028693528693529
Accl1_min,14.0,84.0,-0.83361825,-0.74670375,0.03353454057679409
Accl2_min,57.0,96.0,0.58813475,0.6120602500000001,0.09027777777777778
Gyr0_min,39.0,112.0,-5.203125,-1.46875,0.030566280566280562
Gyr1_min,28.0,108.0,-27.578125,-12.125,0.02449539486576523
Gyr2_min,41.0,115.0,-16.015625,-5.40625,0.029629629629629624
Orien0_min,19.0,85.0,63.75,65.25,0.03790570954750059
Orien1_min,87.0,125.0,67.0,68.0,0.09361009361009362
Orien2_min,63.0,99.0,164.25,170.0,0.10081510081510081
EMG0_max,34.0,93.0,15.0,38.25,0.046957671957671955
EMG1_max,43.0,115.0,14.0,63.0,0.031528593172428794
EMG2_max,5.0,53.0,4.0,15.0,0.06640751538710722
EMG3_max,5.0,85.0,5.75,24.0,0.02449539486576523
EMG4_max,53.0,86.0,18.0,25.0,0.11321195144724557
EMG5_max,30.0,71.0,30.75,47.0,0.08408919123204837
EMG6_max,8.0,35.0,15.75,22.0,0.1459750566893424
EMG7_max,7.0,88.0,10.0,36.0,0.023712737127371278
Accl0_max,7.0,35.0,0.383789,0.411011,0.13957307060755336
Accl1_max,25.0,52.0,-0.6757810000000001,-0.6500247499999999,0.1459750566893424
Accl2_max,55.0,99.0,0.660034,0.7127682500000001,0.07583774250440917
Gyr0_max,37.0,102.0,10.734375,17.203125,0.03908128908128908
Gyr1_max,9.0,61.0,1.9375,5.25,0.05840071877807727
Gyr2_max,20.0,98.0,6.609375,17.96875,0.026120152702431183
Orien0_max,15.0,59.0,65.0,66.0,0.07583774250440917
Orien1_max,77.0,124.0,69.0,73.0,0.06861772486772487
Orien2_max,62.0,97.0,169.0,172.0,0.10471781305114637
EMG0_stdev,45.0,89.0,7.249835778959549,13.241147273955626,0.07583774250440917
EMG1_stdev,40.0,108.0,5.1180338940671115,13.897258386304028,0.03565677478720957
