Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,20.0,89.0,-2.019607843137255,-0.303921568627451,0.03458049886621316
EMG1_mean,19.0,90.0,-2.1764705882352944,-0.5049019607843137,0.032517636684303346
EMG2_mean,13.0,97.0,-2.553921568627451,-0.38235294117647056,0.021475256769374416
EMG3_mean,8.0,129.0,-2.2794117647058822,2.0735294117647056,0.002927400468384074
EMG4_mean,36.0,104.0,-1.3970588235294117,0.13725490196078433,0.03565677478720957
EMG5_mean,2.0,113.0,-5.90686274509804,1.7549019607843137,0.006731859410430838
EMG6_mean,5.0,94.0,-4.4068627450980395,0.2352941176470588,0.018077601410934743
EMG7_mean,15.0,124.0,-2.593137254901961,1.5931372549019607,0.0075757575757575725
Accl0_mean,24.0,58.0,0.36859248529411753,0.3933129950980393,0.108843537414966
Accl1_mean,6.0,22.0,-0.7415580294117645,-0.7236136470588236,0.2661064425770308
Accl2_mean,10.0,59.0,0.5884100539215686,0.6244590637254901,0.06428571428571428
Gyr0_mean,4.0,36.0,-0.40900735294117646,0.7717524509803921,0.11784511784511784
Gyr1_mean,34.0,114.0,-1.4240196078431373,-0.4699754901960785,0.02449539486576523
Gyr2_mean,59.0,127.0,0.07751225490196077,1.2049632352941178,0.03565677478720957
Orien0_mean,8.0,36.0,63.955882352941174,64.98529411764706,0.13957307060755336
Orien1_mean,69.0,106.0,67.0,68.41176470588235,0.09711779448621553
Orien2_mean,34.0,38.0,19.279411764705877,21.740196078431374,1.0
EMG0_min,58.0,105.0,-23.0,-11.0,0.06861772486772487
EMG1_min,46.0,94.0,-24.25,-11.0,0.06640751538710722
EMG2_min,59.0,80.0,-19.0,-14.0,0.19660894660894662
EMG3_min,2.0,51.0,-62.75,-23.0,0.06428571428571428
EMG4_min,54.0,106.0,-26.0,-16.0,0.05840071877807727
EMG5_min,31.0,94.0,-62.0,-34.75,0.04154265873015873
EMG6_min,1.0,30.0,-110.0,-55.75,0.13359788359788358
EMG7_min,37.0,94.0,-39.0,-17.0,0.049945265462506834
Accl0_min,15.0,82.0,0.25512725,0.3635255,0.03676470588235294
Accl1_min,15.0,49.0,-0.8289795,-0.77758775,0.108843537414966
Accl2_min,18.0,61.0,0.5347897500000001,0.589966,0.07846320346320347
Gyr0_min,11.0,37.0,-14.984375,-5.53125,0.15285126396237508
Gyr1_min,30.0,68.0,-27.390625,-21.109375,0.09361009361009362
Gyr2_min,8.0,128.0,-26.96875,-2.9375,0.0032795487340941884
Orien0_min,1.0,41.0,62.5,64.0,0.08710801393728224
Orien1_min,66.0,123.0,66.0,68.0,0.049945265462506834
Orien2_min,33.0,41.0,17.75,20.25,0.5379188712522045
EMG0_max,19.0,60.0,10.0,23.0,0.08408919123204837
EMG1_max,12.0,78.0,6.0,25.25,0.03790570954750059
EMG2_max,26.0,90.0,9.0,28.25,0.04029304029304029
EMG3_max,78.0,108.0,22.0,36.25,0.12800819252432155
EMG4_max,52.0,100.0,18.0,28.0,0.06640751538710722
EMG5_max,50.0,111.0,38.75,68.75,0.044162826420890935
EMG6_max,74.0,119.0,46.0,89.75,0.0733264320220842
EMG7_max,28.0,89.0,15.0,36.5,0.044162826420890935
Accl0_max,21.0,50.0,0.397949,0.42102025,0.13359788359788358
Accl1_max,4.0,86.0,-0.7060545,-0.6043700000000001,0.02294893861158922
Accl2_max,11.0,87.0,0.61938475,0.69030725,0.02782931354359925
Gyr0_max,3.0,111.0,3.53125,19.390625,0.008009319935925439
Gyr1_max,46.0,88.0,4.5625,7.015625,0.0812107788851975
Gyr2_max,57.0,115.0,11.671875,24.640625,0.048426150121065374
Orien0_max,3.0,48.0,64.0,66.0,0.0733264320220842
Orien1_max,61.0,118.0,68.0,71.0,0.049945265462506834
Orien2_max,32.0,39.0,20.0,22.25,0.6101190476190477
EMG0_stdev,27.0,66.0,5.3857714959146925,9.507185360763923,0.09027777777777778
EMG1_stdev,21.0,69.0,3.4830042977967715,8.502974099890068,0.06640751538710722
EMG2_stdev,47.0,84.0,5.160911034026238,9.356647118843428,0.09711779448621553
EMG3_stdev,77.0,110.0,7.825053997283425,13.359089724499029,0.11321195144724557
EMG4_stdev,49.0,76.0,7.945167134206672,9.578650658385609,0.1459750566893424
EMG5_stdev,77.0,105.0,18.69663791433029,21.722401164132386,0.13957307060755336
EMG6_stdev,90.0,117.0,22.17765500560109,28.907437061688448,0.1459750566893424
EMG7_stdev,37.0,95.0,7.685485327115643,15.670314277209712,0.048426150121065374
Accl0_stdev,5.0,90.0,0.00844104694683528,0.02189681009700264,0.020764119601328904
Accl1_stdev,8.0,110.0,0.012782110437484406,0.029857985726332272,0.010787486515641858
Accl2_stdev,51.0,107.0,0.011051552989733121,0.02067189897933617,0.05151768309663046
Gyr0_stdev,4.0,98.0,1.6763391635624745,4.157736768737223,0.015037593984962403
Gyr1_stdev,51.0,79.0,4.01025563995517,5.252746785512936,0.13957307060755336
Gyr2_stdev,33.0,120.0,2.9538280918221953,7.536386802992954,0.019390331890331892
Orien0_stdev,7.0,114.0,0.0,0.8059220294132451,0.008450911228689007
Orien1_stdev,0.0,62.0,0.11562615792490105,0.7304300535243431,0.04283194759385236
Orien2_stdev,2.0,99.0,0.10502100630210079,0.7488553356460049,0.01336248785228377
EMG0_energy,30.0,66.0,1610.75,4534.0,0.10081510081510081
EMG1_energy,27.0,69.0,754.5,3640.25,0.0812107788851975
EMG2_energy,50.0,84.0,1521.75,4406.75,0.108843537414966
EMG3_energy,76.0,111.0,3094.25,9171.5,0.10471781305114637
