Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,6.0,127.0,-2.700980392156863,3.107843137254902,0.0023135906927551557
EMG1_mean,1.0,127.0,-5.892156862745099,3.1323529411764706,0.0006350012700025388
EMG2_mean,1.0,120.0,-6.235294117647059,1.8284313725490196,0.0030241935483870967
EMG3_mean,15.0,106.0,-1.7794117647058822,0.029411764705882353,0.016216690042075738
EMG4_mean,7.0,74.0,-2.735294117647059,-0.7450980392156863,0.03617172675521821
EMG5_mean,2.0,86.0,-5.338235294117648,-0.11274509803921567,0.020872865275142313
EMG6_mean,54.0,75.0,-1.1764705882352942,-0.3284313725490196,0.19611436950146627
EMG7_mean,29.0,98.0,-1.357843137254902,0.16666666666666669,0.033986175115207365
Accl0_mean,33.0,44.0,0.8520723137254903,0.8741598137254905,0.39314516129032256
Accl1_mean,62.0,74.0,-0.3474647647058824,-0.30683691176470584,0.3598014888337469
Accl2_mean,108.0,113.0,0.3598464754901961,0.38401652450980384,0.8266129032258065
Gyr0_mean,113.0,118.0,1.875919117647059,3.4240220588235295,0.8266129032258065
Gyr1_mean,17.0,99.0,-2.063725490196078,-1.010110294117647,0.02234745433346288
Gyr2_mean,25.0,104.0,-0.957720588235294,0.005514705882352939,0.02469758064516129
Orien0_mean,95.0,108.0,67.4656862745098,69.02450980392157,0.331221198156682
Orien1_mean,84.0,96.0,27.22794117647059,29.95588235294118,0.3598014888337469
Orien2_mean,109.0,116.0,159.6789215686275,164.98039215686273,0.6098790322580645
EMG0_min,3.0,21.0,-64.25,-38.75,0.23344651952461798
EMG1_min,1.0,10.0,-123.0,-54.75,0.4798387096774194
EMG2_min,11.0,29.0,-89.25,-49.5,0.23344651952461798
EMG3_min,52.0,108.0,-20.25,-11.0,0.050933786078098474
EMG4_min,18.0,108.0,-42.25,-11.0,0.01683800070896845
EMG5_min,40.0,111.0,-53.0,-21.0,0.031922043010752695
EMG6_min,113.0,124.0,-13.0,-7.75,0.39314516129032256
EMG7_min,61.0,105.0,-26.25,-12.0,0.07526881720430108
Accl0_min,40.0,50.0,0.8135987499999999,0.83398425,0.4325513196480938
Accl1_min,44.0,81.0,-0.475586,-0.37646450000000004,0.09656196943972835
Accl2_min,88.0,116.0,0.25878924999999997,0.33581525,0.13904338153503895
Gyr0_min,87.0,118.0,-8.90625,-5.296875,0.12222782258064516
Gyr1_min,28.0,76.0,-12.390625,-6.5,0.06583278472679395
Gyr2_min,53.0,95.0,-11.0,-6.984375,0.08064516129032258
Orien0_min,89.0,110.0,65.0,66.25,0.19611436950146627
Orien1_min,87.0,101.0,25.75,29.0,0.3064516129032258
Orien2_min,108.0,116.0,157.0,164.0,0.5376344086021506
EMG0_max,86.0,126.0,23.0,90.5,0.08654602675059009
EMG1_max,110.0,128.0,35.25,117.25,0.23344651952461798
EMG2_max,111.0,119.0,69.75,101.0,0.5376344086021506
EMG3_max,24.0,111.0,10.0,25.0,0.0187866568914956
EMG4_max,13.0,114.0,8.0,34.25,0.010673624288425046
EMG5_max,32.0,94.0,29.75,51.0,0.04224270353302611
EMG6_max,3.0,18.0,5.25,13.0,0.2847782258064516
EMG7_max,10.0,83.0,9.0,27.5,0.0299694856146469
Accl0_max,22.0,45.0,0.8851315,0.9104002499999999,0.17641129032258066
Accl1_max,37.0,80.0,-0.31604,-0.23120100000000002,0.07789589442815249
Accl2_max,106.0,110.0,0.40917950000000003,0.42626925000000004,1.0
Gyr0_max,100.0,116.0,17.390625,32.078125,0.2656546489563567
Gyr1_max,35.0,86.0,3.234375,9.015625,0.05970843672456575
Gyr2_max,28.0,88.0,3.75,10.4375,0.0449497620306716
Orien0_max,87.0,106.0,68.0,70.25,0.21975806451612903
Orien1_max,80.0,92.0,27.75,31.0,0.3598014888337469
Orien2_max,103.0,109.0,161.75,165.5,0.7027649769585254
EMG0_stdev,97.0,124.0,9.290482592314497,21.672574103914865,0.14544930875576037
EMG1_stdev,111.0,126.0,13.452116614561145,30.37973781151551,0.2847782258064516
EMG2_stdev,98.0,120.0,18.22099018762242,41.18962787509331,0.18583450210378682
EMG3_stdev,5.0,85.0,3.46729912821417,7.8671345605136045,0.02389486260454002
EMG4_stdev,9.0,74.0,3.779238062688254,8.134213801033507,0.03848973607038124
EMG5_stdev,28.0,76.0,10.824107825973842,18.177290013102947,0.06583278472679395
EMG6_stdev,3.0,12.0,2.6560819682022774,4.783688394392822,0.4798387096774194
EMG7_stdev,9.0,37.0,3.6854021344061847,6.475266129429201,0.13904338153503895
Accl0_stdev,61.0,78.0,0.012968653906547827,0.013965447762615602,0.24865591397849465
Accl1_stdev,42.0,76.0,0.02305103211464721,0.03176344155100627,0.10829493087557603
Accl2_stdev,36.0,96.0,0.01581213753548819,0.029529927640796972,0.0449497620306716
Gyr0_stdev,60.0,98.0,5.305782522264187,7.843015840589606,0.09305210918114146
Gyr1_stdev,34.0,99.0,1.9488819757118627,3.718240322111905,0.03848973607038124
Gyr2_stdev,38.0,58.0,2.4153463022798762,3.1616120300968378,0.20737327188940094
Orien0_stdev,59.0,107.0,0.7103544191765735,1.9014718157976582,0.06583278472679395
Orien1_stdev,32.0,95.0,0.4096560039542655,0.9333302985816843,0.04095262096774194
Orien2_stdev,5.0,99.0,0.30802951576291865,1.195698014701887,0.01443123938879457
EMG0_energy,97.0,127.0,4541.25,49109.5,0.127471383975026
EMG1_energy,111.0,128.0,9089.75,54328.0,0.24865591397849465
EMG2_energy,98.0,121.0,16727.5,93485.0,0.17641129032258066
EMG3_energy,8.0,121.0,696.0,6631.5,0.0053056027164685915
EMG4_energy,9.0,103.0,766.75,6763.5,0.01443123938879457
EMG5_energy,26.0,113.0,5872.75,31402.75,0.0187866568914956
EMG6_energy,3.0,23.0,420.25,2344.0,0.20737327188940094
EMG7_energy,9.0,67.0,686.75,4305.5,0.047840349917987975
Accl0_energy,33.0,126.0,37.0353017145465,81.00056867268,0.015013726835964311
Accl1_energy,52.0,116.0,4.849719827839001,10.372868852489752,0.03970223325062035
Accl2_energy,107.0,123.0,6.62124531614025,13.771223660502997,0.2656546489563567
Gyr0_energy,67.0,115.0,1620.21875,7122.2080078125,0.06583278472679395
Gyr1_energy,21.0,112.0,244.203125,1683.009765625,0.016216690042075738
Gyr2_energy,40.0,67.0,336.7216796875,680.671875,0.14544930875576037
Orien0_energy,92.0,128.0,232062.5,458021.5,0.1002615518744551
Orien1_energy,84.0,123.0,38192.0,78990.25,0.08971774193548387
Orien2_energy,109.0,126.0,1336576.25,2612958.5,0.24865591397849465
