Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,38.0,117.0,-1.0980392156862746,0.4754901960784313,0.019600000000000003
EMG1_mean,44.0,102.0,-1.1176470588235294,-0.27450980392156865,0.03796610169491525
EMG2_mean,35.0,90.0,-1.568627450980392,0.029411764705882353,0.04171428571428571
EMG3_mean,7.0,112.0,-2.2058823529411766,0.22058823529411767,0.006943396226415096
EMG4_mean,16.0,101.0,-2.0441176470588234,-0.20588235294117652,0.016
EMG5_mean,13.0,117.0,-3.3382352941176467,1.5882352941176467,0.007314285714285717
EMG6_mean,31.0,109.0,-2.0441176470588234,0.9166666666666667,0.020253164556962026
EMG7_mean,36.0,99.0,-1.2009803921568627,0.2598039215686274,0.0325
Accl0_mean,23.0,45.0,0.8376560882352939,0.8777309558823531,0.14747826086956523
Accl1_mean,0.0,11.0,-0.5231838431372549,-0.4464231029411766,0.312
Accl2_mean,7.0,17.0,0.11724016519607841,0.14960076323529412,0.34327272727272723
Gyr0_mean,4.0,43.0,-2.113357843137255,-0.33026960784313725,0.0712
Gyr1_mean,45.0,106.0,-1.671875,-0.8425245098039216,0.03458064516129032
Gyr2_mean,6.0,123.0,-1.479779411764706,1.9160539215686276,0.0029830508474576263
Orien0_mean,1.0,10.0,50.46078431372548,52.088235294117645,0.3808
Orien1_mean,83.0,108.0,26.64705882352942,31.867647058823533,0.12676923076923077
Orien2_mean,100.0,104.0,146.421568627451,156.4950980392157,0.7936
EMG0_min,89.0,117.0,-11.0,-6.0,0.1103448275862069
EMG1_min,97.0,117.0,-9.0,-6.0,0.1645714285714286
EMG2_min,21.0,78.0,-61.25,-23.75,0.03917241379310345
EMG3_min,0.0,53.0,-47.5,-20.0,0.044444444444444446
EMG4_min,60.0,114.0,-22.0,-10.0,0.04305454545454545
EMG5_min,2.0,57.0,-108.25,-47.0,0.04171428571428571
EMG6_min,11.0,40.0,-105.25,-47.0,0.1056
EMG7_min,46.0,109.0,-32.25,-11.75,0.0325
Accl0_min,25.0,39.0,0.77844275,0.81286625,0.2432
Accl1_min,5.0,22.0,-0.6441647500000001,-0.5445555000000001,0.19733333333333333
Accl2_min,2.0,19.0,-0.030761749999999997,0.085937475,0.19733333333333333
Gyr0_min,12.0,39.0,-38.640625,-25.15625,0.11542857142857142
Gyr1_min,27.0,55.0,-12.453125,-8.1875,0.1103448275862069
Gyr2_min,13.0,104.0,-21.375,-5.828125,0.012869565217391304
Orien0_min,2.0,11.0,48.0,51.0,0.3808
Orien1_min,78.0,97.0,24.0,28.0,0.1744
Orien2_min,101.0,106.0,144.75,155.5,0.656
EMG0_max,3.0,56.0,4.0,13.25,0.044444444444444446
EMG1_max,6.0,30.0,3.75,7.0,0.13312000000000002
EMG2_max,23.0,109.0,14.75,65.25,0.015448275862068967
EMG3_max,59.0,128.0,14.0,49.5,0.026971428571428566
EMG4_max,19.0,68.0,10.0,18.25,0.05056
EMG5_max,77.0,121.0,43.75,81.75,0.05973333333333333
EMG6_max,95.0,116.0,56.75,88.75,0.15563636363636363
EMG7_max,1.0,58.0,4.75,19.0,0.03917241379310345
Accl0_max,27.0,111.0,0.897339,0.96533225,0.01656470588235294
