Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,13.0,109.0,-1.8284313725490196,0.0196078431372549,0.010556701030927833
EMG1_mean,34.0,69.0,-1.2941176470588236,-0.7450980392156863,0.08266666666666667
EMG2_mean,27.0,77.0,-1.8480392156862744,-0.5245098039215687,0.04894117647058823
EMG3_mean,47.0,123.0,-1.03921568627451,0.6862745098039216,0.02161038961038961
EMG4_mean,65.0,116.0,-0.8480392156862745,0.3921568627450981,0.047384615384615386
EMG5_mean,105.0,127.0,0.6421568627450981,4.48529411764706,0.14747826086956523
EMG6_mean,20.0,126.0,-3.0588235294117645,3.6078431372549025,0.006579439252336449
EMG7_mean,49.0,85.0,-0.857843137254902,-0.19607843137254904,0.07956756756756757
Accl0_mean,105.0,112.0,0.9328660833333333,0.9362434411764706,0.484
Accl1_mean,104.0,113.0,-0.23183782352941185,-0.21944891176470593,0.3808
Accl2_mean,41.0,48.0,0.21614579117647056,0.22770181862745092,0.484
Gyr0_mean,50.0,75.0,-0.28523284313725494,0.09466911764705883,0.12676923076923077
Gyr1_mean,41.0,58.0,-1.6908700980392157,-1.5575980392156863,0.19733333333333333
Gyr2_mean,10.0,46.0,-1.3636642156862746,-0.6246936274509804,0.07956756756756757
Orien0_mean,61.0,76.0,64.51470588235293,66.12254901960785,0.226
Orien1_mean,18.0,22.0,17.17156862745098,17.465686274509803,0.7936
Orien2_mean,17.0,22.0,34.09313725490196,40.362745098039206,0.656
EMG0_min,30.0,88.0,-30.0,-11.0,0.03796610169491525
EMG1_min,49.0,124.0,-22.0,-5.0,0.022315789473684212
EMG2_min,41.0,97.0,-36.25,-18.75,0.04042105263157895
EMG3_min,27.0,85.0,-25.0,-15.0,0.03796610169491525
EMG4_min,47.0,83.0,-24.25,-15.75,0.07956756756756757
EMG5_min,14.0,54.0,-74.0,-48.0,0.0686829268292683
EMG6_min,18.0,37.0,-92.5,-54.5,0.1744
EMG7_min,68.0,76.0,-24.25,-23.0,0.4266666666666667
Accl0_min,102.0,120.0,0.889404,0.9198,0.18526315789473685
Accl1_min,89.0,117.0,-0.34313925,-0.26245125,0.1103448275862069
Accl2_min,50.0,58.0,0.18395975,0.19726575000000002,0.4266666666666667
Gyr0_min,71.0,107.0,-14.59375,-6.8125,0.07956756756756757
Gyr1_min,65.0,113.0,-7.3125,-4.03125,0.052244897959183675
Gyr2_min,25.0,103.0,-15.734375,-5.96875,0.020253164556962026
Orien0_min,71.0,81.0,63.0,64.0,0.34327272727272723
Orien1_min,5.0,25.0,14.0,17.25,0.1645714285714286
Orien2_min,24.0,29.0,31.75,39.0,0.656
EMG0_max,90.0,101.0,24.75,34.25,0.312
EMG1_max,29.0,65.0,6.0,13.0,0.07956756756756757
EMG2_max,41.0,80.0,18.0,32.25,0.0712
EMG3_max,78.0,106.0,17.0,23.0,0.1103448275862069
EMG4_max,23.0,107.0,10.0,30.25,0.01656470588235294
EMG5_max,84.0,122.0,46.0,84.25,0.07384615384615384
EMG6_max,104.0,112.0,70.5,80.5,0.4266666666666667
EMG7_max,34.0,75.0,13.0,23.25,0.0662857142857143
Accl0_max,84.0,103.0,0.94543475,0.958496,0.1744
Accl1_max,92.0,119.0,-0.19201649999999998,-0.14331075,0.11542857142857142
Accl2_max,28.0,42.0,0.245605,0.271118,0.2432
Gyr0_max,13.0,66.0,5.421875,11.5625,0.044444444444444446
Gyr1_max,2.0,45.0,0.453125,4.46875,0.061818181818181814
Gyr2_max,15.0,91.0,2.984375,11.359375,0.02161038961038961
Orien0_max,58.0,82.0,64.75,68.0,0.13312000000000002
Orien1_max,10.0,22.0,18.0,20.0,0.2855384615384616
Orien2_max,17.0,21.0,35.5,42.75,0.7936
EMG0_stdev,81.0,106.0,6.919295451703584,13.422203258714198,0.12676923076923077
EMG1_stdev,23.0,56.0,2.7557702116686635,5.320875744749793,0.08941176470588234
EMG2_stdev,51.0,77.0,9.380998330779697,11.595384682905562,0.12088888888888888
EMG3_stdev,77.0,102.0,7.512500426209588,8.700179660246366,0.12676923076923077
EMG4_stdev,40.0,71.0,5.843577123750659,7.7590964825058455,0.097
EMG5_stdev,103.0,114.0,22.359154775244157,25.11816580154277,0.312
EMG6_stdev,104.0,116.0,29.607532837474707,33.28683957080079,0.2855384615384616
EMG7_stdev,49.0,68.0,7.149765845072187,8.879411165641574,0.1744
Accl0_stdev,7.0,69.0,0.006058246338975403,0.013418391069032025,0.03352380952380952
Accl1_stdev,24.0,90.0,0.018180803638005893,0.03628115676314892,0.02961194029850746
Accl2_stdev,9.0,37.0,0.011146318451790569,0.016208081644233673,0.1103448275862069
Gyr0_stdev,13.0,49.0,2.4396737281298084,4.736491995337211,0.07956756756756757
Gyr1_stdev,9.0,25.0,1.1019867883496826,1.6872569115222043,0.2108235294117647
Gyr2_stdev,19.0,102.0,1.916708282516959,5.518506507311462,0.017142857142857147
Orien0_stdev,50.0,94.0,0.5840926425621378,1.2556937253212066,0.05973333333333333
Orien1_stdev,27.0,108.0,0.38217035894782764,1.427141269733752,0.01834146341463415
Orien2_stdev,71.0,105.0,0.7981563917350271,1.4636222201811497,0.08594285714285714
EMG0_energy,81.0,106.0,2482.5,9090.0,0.12676923076923077
EMG1_energy,21.0,59.0,414.75,1480.25,0.07384615384615384
EMG2_energy,47.0,77.0,4407.0,6865.0,0.10116129032258064
EMG3_energy,78.0,98.0,2887.25,3839.25,0.1645714285714286
EMG4_energy,39.0,68.0,1744.25,3031.75,0.1056
EMG5_energy,104.0,115.0,25840.75,32079.0,0.312
EMG6_energy,104.0,116.0,44282.75,55771.0,0.2855384615384616
EMG7_energy,46.0,64.0,2586.0,3872.75,0.18526315789473685
Accl0_energy,104.0,111.0,44.391504073254254,44.707035445171506,0.484
Accl1_energy,14.0,22.0,2.45392427809925,2.7606326337395,0.4266666666666667
Accl2_energy,38.0,46.0,2.38270899097075,2.662878379700251,0.4266666666666667
Gyr0_energy,13.0,49.0,299.0107421875,1122.234375,0.07956756756756757
Gyr1_energy,9.0,31.0,183.521484375,288.3662109375,0.14747826086956523
Gyr2_energy,20.0,103.0,202.7255859375,1630.21875,0.017142857142857147
Orien0_energy,59.0,74.0,212298.75,223018.75,0.226
Orien1_energy,16.0,20.0,15049.75,15611.5,0.7936
Orien2_energy,17.0,22.0,59545.75,83182.5,0.656
