Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,16.0,89.0,-1.7107843137254903,-0.4705882352941176,0.0299694856146469
EMG1_mean,23.0,98.0,-1.7303921568627454,-0.38725490196078427,0.02811969439728353
EMG2_mean,5.0,77.0,-5.328431372549019,-0.5098039215686274,0.030932390631904547
EMG3_mean,9.0,72.0,-2.156862745098039,-0.6225490196078431,0.04095262096774194
EMG4_mean,10.0,84.0,-2.333333333333333,-0.5784313725490197,0.029032258064516127
EMG5_mean,25.0,97.0,-2.269607843137255,0.16176470588235295,0.030932390631904547
EMG6_mean,2.0,102.0,-9.137254901960784,0.5147058823529411,0.011178537208559568
EMG7_mean,17.0,100.0,-2.0245098039215685,0.27941176470588236,0.021601382488479266
Accl0_mean,5.0,19.0,0.7948285784313724,0.8297262941176469,0.3064516129032258
Accl1_mean,3.0,9.0,-0.4871490882352942,-0.4626010637254902,0.7027649769585254
Accl2_mean,78.0,88.0,0.3015495245098039,0.3128303088235294,0.4325513196480938
Gyr0_mean,5.0,32.0,-1.9852941176470587,-0.6400122549019608,0.14544930875576037
Gyr1_mean,11.0,38.0,-2.1200980392156863,-1.6973039215686274,0.14544930875576037
Gyr2_mean,66.0,116.0,-0.4310661764705882,0.6982230392156863,0.061669829222011384
Orien0_mean,38.0,44.0,60.13725490196079,60.66176470588235,0.7027649769585254
Orien1_mean,109.0,123.0,32.23039215686275,35.94117647058824,0.3064516129032258
Orien2_mean,79.0,88.0,116.27941176470591,128.21568627450984,0.4798387096774194
EMG0_min,64.0,114.0,-15.25,-6.0,0.061669829222011384
EMG1_min,20.0,103.0,-40.5,-7.75,0.021601382488479266
EMG2_min,18.0,78.0,-74.5,-24.0,0.0449497620306716
EMG3_min,1.0,59.0,-45.5,-19.0,0.047840349917987975
EMG4_min,3.0,53.0,-66.5,-23.0,0.061669829222011384
EMG5_min,3.0,88.0,-104.25,-35.0,0.020161290322580645
EMG6_min,3.0,29.0,-125.0,-70.0,0.15232974910394265
EMG7_min,17.0,98.0,-63.5,-15.0,0.0231117230527144
Accl0_min,16.0,30.0,0.75720225,0.7904055,0.3064516129032258
Accl1_min,3.0,28.0,-0.6761475,-0.5283205,0.1597394540942928
Accl2_min,77.0,98.0,0.23889175,0.27941900000000003,0.19611436950146627
Gyr0_min,18.0,61.0,-32.4375,-17.84375,0.07789589442815249
Gyr1_min,15.0,66.0,-16.125,-7.21875,0.05970843672456575
