Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,2.0,121.0,-4.754901960784315,1.450980392156863,0.0023999999999999985
EMG1_mean,17.0,97.0,-2.0049019607843137,-0.42156862745098045,0.018962962962962963
EMG2_mean,43.0,84.0,-1.2794117647058822,-0.32352941176470584,0.0662857142857143
EMG3_mean,34.0,67.0,-1.2941176470588236,-0.7009803921568628,0.08941176470588234
EMG4_mean,9.0,113.0,-2.436274509803922,0.16176470588235292,0.007314285714285717
EMG5_mean,17.0,77.0,-3.1764705882352944,-0.3529411764705883,0.03567213114754098
EMG6_mean,13.0,73.0,-3.980392156862745,-0.38725490196078427,0.03567213114754098
EMG7_mean,32.0,104.0,-1.2549019607843137,0.4362745098039216,0.02454794520547945
Accl0_mean,63.0,82.0,0.8947730294117645,0.9056635392156864,0.1744
Accl1_mean,76.0,85.0,-0.3031891274509804,-0.275500705882353,0.3808
Accl2_mean,75.0,85.0,0.2947471862745098,0.3090293872549019,0.34327272727272723
Gyr0_mean,81.0,108.0,0.17861519607843138,0.8504901960784315,0.11542857142857142
Gyr1_mean,9.0,34.0,-2.251531862745098,-1.7365196078431373,0.12676923076923077
Gyr2_mean,34.0,64.0,-0.7683823529411764,-0.4411764705882353,0.10116129032258064
Orien0_mean,79.0,91.0,66.44607843137254,67.20098039215688,0.2855384615384616
Orien1_mean,50.0,67.0,22.784313725490197,24.29901960784314,0.19733333333333333
Orien2_mean,47.0,50.0,68.34803921568627,76.34803921568627,1.0
EMG0_min,8.0,31.0,-49.75,-28.75,0.14
EMG1_min,41.0,95.0,-25.0,-9.0,0.04305454545454545
EMG2_min,119.0,128.0,-12.0,-5.0,0.3808
EMG3_min,74.0,125.0,-16.0,-7.75,0.047384615384615386
EMG4_min,28.0,90.0,-36.5,-14.0,0.03352380952380952
EMG5_min,32.0,61.0,-61.0,-47.0,0.1056
EMG6_min,15.0,32.0,-96.25,-63.75,0.19733333333333333
EMG7_min,89.0,108.0,-19.0,-11.75,0.1744
Accl0_min,61.0,89.0,0.85095175,0.879761,0.1103448275862069
Accl1_min,85.0,95.0,-0.3709715,-0.32397475,0.34327272727272723
Accl2_min,88.0,102.0,0.255859,0.28417950000000003,0.2432
Gyr0_min,89.0,123.0,-8.78125,-4.5,0.08594285714285714
Gyr1_min,47.0,92.0,-9.3125,-5.1875,0.05773913043478261
Gyr2_min,38.0,112.0,-13.328125,-5.125,0.023039999999999998
Orien0_min,99.0,107.0,65.75,66.0,0.4266666666666667
Orien1_min,50.0,64.0,22.0,23.0,0.2432
Orien2_min,53.0,57.0,67.5,75.75,0.7936
EMG0_max,115.0,127.0,59.25,100.75,0.2855384615384616
EMG1_max,67.0,90.0,13.0,20.0,0.14
EMG2_max,0.0,57.0,3.0,24.0,0.03917241379310345
EMG3_max,2.0,64.0,5.0,15.0,0.03352380952380952
EMG4_max,36.0,111.0,12.0,33.25,0.022315789473684212
EMG5_max,29.0,96.0,28.75,52.5,0.028705882352941175
EMG6_max,101.0,128.0,63.75,127.0,0.11542857142857142
EMG7_max,12.0,42.0,9.75,15.0,0.10116129032258064
Accl0_max,44.0,69.0,0.90966775,0.928345,0.12676923076923077
Accl1_max,56.0,74.0,-0.2661135,-0.24365275,0.18526315789473685
Accl2_max,68.0,83.0,0.32250975,0.36401374999999997,0.226
Gyr0_max,14.0,53.0,5.484375,9.765625,0.0712
Gyr1_max,6.0,42.0,1.15625,4.265625,0.07956756756756757
Gyr2_max,14.0,34.0,2.90625,4.34375,0.1645714285714286
Orien0_max,65.0,85.0,66.75,68.0,0.1645714285714286
Orien1_max,56.0,73.0,24.75,26.0,0.19733333333333333
Orien2_max,47.0,50.0,69.75,76.75,1.0
EMG0_stdev,110.0,121.0,15.600677361797676,19.70289817540263,0.312
EMG1_stdev,43.0,80.0,4.031517744238801,7.326725303705748,0.07663157894736843
EMG2_stdev,0.0,16.0,1.9423215784444179,5.538149668060317,0.2108235294117647
EMG3_stdev,0.0,34.0,2.791773226746617,5.112000489236452,0.08594285714285714
EMG4_stdev,52.0,81.0,6.414177249135246,8.745845853892018,0.1056
EMG5_stdev,46.0,86.0,14.35687102479342,20.217584155231744,0.0686829268292683
EMG6_stdev,103.0,119.0,29.420003468746664,40.02051903155085,0.2108235294117647
EMG7_stdev,21.0,35.0,4.871711083853321,6.119252919559298,0.2432
Accl0_stdev,17.0,53.0,0.008150703196972454,0.01212168024231387,0.07956756756756757
Accl1_stdev,20.0,42.0,0.01650211004263457,0.02365293716414641,0.14747826086956523
Accl2_stdev,6.0,45.0,0.009838892458911749,0.017118213054235373,0.0712
Gyr0_stdev,6.0,21.0,1.949400112641224,2.7427452981949103,0.226
Gyr1_stdev,18.0,44.0,1.2746311652441757,2.1181016950088267,0.12088888888888888
Gyr2_stdev,10.0,52.0,1.6100149663202696,2.9199082853780327,0.064
Orien0_stdev,20.0,60.0,0.4153902016271484,0.7236802961493223,0.0686829268292683
Orien1_stdev,71.0,105.0,0.6340017304505406,1.2877229044932055,0.08594285714285714
Orien2_stdev,1.0,10.0,0.18311038136792207,0.3717208592225055,0.3808
EMG0_energy,111.0,121.0,13558.0,19582.25,0.34327272727272723
EMG1_energy,43.0,75.0,864.75,2698.5,0.0930909090909091
EMG2_energy,0.0,15.0,221.25,1540.0,0.226
EMG3_energy,1.0,33.0,478.25,1336.75,0.0930909090909091
EMG4_energy,50.0,81.0,2062.5,4099.75,0.097
EMG5_energy,43.0,87.0,10314.5,21130.25,0.05973333333333333
EMG6_energy,102.0,119.0,43550.25,80196.25,0.19733333333333333
EMG7_energy,22.0,34.0,1284.75,1846.25,0.2855384615384616
Accl0_energy,60.0,81.0,40.806291875954244,41.835621461891975,0.15563636363636363
Accl1_energy,41.0,49.0,3.8882522672385003,4.65219005605,0.4266666666666667
Accl2_energy,75.0,84.0,4.4406711558000005,4.86198052919425,0.3808
Gyr0_energy,6.0,21.0,218.9150390625,381.1005859375,0.226
Gyr1_energy,19.0,66.0,239.9580078125,482.119140625,0.054
Gyr2_energy,9.0,49.0,138.4736328125,449.787109375,0.0686829268292683
Orien0_energy,77.0,88.0,225181.75,230326.75,0.312
Orien1_energy,49.0,66.0,26469.75,30150.75,0.19733333333333333
Orien2_energy,47.0,50.0,238663.75,297332.75,1.0
