Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,25.0,72.0,-1.3848039215686274,-0.6078431372549019,0.054
EMG1_mean,13.0,120.0,-2.5098039215686274,1.0637254901960784,0.006222222222222221
EMG2_mean,10.0,125.0,-3.5833333333333335,2.691176470588235,0.0035862068965517224
EMG3_mean,5.0,116.0,-2.333333333333333,0.4166666666666667,0.004857142857142854
EMG4_mean,3.0,103.0,-3.235294117647059,-0.1519607843137255,0.008871287128712872
EMG5_mean,15.0,123.0,-3.2990196078431375,2.0098039215686274,0.005871559633027523
EMG6_mean,11.0,114.0,-4.230392156862745,1.3382352941176472,0.007692307692307694
EMG7_mean,13.0,74.0,-2.6029411764705883,-0.42647058823529416,0.03458064516129032
Accl0_mean,14.0,31.0,0.8231225196078429,0.8484676519607842,0.19733333333333333
Accl1_mean,31.0,60.0,-0.401774044117647,-0.35030114705882354,0.1056
Accl2_mean,105.0,118.0,0.3536089490196078,0.4070661715686275,0.26285714285714284
Gyr0_mean,120.0,127.0,3.7843210784313723,8.531563725490196,0.484
Gyr1_mean,1.0,119.0,-3.499080882352941,-0.6988357843137255,0.0026890756302520983
Gyr2_mean,17.0,125.0,-1.1534926470588234,2.831188725490196,0.005871559633027523
Orien0_mean,62.0,95.0,64.8235294117647,67.45588235294117,0.08941176470588234
Orien1_mean,98.0,112.0,30.147058823529413,32.794117647058826,0.2432
Orien2_mean,94.0,113.0,137.44117647058823,162.8921568627451,0.1744
EMG0_min,65.0,98.0,-15.0,-9.75,0.08941176470588234
EMG1_min,20.0,43.0,-37.75,-23.75,0.14
EMG2_min,9.0,63.0,-98.5,-27.0,0.04305454545454545
EMG3_min,2.0,62.0,-42.0,-19.0,0.03567213114754098
EMG4_min,0.0,12.0,-97.0,-45.75,0.2855384615384616
EMG5_min,4.0,72.0,-96.25,-42.0,0.027826086956521744
EMG6_min,6.0,66.0,-111.25,-31.0,0.03567213114754098
EMG7_min,19.0,64.0,-56.25,-25.0,0.05773913043478261
