Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,19.0,102.0,-1.5637254901960784,-0.20588235294117652,0.017142857142857147
EMG1_mean,5.0,124.0,-3.0735294117647056,1.6911764705882353,0.0023999999999999985
EMG2_mean,88.0,127.0,-0.03431372549019608,7.053921568627452,0.0712
EMG3_mean,34.0,115.0,-1.2941176470588236,0.3970588235294117,0.01834146341463415
EMG4_mean,38.0,101.0,-1.2549019607843137,-0.1715686274509804,0.0325
EMG5_mean,45.0,82.0,-1.4362745098039218,-0.1323529411764706,0.07663157894736843
EMG6_mean,56.0,80.0,-1.073529411764706,-0.2352941176470588,0.13312000000000002
EMG7_mean,45.0,92.0,-1.0098039215686274,0.024509803921568627,0.054
Accl0_mean,91.0,95.0,0.9112285686274508,0.9163172303921572,0.7936
Accl1_mean,86.0,92.0,-0.27476349019607854,-0.260100705882353,0.5577142857142857
Accl2_mean,64.0,67.0,0.26874860784313725,0.27457683823529416,1.0
Gyr0_mean,53.0,79.0,-0.26409313725490197,0.1556372549019608,0.12088888888888888
Gyr1_mean,56.0,113.0,-1.5670955882352942,-0.803921568627451,0.03917241379310345
Gyr2_mean,57.0,74.0,-0.5033700980392157,-0.3762254901960784,0.19733333333333333
Orien0_mean,73.0,83.0,65.84313725490196,66.78431372549021,0.34327272727272723
Orien1_mean,33.0,36.0,20.666666666666668,21.27941176470588,1.0
Orien2_mean,33.0,38.0,53.029411764705884,57.632352941176464,0.656
EMG0_min,13.0,54.0,-45.0,-19.0,0.0662857142857143
EMG1_min,14.0,28.0,-51.0,-31.0,0.2432
EMG2_min,3.0,12.0,-127.25,-85.5,0.3808
EMG3_min,29.0,90.0,-24.25,-14.0,0.03458064516129032
EMG4_min,113.0,128.0,-10.25,-7.25,0.226
EMG5_min,40.0,127.0,-53.5,-7.0,0.014909090909090907
EMG6_min,119.0,128.0,-11.25,-5.25,0.3808
EMG7_min,114.0,128.0,-10.0,-5.25,0.2432
Accl0_min,58.0,108.0,0.8479005,0.898682,0.04894117647058823
Accl1_min,83.0,111.0,-0.3745115,-0.282593,0.1103448275862069
Accl2_min,71.0,75.0,0.22912575000000002,0.23632825,0.7936
Gyr0_min,74.0,108.0,-14.03125,-6.71875,0.08594285714285714
Gyr1_min,102.0,124.0,-4.625,-3.25,0.14747826086956523
Gyr2_min,79.0,115.0,-8.265625,-5.109375,0.07956756756756757
Orien0_min,74.0,91.0,64.0,65.0,0.19733333333333333
Orien1_min,34.0,40.0,20.0,21.0,0.5577142857142857
Orien2_min,39.0,44.0,52.75,56.5,0.656
EMG0_max,46.0,106.0,11.0,40.5,0.03567213114754098
EMG1_max,96.0,117.0,21.0,52.0,0.15563636363636363
EMG2_max,115.0,127.0,77.25,127.0,0.2855384615384616
EMG3_max,13.0,120.0,7.75,32.25,0.006222222222222221
EMG4_max,1.0,66.0,4.0,18.0,0.030545454545454546
EMG5_max,0.0,17.0,2.5,20.0,0.19733333333333333
EMG6_max,0.0,10.0,3.0,10.25,0.34327272727272723
EMG7_max,0.0,52.0,3.75,17.0,0.04588679245283019
Accl0_max,73.0,128.0,0.92993175,1.000607,0.04171428571428571
Accl1_max,65.0,81.0,-0.25207500000000005,-0.2297365,0.2108235294117647
Accl2_max,52.0,60.0,0.30029324999999996,0.31164525,0.4266666666666667
Gyr0_max,0.0,46.0,3.015625,8.890625,0.055829787234042555
Gyr1_max,39.0,111.0,3.90625,16.984375,0.02454794520547945
Gyr2_max,0.0,40.0,1.203125,4.828125,0.0686829268292683
Orien0_max,60.0,78.0,65.75,67.0,0.18526315789473685
Orien1_max,29.0,36.0,21.0,22.0,0.484
Orien2_max,34.0,38.0,56.0,60.5,0.7936
EMG0_stdev,68.0,103.0,5.873635220365064,11.895751146868573,0.08266666666666667
EMG1_stdev,105.0,119.0,11.566840380631742,21.358879223896167,0.2432
EMG2_stdev,119.0,124.0,37.846025552974154,46.12290647030015,0.656
EMG3_stdev,59.0,110.0,6.520356767218533,8.977235107573316,0.047384615384615386
EMG4_stdev,0.0,13.0,2.3164278427487273,4.287967880981342,0.26285714285714284
EMG5_stdev,0.0,16.0,2.171046497273103,8.319273428684795,0.2108235294117647
EMG6_stdev,0.0,4.0,1.774339186864625,3.284415645515262,0.7936
EMG7_stdev,0.0,18.0,2.50131564737925,4.558477813944167,0.18526315789473685
Accl0_stdev,13.0,105.0,0.007514746094352208,0.019623930869579767,0.012387096774193551
Accl1_stdev,1.0,26.0,0.008017128664459996,0.019076608930992965,0.12676923076923077
Accl2_stdev,15.0,25.0,0.011979957730147742,0.013021143746077327,0.34327272727272723
Gyr0_stdev,1.0,37.0,1.5533988680629889,3.4352299874986194,0.07956756756756757
Gyr1_stdev,7.0,97.0,1.0238043383961601,3.6213970565662783,0.013362637362637365
Gyr2_stdev,4.0,25.0,1.2682104015974918,2.157604265864796,0.15563636363636363
Orien0_stdev,4.0,61.0,0.24251923394652258,0.731630790202225,0.03917241379310345
Orien1_stdev,8.0,37.0,0.22723636067678157,0.45264849328770507,0.1056
Orien2_stdev,34.0,68.0,0.5201660833105588,0.7643857180723155,0.08594285714285714
EMG0_energy,64.0,103.0,1706.25,7124.75,0.0712
