Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,36.0,61.0,-1.1029411764705883,-0.7401960784313726,0.12676923076923077
EMG1_mean,45.0,84.0,-1.1176470588235294,-0.6274509803921569,0.0712
EMG2_mean,16.0,91.0,-2.6617647058823533,0.06372549019607844,0.022315789473684212
EMG3_mean,14.0,89.0,-1.8284313725490193,-0.3137254901960784,0.022315789473684212
EMG4_mean,73.0,94.0,-0.7450980392156863,-0.40931372549019607,0.15563636363636363
EMG5_mean,0.0,89.0,-10.85294117647059,-0.07352941176470588,0.013866666666666668
EMG6_mean,3.0,101.0,-8.730392156862745,0.4754901960784313,0.009696969696969695
EMG7_mean,15.0,80.0,-2.573529411764706,-0.3088235294117647,0.030545454545454546
Accl0_mean,91.0,122.0,0.910022205882353,0.9467222745098038,0.097
Accl1_mean,89.0,126.0,-0.2674225343137255,-0.14596975980392152,0.07663157894736843
Accl2_mean,44.0,71.0,0.2196308676470588,0.29071886764705884,0.11542857142857142
Gyr0_mean,31.0,104.0,-0.6727941176470589,0.6657475490196079,0.023783783783783784
Gyr1_mean,31.0,71.0,-1.7855392156862744,-1.4335171568627452,0.0686829268292683
Gyr2_mean,77.0,115.0,-0.3109681372549019,0.6829044117647058,0.07384615384615384
Orien0_mean,64.0,117.0,64.97549019607843,72.19117647058823,0.044444444444444446
Orien1_mean,6.0,40.0,14.803921568627452,21.985294117647058,0.08594285714285714
Orien2_mean,4.0,15.0,7.4754901960784315,31.887254901960784,0.312
EMG0_min,115.0,126.0,-6.25,-4.0,0.312
EMG1_min,101.0,120.0,-8.25,-5.75,0.1744
EMG2_min,69.0,91.0,-26.0,-21.0,0.14747826086956523
EMG3_min,36.0,65.0,-23.0,-18.0,0.1056
EMG4_min,73.0,124.0,-19.0,-8.0,0.047384615384615386
EMG5_min,0.0,57.0,-114.0,-47.0,0.03917241379310345
EMG6_min,5.0,35.0,-117.25,-57.75,0.10116129032258064
EMG7_min,26.0,123.0,-47.25,-8.0,0.010122448979591837
