Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,13.0,111.0,-1.8284313725490196,0.04901960784313726,0.012525252525252526
EMG1_mean,33.0,73.0,-1.2990196078431373,-0.7401960784313726,0.08682926829268292
EMG2_mean,27.0,106.0,-1.8480392156862744,1.0,0.025
EMG3_mean,46.0,124.0,-1.0490196078431375,0.6862745098039216,0.02582278481012658
EMG4_mean,65.0,124.0,-0.8480392156862745,0.9362745098039216,0.04666666666666667
EMG5_mean,105.0,128.0,0.6421568627450981,4.48529411764706,0.17666666666666667
EMG6_mean,20.0,127.0,-3.0588235294117645,3.6078431372549025,0.008148148148148146
EMG7_mean,49.0,114.0,-0.857843137254902,0.8235294117647058,0.03878787878787878
Accl0_mean,105.0,113.0,0.9328660833333333,0.9362434411764706,0.5377777777777778
Accl1_mean,104.0,114.0,-0.23183782352941185,-0.21944891176470593,0.43272727272727274
Accl2_mean,41.0,49.0,0.21614579117647056,0.22793881862745094,0.5377777777777778
Gyr0_mean,50.0,102.0,-0.28523284313725494,0.5517769607843137,0.05811320754716981
Gyr1_mean,41.0,59.0,-1.6917892156862744,-1.5575980392156863,0.23368421052631577
Gyr2_mean,10.0,58.0,-1.3636642156862746,-0.49111519607843135,0.06612244897959184
Orien0_mean,61.0,77.0,64.51470588235293,66.12254901960785,0.26588235294117646
Orien1_mean,18.0,23.0,17.17156862745098,17.465686274509803,0.8266666666666667
Orien2_mean,17.0,23.0,34.09313725490196,41.48039215686275,0.7028571428571428
EMG0_min,5.0,92.0,-56.25,-11.0,0.019090909090909092
EMG1_min,49.0,124.0,-22.0,-5.0,0.028421052631578944
EMG2_min,42.0,98.0,-36.0,-18.75,0.0512280701754386
EMG3_min,27.0,85.0,-25.0,-15.0,0.04813559322033899
EMG4_min,47.0,89.0,-24.25,-14.0,0.08093023255813954
EMG5_min,14.0,56.0,-74.0,-48.0,0.08093023255813954
EMG6_min,18.0,38.0,-92.5,-54.5,0.20761904761904762
EMG7_min,70.0,119.0,-24.0,-9.75,0.064
Accl0_min,102.0,121.0,0.889404,0.9198,0.22
Accl1_min,89.0,118.0,-0.34313925,-0.26245125,0.13333333333333333
Accl2_min,51.0,60.0,0.18457,0.21154825,0.48
Gyr0_min,71.0,114.0,-14.59375,-5.734375,0.07818181818181819
Gyr1_min,65.0,128.0,-7.3125,-3.078125,0.04125
Gyr2_min,25.0,104.0,-15.734375,-5.875,0.025
Orien0_min,70.0,86.0,62.75,64.25,0.26588235294117646
Orien1_min,4.0,26.0,13.75,17.25,0.18608695652173912
Orien2_min,24.0,31.0,31.75,41.0,0.61
EMG0_max,90.0,115.0,24.75,57.75,0.16
EMG1_max,28.0,78.0,6.0,15.0,0.06196078431372548
EMG2_max,39.0,80.0,18.0,32.0,0.0838095238095238
EMG3_max,79.0,107.0,17.0,23.0,0.13931034482758622
EMG4_max,23.0,107.0,10.0,30.0,0.021176470588235297
EMG5_max,84.0,123.0,46.0,84.25,0.09
EMG6_max,104.0,114.0,70.5,86.25,0.43272727272727274
EMG7_max,33.0,75.0,13.0,23.0,0.08093023255813954
Accl0_max,84.0,104.0,0.94543475,0.958496,0.20761904761904762
Accl1_max,91.0,120.0,-0.197754,-0.14331075,0.13333333333333333
Accl2_max,28.0,43.0,0.245605,0.271118,0.285
Gyr0_max,13.0,67.0,5.421875,11.5625,0.05454545454545455
Gyr1_max,2.0,46.0,0.453125,4.46875,0.07555555555555556
Gyr2_max,3.0,92.0,2.0625,11.359375,0.017777777777777778
Orien0_max,59.0,85.0,65.0,68.0,0.15259259259259259
Orien1_max,10.0,23.0,18.0,20.0,0.33142857142857146
Orien2_max,17.0,22.0,35.5,43.5,0.8266666666666667
EMG0_stdev,81.0,117.0,6.919295451703584,18.574160056803734,0.10054054054054054
EMG1_stdev,23.0,57.0,2.7557702116686635,5.320875744749793,0.10857142857142858
EMG2_stdev,50.0,78.0,9.298302606419217,11.595384682905562,0.13931034482758622
EMG3_stdev,71.0,103.0,6.982521779228128,8.700179660246366,0.11757575757575757
EMG4_stdev,40.0,72.0,5.843577123750659,7.7590964825058455,0.11757575757575757
EMG5_stdev,103.0,117.0,22.359154775244157,26.335872761118083,0.3066666666666667
EMG6_stdev,104.0,119.0,29.607532837474707,36.101949613289285,0.285
EMG7_stdev,37.0,69.0,6.270234806514755,8.879411165641574,0.11757575757575757
Accl0_stdev,7.0,70.0,0.006058246338975403,0.013418391069032025,0.04125
Accl1_stdev,14.0,91.0,0.015008840007582016,0.03628115676314892,0.026666666666666672
Accl2_stdev,3.0,38.0,0.008461207641967469,0.016208081644233673,0.10444444444444445
Gyr0_stdev,13.0,50.0,2.4396737281298084,4.736491995337211,0.0968421052631579
Gyr1_stdev,5.0,26.0,0.9803902037128445,1.6872569115222043,0.19636363636363638
Gyr2_stdev,6.0,103.0,1.4532926486001667,5.518506507311462,0.013061224489795919
Orien0_stdev,50.0,95.0,0.5840926425621378,1.2556937253212066,0.07304347826086956
Orien1_stdev,27.0,109.0,0.38217035894782764,1.427141269733752,0.02265060240963855
Orien2_stdev,71.0,106.0,0.7981563917350271,1.4636222201811497,0.10444444444444445
EMG0_energy,81.0,117.0,2482.5,17349.25,0.10054054054054054
EMG1_energy,21.0,60.0,414.75,1480.25,0.09
EMG2_energy,47.0,78.0,4368.75,6865.0,0.1225
EMG3_energy,71.0,99.0,2452.0,3839.25,0.13931034482758622
EMG4_energy,39.0,69.0,1744.25,3031.75,0.12774193548387097
EMG5_energy,104.0,117.0,25840.75,34969.75,0.33142857142857146
EMG6_energy,104.0,119.0,44282.75,65626.5,0.285
EMG7_energy,37.0,65.0,2006.0,3872.75,0.13931034482758622
Accl0_energy,104.0,112.0,44.391504073254254,44.707035445171506,0.5377777777777778
Accl1_energy,14.0,23.0,2.45392427809925,2.7606326337395,0.48
Accl2_energy,38.0,47.0,2.38270899097075,2.662878379700251,0.48
Gyr0_energy,13.0,50.0,299.0107421875,1122.234375,0.0968421052631579
Gyr1_energy,9.0,32.0,183.521484375,288.3662109375,0.17666666666666667
Gyr2_energy,5.0,104.0,113.1240234375,1630.21875,0.012
Orien0_energy,59.0,75.0,212298.75,223018.75,0.26588235294117646
Orien1_energy,16.0,21.0,15049.75,15611.5,0.8266666666666667
Orien2_energy,17.0,23.0,59545.75,87820.5,0.7028571428571428
