Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,16.0,76.0,-1.857843137254902,-0.39705882352941174,0.04582419000903576
EMG1_mean,55.0,92.0,-1.03921568627451,-0.23039215686274508,0.09738914214670534
EMG2_mean,12.0,101.0,-4.921568627450981,0.803921568627451,0.018372703412073487
EMG3_mean,27.0,111.0,-2.1715686274509802,1.2941176470588236,0.02176933765632237
EMG4_mean,23.0,91.0,-1.6715686274509804,-0.0392156862745098,0.0359465936323177
EMG5_mean,29.0,102.0,-1.7058823529411764,0.3970588235294117,0.030857629282826135
EMG6_mean,2.0,130.0,-8.28921568627451,6.181372549019608,0.0009155832265152919
EMG7_mean,7.0,101.0,-2.436274509803922,0.20098039215686278,0.015333609614587653
Accl0_mean,102.0,116.0,0.6955494558823531,0.7318965539215686,0.30708661417322836
Accl1_mean,87.0,105.0,-0.5545582549019608,-0.517791112745098,0.23414836303356817
Accl2_mean,40.0,79.0,0.4534337254901961,0.4745519607843137,0.09055118110236221
Gyr0_mean,13.0,54.0,-0.36121323529411764,0.26501225490196073,0.0843644544431946
Gyr1_mean,40.0,92.0,-1.4145220588235297,-0.6302083333333333,0.05868370227306492
Gyr2_mean,23.0,80.0,-2.4099264705882355,-1.087316176470588,0.05023079011675264
Orien0_mean,87.0,98.0,64.79901960784312,65.00490196078431,0.3937007874015748
Orien1_mean,14.0,30.0,42.867647058823536,46.18627450980392,0.26632700324224173
Orien2_mean,21.0,34.0,143.0,143.97058823529412,0.3318335208098988
EMG0_min,51.0,130.0,-28.0,-6.0,0.025590551181102362
EMG1_min,83.0,125.0,-20.0,-9.0,0.08148690715986083
EMG2_min,54.0,108.0,-77.5,-35.75,0.05511811023622047
EMG3_min,73.0,103.0,-42.0,-24.0,0.12827025654051308
EMG4_min,27.0,130.0,-34.0,-9.5,0.01059963658388855
EMG5_min,25.0,113.0,-41.0,-18.75,0.01902149871715474
EMG6_min,14.0,56.0,-76.5,-40.0,0.08148690715986083
EMG7_min,63.0,125.0,-25.0,-10.75,0.04311961004874391
Accl0_min,99.0,127.0,0.6085207499999999,0.6629639999999999,0.13983165897366276
Accl1_min,105.0,119.0,-0.656738,-0.6191409999999999,0.30708661417322836
Accl2_min,33.0,79.0,0.408203,0.441406,0.07120120623219969
Gyr0_min,25.0,72.0,-16.78125,-8.734375,0.0688976377952756
Gyr1_min,58.0,113.0,-12.765625,-7.4375,0.05343082114735659
Gyr2_min,51.0,90.0,-16.609375,-11.796875,0.09055118110236221
Orien0_min,104.0,129.0,64.0,65.0,0.16050878255602663
Orien1_min,18.0,35.0,41.0,45.25,0.24934383202099736
Orien2_min,25.0,34.0,143.0,143.25,0.48031496062992124
EMG0_max,12.0,53.0,8.0,22.25,0.0843644544431946
EMG1_max,14.0,37.0,10.0,15.0,0.17716535433070865
EMG2_max,17.0,66.0,27.75,58.75,0.06456692913385827
EMG3_max,12.0,60.0,13.75,35.25,0.0666880925598586
EMG4_max,3.0,92.0,8.75,21.0,0.018372703412073487
