Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,27.0,57.0,-1.392156862745098,-0.8970588235294119,0.10181451612903225
EMG1_mean,32.0,109.0,-1.3823529411764706,0.3235294117647059,0.021634615384615384
EMG2_mean,18.0,128.0,-3.980392156862745,5.117647058823529,0.005912162162162164
EMG3_mean,24.0,123.0,-2.318627450980392,2.90686274509804,0.010000000000000002
EMG4_mean,34.0,102.0,-1.3725490196078431,0.0784313725490196,0.028532608695652176
EMG5_mean,10.0,120.0,-2.553921568627451,1.441176470588235,0.005912162162162164
EMG6_mean,21.0,72.0,-2.519607843137255,-0.6078431372549019,0.04807692307692307
EMG7_mean,36.0,79.0,-1.2745098039215685,-0.39215686274509803,0.0625
Accl0_mean,28.0,35.0,0.6310604607843138,0.6378724754901961,0.484375
Accl1_mean,15.0,27.0,-0.6474729362745097,-0.642669068627451,0.2860576923076923
Accl2_mean,28.0,36.0,0.44910387745098035,0.4530532058823529,0.4270833333333333
Gyr0_mean,15.0,44.0,-0.3550857843137255,0.12469362745098037,0.10625000000000001
Gyr1_mean,87.0,110.0,-0.6675857843137254,-0.3253676470588235,0.140625
Gyr2_mean,62.0,95.0,-1.2815563725490198,-0.883578431372549,0.0900735294117647
Orien0_mean,20.0,25.0,62.03921568627451,62.083333333333336,0.65625
Orien1_mean,96.0,102.0,50.40686274509804,50.7549019607843,0.5580357142857143
Orien2_mean,73.0,100.0,147.9313725490196,149.04411764705884,0.11607142857142858
EMG0_min,117.0,129.0,-10.0,-6.75,0.2860576923076923
EMG1_min,92.0,130.0,-17.0,-8.0,0.07451923076923077
EMG2_min,46.0,117.0,-82.25,-24.25,0.026041666666666664
EMG3_min,51.0,113.0,-57.0,-19.75,0.03422619047619048
EMG4_min,2.0,128.0,-59.5,-11.75,0.001230314960629919
EMG5_min,1.0,64.0,-76.25,-31.0,0.033203125
EMG6_min,67.0,79.0,-36.0,-31.0,0.2860576923076923
EMG7_min,65.0,111.0,-25.0,-14.0,0.05651595744680851
Accl0_min,44.0,90.0,0.5512699999999999,0.6004639999999999,0.05651595744680851
Accl1_min,2.0,93.0,-0.83093225,-0.68042,0.013586956521739128
Accl2_min,39.0,66.0,0.41247575000000003,0.43225125,0.11607142857142858
Gyr0_min,11.0,75.0,-21.5,-8.5,0.03221153846153846
Gyr1_min,95.0,123.0,-9.71875,-5.90625,0.11099137931034483
Gyr2_min,18.0,81.0,-24.953125,-12.328125,0.033203125
