Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,24.0,93.0,-1.5245098039215685,0.024509803921568627,0.027678571428571427
EMG1_mean,36.0,106.0,-1.2352941176470589,0.2549019607843137,0.026848591549295774
EMG2_mean,13.0,126.0,-4.764705882352941,4.156862745098039,0.004934210526315791
EMG3_mean,6.0,119.0,-4.28921568627451,1.9852941176470584,0.004934210526315791
EMG4_mean,15.0,126.0,-1.9558823529411766,1.4411764705882353,0.005580357142857144
EMG5_mean,52.0,130.0,-1.0245098039215685,3.2647058823529416,0.020965189873417722
EMG6_mean,72.0,127.0,-0.6862745098039216,3.200980392156863,0.04241071428571429
EMG7_mean,10.0,103.0,-2.2009803921568625,0.29411764705882354,0.012632978723404256
Accl0_mean,34.0,57.0,0.6350552254901961,0.6492608823529412,0.140625
Accl1_mean,6.0,25.0,-0.6539713578431374,-0.6430640000000001,0.175
Accl2_mean,0.0,19.0,0.42775352450980403,0.4413368431372549,0.175
Gyr0_mean,5.0,34.0,-0.7613357843137255,-0.003676470588235294,0.10625000000000001
Gyr1_mean,57.0,93.0,-1.1341911764705883,-0.6099877450980392,0.08023648648648649
Gyr2_mean,46.0,100.0,-1.5536151960784312,-0.8385416666666667,0.04375
Orien0_mean,0.0,11.0,61.10294117647059,61.88725490196078,0.3125
Orien1_mean,72.0,99.0,49.46568627450982,50.549019607843135,0.11607142857142858
Orien2_mean,19.0,40.0,142.83333333333334,145.00980392156862,0.15625
EMG0_min,48.0,130.0,-29.0,-6.0,0.018448795180722892
EMG1_min,25.0,96.0,-52.0,-16.0,0.026041666666666664
EMG2_min,21.0,64.0,-100.75,-70.0,0.0625
EMG3_min,6.0,58.0,-103.0,-53.0,0.04658018867924528
EMG4_min,38.0,80.0,-29.0,-20.0,0.06468023255813954
EMG5_min,16.0,80.0,-47.0,-27.0,0.03221153846153846
EMG6_min,15.0,40.0,-75.25,-45.0,0.12740384615384615
EMG7_min,33.0,109.0,-35.5,-14.0,0.02232142857142857
Accl0_min,31.0,78.0,0.5356449999999999,0.58667,0.0546875
Accl1_min,3.0,60.0,-0.8173825000000001,-0.7205809999999999,0.03987068965517242
Accl2_min,12.0,28.0,0.395508,0.406006,0.2113970588235294
Gyr0_min,10.0,39.0,-21.96875,-13.25,0.10625000000000001
Gyr1_min,45.0,108.0,-13.9375,-7.90625,0.033203125
Gyr2_min,30.0,90.0,-20.40625,-11.734375,0.03637295081967214
Orien0_min,9.0,12.0,61.0,61.0,1.0
Orien1_min,75.0,82.0,48.75,49.0,0.484375
Orien2_min,19.0,43.0,142.0,145.0,0.13375
EMG0_max,1.0,67.0,4.75,28.0,0.030317164179104475
EMG1_max,0.0,80.0,3.75,26.25,0.019675925925925923
EMG2_max,15.0,78.0,26.0,71.25,0.033203125
EMG3_max,67.0,97.0,38.5,57.0,0.10181451612903225
EMG4_max,31.0,129.0,14.0,36.0,0.010416666666666664
EMG5_max,87.0,131.0,36.75,83.0,0.06041666666666666
EMG6_max,73.0,95.0,35.0,53.0,0.1480978260869565
EMG7_max,28.0,74.0,15.0,24.0,0.05651595744680851
Accl0_max,31.0,59.0,0.6634519999999999,0.6831050000000001,0.11099137931034483
Accl1_max,16.0,56.0,-0.60241725,-0.5699460000000001,0.06935975609756098
Accl2_max,6.0,86.0,0.49060075000000003,0.5463865,0.019675925925925923
Gyr0_max,13.0,59.0,8.46875,11.625,0.05651595744680851
Gyr1_max,88.0,122.0,6.171875,11.34375,0.08660714285714285
Gyr2_max,45.0,102.0,3.09375,7.1875,0.03987068965517242
Orien0_max,0.0,14.0,62.0,62.25,0.24375000000000002
Orien1_max,44.0,91.0,52.0,54.0,0.0546875
Orien2_max,17.0,38.0,142.75,145.25,0.15625
EMG0_stdev,2.0,36.0,2.5489869363537205,6.498069056498104,0.08660714285714285
EMG1_stdev,11.0,68.0,4.2653242859918485,8.313101208507053,0.03987068965517242
EMG2_stdev,56.0,77.0,21.528142525740872,27.463497561813377,0.15625
EMG3_stdev,87.0,100.0,20.59051411332971,24.14732555578535,0.26339285714285715
EMG4_stdev,33.0,88.0,6.51444957353716,9.075564209685528,0.04241071428571429
EMG5_stdev,100.0,122.0,16.253531559641907,18.952611005696575,0.1480978260869565
EMG6_stdev,88.0,115.0,17.671563717518303,27.22808772591532,0.11607142857142858
EMG7_stdev,40.0,68.0,7.168301207089458,9.44271567208926,0.11099137931034483
Accl0_stdev,21.0,91.0,0.016563845542350283,0.029447377356210645,0.026848591549295774
Accl1_stdev,20.0,89.0,0.02001636617652923,0.03701163334582307,0.027678571428571427
Accl2_stdev,60.0,88.0,0.018355386902797456,0.02269119107749929,0.11099137931034483
Gyr0_stdev,87.0,104.0,4.613553460811582,5.644897078986579,0.19791666666666666
Gyr1_stdev,33.0,72.0,2.743749540990206,3.6568816901823915,0.071875
Gyr2_stdev,32.0,91.0,2.746669714771936,4.888166262295628,0.037500000000000006
Orien0_stdev,45.0,73.0,0.3191284199422466,0.4297677251922658,0.11099137931034483
Orien1_stdev,25.0,65.0,1.0647650321190472,1.607289808078408,0.06935975609756098
Orien2_stdev,6.0,29.0,0.0,0.2376354103144016,0.140625
EMG0_energy,1.0,36.0,328.0,2130.0,0.08333333333333333
EMG1_energy,12.0,65.0,984.5,3573.75,0.045138888888888895
EMG2_energy,56.0,79.0,24036.75,38795.25,0.140625
EMG3_energy,87.0,99.0,21391.0,29312.75,0.2860576923076923
EMG4_energy,30.0,87.0,2162.25,4224.0,0.03987068965517242
EMG5_energy,99.0,119.0,13154.25,18348.75,0.16517857142857142
EMG6_energy,87.0,112.0,15636.0,36967.5,0.12740384615384615
EMG7_energy,37.0,68.0,2581.25,4576.0,0.09765625
Accl0_energy,34.0,56.0,20.596785710457006,21.507211024609006,0.1480978260869565
Accl1_energy,102.0,122.0,21.108616477127747,21.863231362232753,0.16517857142857142
Accl2_energy,0.0,19.0,9.35982165196725,9.9571713259205,0.175
Gyr0_energy,81.0,101.0,1061.4677734375,1604.986328125,0.16517857142857142
Gyr1_energy,33.0,70.0,408.994140625,737.095703125,0.07730263157894737
Gyr2_energy,29.0,84.0,415.7216796875,1281.533203125,0.04241071428571429
Orien0_energy,0.0,11.0,190416.75,195337.25,0.3125
