Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,27.0,77.0,-1.392156862745098,-0.35294117647058826,0.049632352941176475
EMG1_mean,47.0,113.0,-1.107843137254902,0.5294117647058824,0.030317164179104475
EMG2_mean,19.0,121.0,-3.9068627450980387,3.6617647058823533,0.008798543689320391
EMG3_mean,15.0,118.0,-3.034313725490196,1.92156862745098,0.008413461538461536
EMG4_mean,5.0,118.0,-2.6127450980392157,0.8186274509803921,0.004934210526315791
EMG5_mean,54.0,120.0,-1.0,1.534313725490196,0.030317164179104475
EMG6_mean,16.0,126.0,-3.1225490196078427,2.950980392156862,0.005912162162162164
EMG7_mean,65.0,113.0,-0.7696078431372548,0.696078431372549,0.05293367346938775
Accl0_mean,6.0,19.0,0.5964523333333333,0.6196983039215687,0.26339285714285715
Accl1_mean,21.0,48.0,-0.6455724166666668,-0.6314123137254902,0.11607142857142858
Accl2_mean,102.0,108.0,0.48737655392156864,0.49903062745098037,0.5580357142857143
Gyr0_mean,9.0,60.0,-0.5551470588235294,0.34528186274509803,0.04807692307692307
Gyr1_mean,18.0,61.0,-2.035232843137255,-1.0254289215686274,0.0625
Gyr2_mean,76.0,127.0,-1.1161151960784315,-0.13786764705882354,0.04807692307692307
Orien0_mean,60.0,63.0,63.122549019607845,63.32843137254902,1.0
Orien1_mean,112.0,125.0,51.66666666666666,53.40686274509804,0.26339285714285715
Orien2_mean,61.0,76.0,147.6911764705882,148.17156862745094,0.2265625
EMG0_min,106.0,121.0,-12.25,-9.0,0.2265625
EMG1_min,92.0,125.0,-17.25,-9.75,0.0900735294117647
EMG2_min,63.0,100.0,-72.25,-39.75,0.07730263157894737
EMG3_min,43.0,109.0,-64.5,-21.75,0.030317164179104475
EMG4_min,3.0,33.0,-48.75,-30.75,0.10181451612903225
EMG5_min,25.0,130.0,-41.0,-10.25,0.00766509433962264
EMG6_min,1.0,13.0,-120.0,-77.5,0.2860576923076923
EMG7_min,6.0,74.0,-57.25,-22.75,0.028532608695652176
Accl0_min,4.0,31.0,0.4805905,0.53625525,0.11607142857142858
Accl1_min,15.0,99.0,-0.782349,-0.66662575,0.017279411764705883
Accl2_min,80.0,104.0,0.441406,0.45849625000000005,0.13375
Gyr0_min,8.0,61.0,-22.71875,-10.15625,0.045138888888888895
Gyr1_min,26.0,66.0,-16.015625,-11.734375,0.06935975609756098
Gyr2_min,43.0,129.0,-18.078125,-6.03125,0.016163793103448273
Orien0_min,66.0,69.0,63.0,63.0,1.0
Orien1_min,112.0,124.0,51.0,52.0,0.2860576923076923
Orien2_min,52.0,84.0,146.0,147.0,0.09375
EMG0_max,3.0,20.0,5.75,12.25,0.19791666666666666
EMG1_max,20.0,36.0,11.0,15.0,0.2113970588235294
EMG2_max,28.0,112.0,35.0,98.5,0.017279411764705883
EMG3_max,54.0,109.0,32.0,68.25,0.04241071428571429
EMG4_max,32.0,111.0,14.0,24.0,0.020312499999999997
EMG5_max,41.0,89.0,24.75,38.5,0.05293367346938775
EMG6_max,111.0,128.0,73.25,118.0,0.19791666666666666
EMG7_max,92.0,106.0,33.0,39.0,0.24375000000000002
Accl0_max,8.0,22.0,0.63110375,0.65649425,0.24375000000000002
Accl1_max,19.0,63.0,-0.59960925,-0.5595705,0.06041666666666666
Accl2_max,102.0,114.0,0.56738275,0.5916745,0.2860576923076923
Gyr0_max,25.0,88.0,9.78125,14.65625,0.033203125
Gyr1_max,6.0,69.0,2.09375,5.390625,0.033203125
Gyr2_max,55.0,116.0,3.6875,10.015625,0.035282258064516125
Orien0_max,62.0,72.0,64.0,65.0,0.34375
Orien1_max,102.0,122.0,55.0,58.25,0.16517857142857142
Orien2_max,61.0,92.0,148.0,149.0,0.09765625
EMG0_stdev,9.0,27.0,3.2583641484291603,5.501776622310272,0.18585526315789475
EMG1_stdev,13.0,35.0,4.420201247175038,5.967420549136112,0.1480978260869565
EMG2_stdev,32.0,56.0,15.509721200745267,21.981968539230632,0.13375
EMG3_stdev,34.0,75.0,10.634065830220099,18.43241961497128,0.06696428571428571
EMG4_stdev,76.0,129.0,8.261543974879281,13.174616152296206,0.045138888888888895
EMG5_stdev,25.0,70.0,9.05126993380239,12.87622500857763,0.05842391304347826
EMG6_stdev,122.0,130.0,33.68656376685381,49.5304855085739,0.4270833333333333
EMG7_stdev,79.0,114.0,10.796545346649424,16.62310114526629,0.08333333333333333
Accl0_stdev,55.0,103.0,0.02299140332574543,0.03548883194233972,0.05293367346938775
Accl1_stdev,4.0,61.0,0.01402206478627545,0.02962579648387513,0.03987068965517242
Accl2_stdev,83.0,115.0,0.021772162102292165,0.0313164575443312,0.09375
Gyr0_stdev,35.0,100.0,3.353337950109651,5.4551817211652915,0.03125
Gyr1_stdev,58.0,103.0,3.3047127317634484,4.7734580258126105,0.05842391304347826
Gyr2_stdev,8.0,70.0,2.056345363599992,4.139035808753706,0.03422619047619048
Orien0_stdev,59.0,98.0,0.367290022712724,0.5602306843747558,0.071875
Orien1_stdev,31.0,96.0,1.123627569369626,2.162602467083466,0.03125
Orien2_stdev,65.0,106.0,0.3850133687518491,0.5514678552405581,0.06696428571428571
EMG0_energy,9.0,27.0,538.5,1575.75,0.18585526315789475
EMG1_energy,14.0,35.0,1023.25,1835.25,0.15625
EMG2_energy,32.0,56.0,12108.5,24883.0,0.13375
EMG3_energy,34.0,74.0,5853.75,16969.25,0.06935975609756098
EMG4_energy,77.0,127.0,3480.5,8945.25,0.049632352941176475
EMG5_energy,26.0,70.0,4244.25,8325.5,0.06041666666666666
EMG6_energy,120.0,129.0,57064.0,120332.5,0.38125
EMG7_energy,78.0,111.0,5855.0,13789.5,0.0900735294117647
Accl0_energy,6.0,19.0,18.195123895477,19.61595985321875,0.26339285714285715
Accl1_energy,80.0,108.0,20.348281492378497,21.29231050665649,0.11099137931034483
Accl2_energy,99.0,105.0,12.142442747108749,12.740881882385,0.5580357142857143
Gyr0_energy,31.0,97.0,561.3017578125,1502.2978515625,0.030317164179104475
Gyr1_energy,59.0,103.0,599.5849609375,1348.0859375,0.06041666666666666
Gyr2_energy,5.0,67.0,214.052734375,927.1328125,0.03422619047619048
Orien0_energy,60.0,63.0,203212.75,204559.75,1.0
Orien1_energy,108.0,122.0,135930.25,145691.75,0.24375000000000002
Orien2_energy,58.0,73.0,1111724.75,1119709.75,0.2265625
