Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,107.0,127.0,0.2549019607843137,2.446078431372549,0.16517857142857142
EMG1_mean,25.0,100.0,-1.5686274509803921,0.0784313725490196,0.023026315789473686
EMG2_mean,35.0,89.0,-2.642156862745098,0.0392156862745098,0.04375
EMG3_mean,54.0,113.0,-0.7058823529411765,1.3627450980392157,0.037500000000000006
EMG4_mean,12.0,127.0,-2.1029411764705888,1.6274509803921569,0.004310344827586209
EMG5_mean,32.0,128.0,-1.6323529411764706,2.862745098039216,0.01127577319587629
EMG6_mean,45.0,112.0,-1.357843137254902,0.9852941176470589,0.029411764705882353
EMG7_mean,0.0,102.0,-3.4411764705882355,0.24999999999999997,0.008798543689320391
Accl0_mean,21.0,54.0,0.6213689901960784,0.6475374705882355,0.0900735294117647
Accl1_mean,57.0,77.0,-0.6206652843137255,-0.6005691960784314,0.16517857142857142
Accl2_mean,96.0,109.0,0.48406631862745086,0.49959786764705877,0.26339285714285715
Gyr0_mean,64.0,93.0,0.4041053921568627,0.9926470588235294,0.10625000000000001
Gyr1_mean,8.0,33.0,-2.7052696078431375,-1.4675245098039216,0.12740384615384615
Gyr2_mean,5.0,57.0,-3.6240808823529416,-1.3933823529411764,0.04658018867924528
Orien0_mean,70.0,77.0,63.84313725490196,63.98529411764706,0.484375
Orien1_mean,74.0,112.0,49.578431372549026,51.799019607843135,0.07451923076923077
Orien2_mean,52.0,57.0,146.94117647058823,147.17156862745094,0.65625
EMG0_min,45.0,95.0,-30.0,-15.0,0.049632352941176475
EMG1_min,46.0,71.0,-29.25,-23.0,0.12740384615384615
EMG2_min,60.0,88.0,-74.25,-49.75,0.11099137931034483
EMG3_min,45.0,105.0,-61.25,-24.0,0.03637295081967214
EMG4_min,13.0,96.0,-39.25,-17.0,0.017857142857142856
EMG5_min,75.0,129.0,-28.0,-11.0,0.04375
EMG6_min,71.0,127.0,-34.25,-12.0,0.04111842105263158
EMG7_min,10.0,50.0,-52.5,-28.75,0.06935975609756098
Accl0_min,6.0,47.0,0.48999025,0.557129,0.06696428571428571
Accl1_min,14.0,96.0,-0.7835694999999999,-0.6750492499999999,0.018448795180722892
Accl2_min,73.0,110.0,0.4375,0.46679725,0.07730263157894737
Gyr0_min,41.0,58.0,-13.109375,-10.40625,0.19791666666666666
Gyr1_min,6.0,58.0,-22.21875,-12.640625,0.04658018867924528
Gyr2_min,12.0,69.0,-27.421875,-13.984375,0.03987068965517242
Orien0_min,47.0,86.0,62.0,63.0,0.071875
Orien1_min,55.0,105.0,47.0,50.0,0.049632352941176475
Orien2_min,49.0,84.0,146.0,147.0,0.08333333333333333
EMG0_max,61.0,102.0,26.0,46.0,0.06696428571428571
EMG1_max,31.0,97.0,13.0,37.0,0.030317164179104475
EMG2_max,62.0,106.0,54.0,92.5,0.06041666666666666
EMG3_max,48.0,101.0,29.75,59.25,0.045138888888888895
EMG4_max,80.0,127.0,19.0,29.0,0.0546875
EMG5_max,1.0,71.0,10.25,31.25,0.026848591549295774
EMG6_max,17.0,70.0,16.75,34.25,0.045138888888888895
EMG7_max,41.0,91.0,17.0,33.0,0.049632352941176475
Accl0_max,19.0,75.0,0.6512452499999999,0.696289,0.04111842105263158
Accl1_max,40.0,77.0,-0.583008,-0.52966275,0.07730263157894737
Accl2_max,91.0,115.0,0.55163575,0.59472625,0.13375
Gyr0_max,47.0,85.0,11.171875,14.296875,0.07451923076923077
Gyr1_max,12.0,87.0,2.375,6.1875,0.023026315789473686
Gyr2_max,18.0,62.0,1.875,3.875,0.06041666666666666
Orien0_max,56.0,67.0,63.75,64.0,0.3125
Orien1_max,112.0,129.0,56.0,60.0,0.19791666666666666
Orien2_max,46.0,63.0,147.0,148.0,0.19791666666666666
EMG0_stdev,54.0,94.0,7.950877633104559,12.496160946336833,0.06935975609756098
EMG1_stdev,64.0,74.0,7.960548493482108,8.768025013189684,0.34375
EMG2_stdev,41.0,60.0,17.726843100517556,23.607737612577807,0.175
EMG3_stdev,36.0,73.0,11.258287768137045,18.152495816941048,0.07730263157894737
EMG4_stdev,69.0,109.0,7.967038462193373,10.215499576087648,0.06935975609756098
EMG5_stdev,4.0,46.0,6.206264491110604,10.46751860265995,0.06468023255813954
EMG6_stdev,6.0,29.0,5.83948158513805,8.651691333196133,0.140625
EMG7_stdev,70.0,112.0,9.44821680702489,15.801536618823892,0.06468023255813954
Accl0_stdev,56.0,125.0,0.023168699982782814,0.06091096451504135,0.027678571428571427
Accl1_stdev,15.0,115.0,0.01954601556596294,0.05013957749984803,0.009591584158415843
Accl2_stdev,42.0,116.0,0.016081464949334903,0.03150748059992567,0.02375
Gyr0_stdev,78.0,89.0,4.265748229134993,4.686043035904581,0.3125
Gyr1_stdev,91.0,117.0,4.066129413281755,6.025911962397849,0.12152777777777779
Gyr2_stdev,57.0,124.0,3.525469990655767,7.969262055983492,0.029411764705882353
Orien0_stdev,8.0,95.0,0.1050210063021007,0.5094555770761695,0.015625
Orien1_stdev,78.0,124.0,1.769013680981048,4.3006499689483215,0.05651595744680851
Orien2_stdev,7.0,50.0,0.0,0.3475403771153652,0.0625
EMG0_energy,51.0,92.0,3159.5,8087.25,0.06696428571428571
