Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,6.0,124.0,-2.5147058823529416,1.6666666666666665,0.004300932971613841
EMG1_mean,2.0,110.0,-4.681372549019608,0.36764705882352944,0.008307447807556167
EMG2_mean,20.0,109.0,-3.8578431372549025,1.700980392156863,0.018372703412073487
EMG3_mean,0.0,101.0,-12.083333333333337,0.8529411764705882,0.011579434923575731
EMG4_mean,2.0,67.0,-3.2892156862745097,-0.42647058823529416,0.03937007874015748
EMG5_mean,46.0,81.0,-1.25,-0.06862745098039216,0.10498687664041993
EMG6_mean,44.0,95.0,-1.3823529411764706,0.22058823529411767,0.06056935190793458
EMG7_mean,18.0,98.0,-1.8333333333333333,0.17647058823529413,0.024788568095654714
Accl0_mean,25.0,103.0,0.6285328970588235,0.69802675,0.026412837635801854
Accl1_mean,80.0,92.0,-0.5892860490196079,-0.546269411764706,0.3603876438522108
Accl2_mean,86.0,121.0,0.4781517598039216,0.548098088235294,0.10498687664041993
Gyr0_mean,75.0,111.0,0.758578431372549,1.456188725490196,0.10108533730580975
Gyr1_mean,60.0,120.0,-1.0946691176470589,0.0,0.04582419000903576
Gyr2_mean,33.0,66.0,-1.9139093137254903,-1.1862745098039216,0.11347846225104213
Orien0_mean,92.0,113.0,64.88235294117646,65.86274509803921,0.1968503937007874
Orien1_mean,28.0,109.0,45.504901960784316,51.50490196078431,0.024006145573266757
Orien2_mean,106.0,115.0,150.19117647058826,152.08823529411765,0.48031496062992124
EMG0_min,4.0,67.0,-65.75,-21.75,0.041830708661417325
EMG1_min,6.0,12.0,-90.75,-76.5,0.703037120359955
EMG2_min,1.0,49.0,-128.0,-81.0,0.0666880925598586
EMG3_min,0.0,53.0,-113.25,-55.75,0.0568678915135608
EMG4_min,5.0,110.0,-46.0,-15.0,0.009656811766453721
EMG5_min,112.0,128.0,-19.0,-11.75,0.26632700324224173
EMG6_min,90.0,112.0,-26.25,-17.75,0.18657993837726805
EMG7_min,77.0,125.0,-22.0,-10.75,0.0666880925598586
Accl0_min,45.0,113.0,0.551636,0.6323242499999999,0.0359465936323177
Accl1_min,79.0,125.0,-0.6997072499999999,-0.60583475,0.07120120623219969
Accl2_min,77.0,119.0,0.438965,0.49670400000000003,0.08148690715986083
Gyr0_min,86.0,130.0,-6.78125,-2.078125,0.07611548556430446
Gyr1_min,12.0,127.0,-20.328125,-4.484375,0.00543035568829758
Gyr2_min,52.0,86.0,-16.515625,-11.9375,0.10911136107986502
Orien0_min,76.0,107.0,63.0,64.0,0.12303149606299213
Orien1_min,35.0,109.0,45.0,50.25,0.02992125984251969
Orien2_min,106.0,115.0,150.0,152.0,0.48031496062992124
EMG0_max,31.0,113.0,15.0,52.0,0.02324257660563514
EMG1_max,110.0,131.0,59.75,127.0,0.1968503937007874
EMG2_max,114.0,128.0,100.75,127.0,0.30708661417322836
EMG3_max,45.0,121.0,29.0,86.5,0.028121484814398197
EMG4_max,8.0,36.0,9.75,15.0,0.13983165897366276
EMG5_max,5.0,36.0,13.75,23.25,0.12303149606299213
EMG6_max,15.0,39.0,15.75,23.0,0.168503937007874
EMG7_max,3.0,59.0,7.75,21.0,0.05180273518441774
Accl0_max,25.0,95.0,0.657593,0.7166745,0.03382499722745924
Accl1_max,67.0,96.0,-0.5534665000000001,-0.486084,0.13385826771653545
Accl2_max,24.0,100.0,0.50500475,0.5651852500000001,0.028121484814398197
Gyr0_max,86.0,110.0,14.390625,18.765625,0.168503937007874
Gyr1_max,34.0,108.0,3.75,7.65625,0.02992125984251969
Gyr2_max,24.0,57.0,2.0625,3.703125,0.11347846225104213
Orien0_max,90.0,118.0,65.0,67.0,0.13983165897366276
Orien1_max,14.0,105.0,48.0,56.0,0.017117425539198903
Orien2_max,108.0,115.0,151.0,153.0,0.610236220472441
EMG0_stdev,67.0,125.0,9.157053543800355,21.48820111845956,0.048712131322567735
EMG1_stdev,119.0,129.0,29.374890276358855,37.10962501493478,0.4330708661417323
EMG2_stdev,121.0,131.0,45.315866612760956,53.586320872212745,0.4330708661417323
EMG3_stdev,77.0,129.0,18.589500260116502,35.84058407878187,0.05868370227306492
EMG4_stdev,19.0,87.0,6.065810205291386,8.848702465629753,0.0359465936323177
EMG5_stdev,10.0,26.0,6.899059254161039,9.16760816313601,0.26632700324224173
EMG6_stdev,22.0,42.0,7.9421130285515735,10.29601994199406,0.20809898762654666
EMG7_stdev,5.0,34.0,4.687184717766474,6.934806039493421,0.13385826771653545
Accl0_stdev,13.0,74.0,0.01471330577619643,0.02646025874003163,0.0444500889001778
Accl1_stdev,11.0,80.0,0.018041245400742548,0.03448710400682175,0.03487064116985377
Accl2_stdev,2.0,29.0,0.008943545104326274,0.01456494870311793,0.14623172103487064
Gyr0_stdev,46.0,86.0,3.5317601019483993,4.586578744541969,0.087382369886691
Gyr1_stdev,6.0,84.0,1.637582286547078,3.941489522478703,0.026412837635801854
Gyr2_stdev,36.0,81.0,2.922671860713675,4.582433679704696,0.07360492981855529
Orien0_stdev,35.0,115.0,0.2715243823233529,0.8669520416373544,0.024788568095654714
Orien1_stdev,20.0,75.0,0.9489212199607782,1.7481634299609408,0.05343082114735659
Orien2_stdev,24.0,113.0,0.2376354103144016,0.6563193366994239,0.018372703412073487
EMG0_energy,69.0,125.0,4481.25,23188.0,0.05180273518441774
EMG1_energy,119.0,129.0,44003.5,68895.25,0.4330708661417323
EMG2_energy,118.0,131.0,103126.25,144662.0,0.3318335208098988
EMG3_energy,78.0,127.0,17495.25,64537.75,0.06456692913385827
EMG4_energy,18.0,87.0,1847.0,4174.5,0.03487064116985377
EMG5_energy,10.0,24.0,2410.25,4196.75,0.30708661417322836
EMG6_energy,21.0,42.0,3242.25,5355.0,0.1968503937007874
EMG7_energy,7.0,34.0,1263.5,2450.0,0.14623172103487064
Accl0_energy,25.0,103.0,20.17196682741225,24.872073140911247,0.026412837635801854
Accl1_energy,36.0,48.0,15.243633049401002,17.765882487679,0.3603876438522108
Accl2_energy,83.0,118.0,11.665071283314251,15.372087387824998,0.10498687664041993
Gyr0_energy,48.0,89.0,682.2763671875,1155.3671875,0.0843644544431946
Gyr1_energy,4.0,81.0,133.193359375,841.845703125,0.027256208358570563
Gyr2_energy,40.0,82.0,500.1591796875,1238.78515625,0.08148690715986083
Orien0_energy,93.0,110.0,214710.0,221251.0,0.24934383202099736
Orien1_energy,25.0,106.0,105718.75,135380.75,0.024006145573266757
Orien2_energy,103.0,112.0,1150434.75,1179676.5,0.48031496062992124
