Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,5.0,99.0,-2.7990196078431375,0.12745098039215685,0.01854636591478696
EMG1_mean,16.0,121.0,-2.049019607843137,1.2598039215686274,0.011680143755615454
EMG2_mean,6.0,114.0,-6.534313725490194,2.8578431372549025,0.010048055919615552
EMG3_mean,1.0,127.0,-9.553921568627452,4.284313725490196,0.00187476565429321
EMG4_mean,0.0,120.0,-4.700980392156863,1.0490196078431375,0.0043290043290043325
EMG5_mean,1.0,57.0,-4.57843137254902,-0.8774509803921569,0.06265664160401004
EMG6_mean,12.0,74.0,-3.7500000000000004,-0.5637254901960784,0.05215419501133787
EMG7_mean,9.0,84.0,-2.2205882352941178,-0.22549019607843135,0.03508771929824561
Accl0_mean,86.0,98.0,0.6646393284313726,0.6729640588235295,0.43589743589743585
Accl1_mean,82.0,91.0,-0.577040705882353,-0.548722862745098,0.580952380952381
Accl2_mean,103.0,113.0,0.4893128284313727,0.5161444019607843,0.5238095238095238
Gyr0_mean,116.0,122.0,1.9604779411764708,3.710171568627451,0.8503401360544217
Gyr1_mean,0.0,6.0,-4.892769607843135,-3.0628063725490193,0.8503401360544217
Gyr2_mean,3.0,28.0,-3.8722426470588234,-2.1197916666666665,0.19413919413919412
Orien0_mean,88.0,117.0,64.81862745098039,66.31372549019606,0.16190476190476188
Orien1_mean,32.0,43.0,47.27450980392158,48.30392156862745,0.47619047619047616
Orien2_mean,70.0,89.0,147.89705882352942,148.7941176470588,0.26666666666666666
EMG0_min,80.0,111.0,-19.0,-11.75,0.1488095238095238
EMG1_min,31.0,74.0,-38.5,-22.0,0.09523809523809523
EMG2_min,9.0,90.0,-116.75,-45.75,0.02903600464576074
EMG3_min,3.0,76.0,-106.5,-39.75,0.03732303732303733
EMG4_min,1.0,109.0,-69.75,-15.75,0.010048055919615552
EMG5_min,12.0,118.0,-49.25,-17.0,0.011125945705384957
EMG6_min,76.0,122.0,-33.0,-14.0,0.08611955420466058
EMG7_min,93.0,131.0,-17.25,-9.0,0.11355311355311354
Accl0_min,1.0,34.0,0.42919949999999996,0.5408932500000001,0.1372549019607843
Accl1_min,30.0,73.0,-0.7462155,-0.70556675,0.09523809523809523
Accl2_min,101.0,122.0,0.45471174999999997,0.501587,0.23809523809523808
Gyr0_min,107.0,129.0,-4.21875,-2.265625,0.22567287784679085
Gyr1_min,0.0,17.0,-33.734375,-17.796875,0.30158730158730157
Gyr2_min,9.0,53.0,-29.125,-16.484375,0.09206349206349207
Orien0_min,61.0,92.0,62.75,63.25,0.1488095238095238
Orien1_min,27.0,42.0,43.75,46.25,0.34523809523809523
Orien2_min,78.0,85.0,147.0,147.25,0.7380952380952381
EMG0_max,9.0,56.0,7.0,24.0,0.08333333333333333
EMG1_max,54.0,104.0,18.0,46.25,0.07563025210084033
EMG2_max,67.0,110.0,60.25,98.0,0.09523809523809523
EMG3_max,62.0,127.0,36.0,107.75,0.047619047619047616
EMG4_max,21.0,98.0,13.0,22.0,0.03296703296703296
EMG5_max,3.0,70.0,13.0,30.25,0.04481792717086834
EMG6_max,1.0,52.0,8.5,28.0,0.07326007326007325
EMG7_max,15.0,117.0,12.0,48.75,0.013407304669440593
Accl0_max,80.0,105.0,0.69958475,0.7409669999999999,0.19413919413919412
Accl1_max,71.0,99.0,-0.54382325,-0.4763185,0.16912972085385877
Accl2_max,94.0,124.0,0.55749475,0.63012675,0.1551459293394777
Gyr0_max,99.0,126.0,16.359375,41.890625,0.17687074829931973
Gyr1_max,1.0,92.0,1.21875,6.453125,0.020703933747412
Gyr2_max,7.0,60.0,1.171875,3.828125,0.06878306878306878
Orien0_max,94.0,121.0,65.0,68.0,0.17687074829931973
Orien1_max,106.0,131.0,56.0,60.75,0.19413919413919412
Orien2_max,64.0,96.0,148.0,150.0,0.14285714285714285
EMG0_stdev,17.0,52.0,4.157379631601871,7.853863379905554,0.12698412698412698
EMG1_stdev,81.0,100.0,9.824178818174646,16.19357734967175,0.26666666666666666
EMG2_stdev,67.0,117.0,24.96334302888399,42.472115627313954,0.07563025210084033
EMG3_stdev,71.0,128.0,17.953483459562566,34.430061297884784,0.06075533661740558
EMG4_stdev,32.0,124.0,6.489916451491485,11.812608466259913,0.01996927803379416
EMG5_stdev,11.0,96.0,7.216432968244137,15.853126034501367,0.025470653377630124
EMG6_stdev,7.0,36.0,5.855411116344761,9.224397372634787,0.16190476190476188
EMG7_stdev,17.0,53.0,5.80381442217785,8.445194569013374,0.12226512226512228
Accl0_stdev,118.0,130.0,0.04770055160471932,0.08627297332822059,0.43589743589743585
Accl1_stdev,107.0,129.0,0.043865609642583084,0.0784252924462566,0.22567287784679085
Accl2_stdev,26.0,123.0,0.014158305540405498,0.034232923440074566,0.016520894071914472
Gyr0_stdev,84.0,119.0,4.541043979057498,8.063335841773467,0.12698412698412698
Gyr1_stdev,117.0,131.0,5.823532544190773,9.944403360166485,0.3714285714285714
Gyr2_stdev,76.0,122.0,4.271862249816657,7.757355338391744,0.08611955420466058
Orien0_stdev,74.0,120.0,0.4324965188222974,1.1114779614219479,0.08611955420466058
Orien1_stdev,115.0,130.0,3.5137520816752605,6.356342564559173,0.34523809523809523
Orien2_stdev,37.0,121.0,0.30032661958503204,0.8021340590291516,0.026330532212885158
EMG0_energy,18.0,54.0,997.25,3438.5,0.12226512226512228
EMG1_energy,81.0,100.0,4827.75,13241.25,0.26666666666666666
EMG2_energy,66.0,114.0,31575.25,90388.5,0.08066083576287657
EMG3_energy,75.0,126.0,17069.75,59628.0,0.07326007326007325
EMG4_energy,29.0,124.0,2116.75,7755.5,0.017857142857142856
EMG5_energy,11.0,97.0,2711.25,12894.75,0.024630541871921187
EMG6_energy,7.0,39.0,1732.0,4934.25,0.14285714285714285
EMG7_energy,19.0,52.0,1836.5,3545.75,0.1372549019607843
Accl0_energy,87.0,99.0,22.677488203243755,23.49452593191925,0.43589743589743585
Accl1_energy,37.0,46.0,15.494263733700501,17.096283529457498,0.580952380952381
Accl2_energy,100.0,110.0,12.239080488075757,13.595903257202504,0.5238095238095238
