Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,1.0,88.0,-4.073529411764706,-0.16176470588235295,0.015625
EMG1_mean,22.0,61.0,-1.7843137254901962,-0.9215686274509804,0.071875
EMG2_mean,34.0,74.0,-2.75,-0.6225490196078431,0.06935975609756098
EMG3_mean,13.0,82.0,-3.181372549019608,-0.1519607843137255,0.027678571428571427
EMG4_mean,1.0,129.0,-4.406862745098039,2.049019607843137,0.0007267441860465129
EMG5_mean,7.0,129.0,-3.181372549019607,2.96078431372549,0.0022865853658536606
EMG6_mean,17.0,123.0,-2.7794117647058822,2.426470588235294,0.007301401869158876
EMG7_mean,37.0,86.0,-1.1911764705882353,-0.1519607843137255,0.051250000000000004
Accl0_mean,59.0,82.0,0.6498999264705884,0.662478,0.140625
Accl1_mean,63.0,75.0,-0.6116345588235292,-0.6011675833333332,0.2860576923076923
Accl2_mean,64.0,83.0,0.46457807352941183,0.47646432843137254,0.175
Gyr0_mean,56.0,108.0,0.3008578431372549,1.2564338235294117,0.04658018867924528
Gyr1_mean,26.0,64.0,-1.7889093137254903,-0.9975490196078431,0.07451923076923077
Gyr2_mean,68.0,116.0,-1.1838235294117647,-0.6599264705882353,0.05293367346938775
Orien0_mean,57.0,69.0,63.0,63.84313725490196,0.2860576923076923
Orien1_mean,50.0,83.0,48.74019607843137,49.764705882352935,0.0900735294117647
Orien2_mean,86.0,98.0,148.7450980392157,148.9607843137255,0.2860576923076923
EMG0_min,41.0,82.0,-30.25,-18.0,0.06696428571428571
EMG1_min,110.0,127.0,-12.0,-9.0,0.19791666666666666
EMG2_min,119.0,130.0,-22.75,-11.5,0.3125
EMG3_min,106.0,126.0,-24.0,-14.75,0.16517857142857142
EMG4_min,7.0,39.0,-44.25,-27.0,0.09375
EMG5_min,34.0,64.0,-39.0,-31.0,0.10181451612903225
EMG6_min,20.0,110.0,-66.25,-18.0,0.014079670329670328
EMG7_min,75.0,124.0,-22.0,-11.0,0.051250000000000004
Accl0_min,58.0,103.0,0.571167,0.614136,0.05842391304347826
Accl1_min,67.0,103.0,-0.71740725,-0.66003425,0.08023648648648649
Accl2_min,72.0,97.0,0.43652375,0.45227025,0.12740384615384615
Gyr0_min,68.0,126.0,-9.515625,-2.671875,0.03866525423728813
Gyr1_min,21.0,44.0,-17.390625,-14.0625,0.140625
Gyr2_min,99.0,121.0,-10.953125,-7.8125,0.1480978260869565
Orien0_min,79.0,84.0,63.0,63.0,0.65625
Orien1_min,67.0,98.0,48.0,49.0,0.09765625
Orien2_min,68.0,100.0,147.0,148.25,0.09375
EMG0_max,2.0,98.0,5.0,45.25,0.01127577319587629
EMG1_max,1.0,4.0,4.75,7.25,1.0
EMG2_max,1.0,6.0,11.25,19.25,0.65625
EMG3_max,1.0,32.0,9.0,21.25,0.09765625
EMG4_max,81.0,130.0,19.0,40.75,0.051250000000000004
EMG5_max,23.0,110.0,20.0,56.5,0.015625
EMG6_max,55.0,97.0,28.0,55.5,0.06468023255813954
EMG7_max,10.0,39.0,11.0,17.0,0.10625000000000001
Accl0_max,38.0,72.0,0.668457,0.69360325,0.08660714285714285
Accl1_max,34.0,66.0,-0.588989,-0.5527340000000001,0.09375
Accl2_max,3.0,62.0,0.48645000000000005,0.5269772500000001,0.037500000000000006
Gyr0_max,31.0,87.0,10.1875,14.53125,0.04111842105263158
Gyr1_max,0.0,48.0,1.09375,4.390625,0.05293367346938775
Gyr2_max,6.0,91.0,1.109375,5.578125,0.01671511627906977
Orien0_max,54.0,70.0,63.0,64.25,0.2113970588235294
Orien1_max,43.0,98.0,52.0,55.0,0.04241071428571429
Orien2_max,79.0,82.0,149.0,149.0,1.0
EMG0_stdev,26.0,83.0,5.28519635253442,11.1322258797044,0.03987068965517242
EMG1_stdev,0.0,5.0,3.0296939901372197,3.9699814216080194,0.65625
EMG2_stdev,1.0,7.0,4.487822411734142,7.941614960651622,0.5580357142857143
EMG3_stdev,3.0,16.0,5.8025273348624165,7.157163015671011,0.26339285714285715
EMG4_stdev,84.0,128.0,8.759493508463734,12.49061166804489,0.06041666666666666
EMG5_stdev,53.0,89.0,11.031503575737514,15.225861294401565,0.08023648648648649
EMG6_stdev,54.0,94.0,11.80490343502675,19.504454574277926,0.06935975609756098
EMG7_stdev,6.0,30.0,4.876329184172601,6.648786051757792,0.13375
Accl0_stdev,5.0,95.0,0.01142252694508863,0.03185547155236975,0.014079670329670328
Accl1_stdev,2.0,70.0,0.012326184248285141,0.03219142890498598,0.028532608695652176
Accl2_stdev,0.0,44.0,0.007763248890865021,0.016673380703638958,0.06041666666666666
Gyr0_stdev,3.0,58.0,2.2969276038314614,3.905342129695251,0.04241071428571429
Gyr1_stdev,59.0,102.0,3.3183820478273183,4.675437900557719,0.0625
