Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,57.0,111.0,-0.9068627450980393,0.5294117647058824,0.04375
EMG1_mean,39.0,124.0,-1.196078431372549,1.6323529411764706,0.01671511627906977
EMG2_mean,45.0,125.0,-2.0245098039215685,4.03921568627451,0.019675925925925923
EMG3_mean,32.0,129.0,-1.9215686274509804,4.485294117647059,0.010841836734693876
EMG4_mean,83.0,122.0,-0.14215686274509803,1.2328431372549022,0.071875
EMG5_mean,3.0,121.0,-3.5588235294117654,1.607843137254902,0.003413865546218489
EMG6_mean,31.0,60.0,-1.7769607843137254,-0.9411764705882352,0.10625000000000001
EMG7_mean,91.0,128.0,-0.06372549019607844,1.8725490196078434,0.07730263157894737
Accl0_mean,106.0,111.0,0.7045036764705881,0.7201609779411763,0.65625
Accl1_mean,97.0,103.0,-0.5375593333333333,-0.5218960808823533,0.5580357142857143
Accl2_mean,58.0,75.0,0.4615585980392157,0.4730583284313725,0.19791666666666666
Gyr0_mean,21.0,51.0,-0.20067401960784315,0.24770220588235298,0.10181451612903225
Gyr1_mean,11.0,43.0,-2.176164215686274,-1.3740808823529411,0.09375
Gyr2_mean,0.0,15.0,-4.904411764705882,-2.950674019607844,0.2265625
Orien0_mean,82.0,101.0,64.67647058823529,65.13725490196079,0.175
Orien1_mean,18.0,25.0,43.419117647058826,44.990196078431374,0.484375
Orien2_mean,59.0,77.0,147.421568627451,148.28921568627453,0.18585526315789475
EMG0_min,17.0,104.0,-44.0,-13.0,0.015625
EMG1_min,53.0,94.0,-27.25,-16.0,0.06696428571428571
EMG2_min,3.0,48.0,-125.75,-81.0,0.05842391304347826
EMG3_min,1.0,38.0,-112.25,-70.25,0.07730263157894737
EMG4_min,35.0,126.0,-30.0,-12.0,0.013586956521739128
EMG5_min,10.0,79.0,-50.25,-27.0,0.027678571428571427
EMG6_min,9.0,38.0,-81.0,-46.75,0.10625000000000001
EMG7_min,25.0,107.0,-41.5,-15.0,0.018448795180722892
Accl0_min,41.0,74.0,0.5477295,0.585449,0.0900735294117647
Accl1_min,33.0,101.0,-0.7435302500000001,-0.66467275,0.028532608695652176
Accl2_min,39.0,42.0,0.412598,0.413208,1.0
Gyr0_min,1.0,71.0,-28.875,-9.0,0.026848591549295774
Gyr1_min,18.0,68.0,-17.640625,-11.6875,0.049632352941176475
Gyr2_min,2.0,24.0,-33.640625,-21.671875,0.1480978260869565
Orien0_min,72.0,102.0,63.0,64.0,0.10181451612903225
Orien1_min,11.0,22.0,40.0,43.0,0.3125
Orien2_min,55.0,100.0,146.0,148.25,0.05842391304347826
EMG0_max,44.0,66.0,20.0,28.0,0.1480978260869565
EMG1_max,26.0,91.0,11.75,31.0,0.03125
EMG2_max,82.0,130.0,75.0,127.0,0.05293367346938775
EMG3_max,98.0,125.0,57.75,90.25,0.11607142857142858
EMG4_max,64.0,125.0,17.0,28.25,0.035282258064516125
EMG5_max,47.0,124.0,25.75,65.25,0.021634615384615384
EMG6_max,102.0,113.0,58.0,81.25,0.3125
EMG7_max,52.0,100.0,20.0,36.25,0.05293367346938775
Accl0_max,103.0,116.0,0.736572,0.7744145,0.26339285714285715
Accl1_max,90.0,109.0,-0.4976805,-0.45617674999999996,0.175
Accl2_max,59.0,96.0,0.524414,0.5601805,0.07730263157894737
Gyr0_max,22.0,113.0,9.5625,19.875,0.013586956521739128
Gyr1_max,19.0,99.0,3.046875,6.96875,0.019675925925925923
Gyr2_max,27.0,55.0,2.203125,3.6875,0.11099137931034483
Orien0_max,72.0,100.0,64.75,66.0,0.11099137931034483
Orien1_max,34.0,100.0,51.0,55.0,0.030317164179104475
Orien2_max,96.0,99.0,150.0,150.0,1.0
EMG0_stdev,41.0,57.0,6.853465354219162,8.392674355747552,0.2113970588235294
EMG1_stdev,35.0,76.0,5.893484988407653,9.051533214818086,0.06696428571428571
EMG2_stdev,101.0,109.0,33.95741124740657,36.76844761491548,0.4270833333333333
EMG3_stdev,99.0,114.0,23.45858804223292,27.87229353644803,0.2265625
EMG4_stdev,9.0,87.0,5.603617524677301,8.915891591382113,0.020965189873417722
EMG5_stdev,87.0,117.0,14.946347404290503,18.27980855573831,0.10181451612903225
EMG6_stdev,89.0,107.0,17.79279471359861,25.019014621013383,0.18585526315789475
EMG7_stdev,50.0,94.0,8.079740130464174,12.49532832528679,0.06041666666666666
Accl0_stdev,110.0,127.0,0.03900447785993929,0.06261230588102284,0.19791666666666666
Accl1_stdev,96.0,127.0,0.04103409040703931,0.06336275428612555,0.09765625
Accl2_stdev,81.0,109.0,0.02150470643620834,0.029769467735812363,0.11099137931034483
Gyr0_stdev,11.0,103.0,2.7204314345744223,5.554283832555587,0.013104838709677422
Gyr1_stdev,37.0,102.0,2.8386072376527562,4.577397535541856,0.03125
Gyr2_stdev,105.0,128.0,5.491491578275915,8.859746627682712,0.140625
Orien0_stdev,71.0,114.0,0.4251500466897245,0.788480955672137,0.0625
Orien1_stdev,111.0,129.0,2.9109696661937146,4.798320296540508,0.18585526315789475
Orien2_stdev,104.0,127.0,0.5315525366394773,1.3168350387180605,0.140625
EMG0_energy,41.0,88.0,2374.75,7132.25,0.0546875
EMG1_energy,35.0,74.0,1805.75,4163.5,0.071875
EMG2_energy,101.0,124.0,60886.75,117720.75,0.140625
EMG3_energy,106.0,125.0,36516.25,57546.25,0.175
EMG4_energy,8.0,122.0,1583.5,7320.0,0.0046195652173913054
EMG5_energy,89.0,131.0,11794.25,33618.25,0.06468023255813954
EMG6_energy,103.0,107.0,28212.5,32403.5,0.79375
EMG7_energy,48.0,105.0,3251.25,10793.0,0.03987068965517242
Accl0_energy,106.0,129.0,25.4730116273465,53.623341920556754,0.140625
Accl1_energy,29.0,131.0,14.762891677585749,27.90502803782274,0.008798543689320391
Accl2_energy,69.0,131.0,11.304769332024001,21.699814975002,0.03422619047619048
Gyr0_energy,56.0,100.0,752.6787109375,1547.4833984375,0.06041666666666666
Gyr1_energy,48.0,121.0,499.548828125,2521.869140625,0.024493243243243243
Gyr2_energy,105.0,131.0,1968.1171875,8392.828125,0.12152777777777779
Orien0_energy,82.0,129.0,213354.0,432887.0,0.0546875
Orien1_energy,20.0,131.0,102980.5,192454.25,0.005580357142857144
Orien2_energy,64.0,131.0,1114784.5,2185556.0,0.029411764705882353
