Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,2.0,83.0,-3.348039215686274,-0.28921568627450983,0.02903600464576074
EMG1_mean,8.0,73.0,-3.245098039215686,-0.6813725490196079,0.047619047619047616
EMG2_mean,23.0,90.0,-3.5784313725490198,0.11764705882352942,0.04481792717086834
EMG3_mean,49.0,105.0,-1.0196078431372548,0.9656862745098039,0.06265664160401004
EMG4_mean,41.0,131.0,-1.2107843137254901,2.2107843137254903,0.02145473574045002
EMG5_mean,13.0,127.0,-2.264705882352941,2.5784313725490198,0.007039337474120085
EMG6_mean,44.0,99.0,-1.4117647058823528,0.3872549019607844,0.06462585034013606
EMG7_mean,31.0,96.0,-1.392156862745098,0.14215686274509803,0.047619047619047616
Accl0_mean,58.0,94.0,0.6494715098039217,0.6713173529411764,0.12226512226512228
Accl1_mean,57.0,76.0,-0.6205503725490197,-0.600865955882353,0.26666666666666666
Accl2_mean,36.0,63.0,0.4527228823529412,0.4643530833333333,0.17687074829931973
Gyr0_mean,71.0,112.0,0.6188725490196079,1.5079656862745099,0.10204081632653061
Gyr1_mean,22.0,72.0,-1.8829656862745097,-0.8388480392156863,0.07563025210084033
Gyr2_mean,36.0,121.0,-1.8602941176470593,-0.5177696078431373,0.025470653377630124
Orien0_mean,41.0,55.0,62.862745098039206,63.0,0.3714285714285714
Orien1_mean,35.0,83.0,47.69607843137255,49.764705882352935,0.08066083576287657
Orien2_mean,62.0,97.0,147.77941176470586,148.8970588235294,0.12698412698412698
EMG0_min,19.0,63.0,-40.25,-23.0,0.09206349206349207
EMG1_min,53.0,124.0,-27.25,-9.75,0.03968253968253968
EMG2_min,109.0,129.0,-32.75,-14.25,0.25170068027210885
EMG3_min,107.0,129.0,-22.5,-13.0,0.22567287784679085
EMG4_min,10.0,58.0,-42.0,-25.0,0.08066083576287657
EMG5_min,9.0,93.0,-51.0,-23.75,0.026330532212885158
EMG6_min,50.0,104.0,-41.0,-20.0,0.06666666666666667
EMG7_min,62.0,121.0,-25.0,-11.75,0.057142857142857134
Accl0_min,33.0,101.0,0.53918475,0.61218225,0.043478260869565216
Accl1_min,8.0,35.0,-0.80017125,-0.74182175,0.17687074829931973
Accl2_min,32.0,68.0,0.408203,0.434082,0.12226512226512228
Gyr0_min,44.0,99.0,-12.90625,-5.0,0.06462585034013606
