Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,12.0,123.0,-2.0245098039215685,1.5196078431372548,0.005580357142857144
EMG1_mean,33.0,100.0,-1.3431372549019607,0.0784313725490196,0.029411764705882353
EMG2_mean,17.0,111.0,-4.191176470588236,2.098039215686275,0.01217105263157895
EMG3_mean,3.0,96.0,-6.088235294117646,0.43627450980392163,0.012632978723404256
EMG4_mean,6.0,43.0,-2.5049019607843137,-0.9803921568627452,0.07730263157894737
EMG5_mean,88.0,108.0,0.09313725490196079,0.5392156862745098,0.16517857142857142
EMG6_mean,14.0,104.0,-3.3578431372549016,0.6127450980392156,0.014079670329670328
EMG7_mean,12.0,74.0,-2.0392156862745097,-0.4901960784313725,0.03422619047619048
Accl0_mean,8.0,13.0,0.6071824950980392,0.6123142745098039,0.65625
Accl1_mean,0.0,3.0,-0.6683037696078433,-0.6575400784313726,1.0
Accl2_mean,53.0,67.0,0.4603941617647058,0.4657365637254902,0.24375000000000002
Gyr0_mean,47.0,65.0,0.139093137254902,0.4105392156862745,0.18585526315789475
Gyr1_mean,74.0,107.0,-0.8314950980392157,-0.36642156862745096,0.0900735294117647
Gyr2_mean,72.0,126.0,-1.150735294117647,-0.21752450980392155,0.04375
Orien0_mean,15.0,22.0,61.950980392156865,62.058823529411775,0.484375
Orien1_mean,119.0,124.0,52.38725490196079,52.64705882352941,0.65625
Orien2_mean,128.0,131.0,156.421568627451,157.58333333333334,1.0
EMG0_min,63.0,95.0,-23.0,-15.0,0.09375
EMG1_min,74.0,125.0,-22.25,-9.0,0.04807692307692307
EMG2_min,74.0,106.0,-63.25,-37.5,0.09375
EMG3_min,44.0,110.0,-62.0,-20.75,0.030317164179104475
EMG4_min,8.0,123.0,-43.25,-12.0,0.004310344827586209
EMG5_min,2.0,47.0,-68.5,-35.0,0.05842391304347826
EMG6_min,71.0,113.0,-34.25,-16.75,0.06468023255813954
EMG7_min,97.0,131.0,-17.0,-9.0,0.08660714285714285
Accl0_min,10.0,56.0,0.495361,0.5709230000000001,0.05651595744680851
Accl1_min,12.0,84.0,-0.7918700000000001,-0.691284,0.02525684931506849
Accl2_min,61.0,91.0,0.426636,0.44995125,0.10181451612903225
Gyr0_min,28.0,92.0,-15.984375,-6.1875,0.03221153846153846
Gyr1_min,89.0,118.0,-10.203125,-6.5625,0.10625000000000001
Gyr2_min,5.0,122.0,-32.453125,-7.6875,0.003707627118644065
Orien0_min,1.0,22.0,61.0,62.0,0.15625
Orien1_min,118.0,125.0,51.0,52.0,0.484375
Orien2_min,128.0,131.0,155.75,157.0,1.0
EMG0_max,36.0,106.0,17.0,48.0,0.026848591549295774
EMG1_max,6.0,106.0,8.0,54.25,0.009591584158415843
EMG2_max,10.0,86.0,22.75,76.25,0.02232142857142857
EMG3_max,11.0,85.0,13.0,45.25,0.02375
EMG4_max,7.0,109.0,9.0,24.0,0.008798543689320391
EMG5_max,92.0,127.0,40.0,73.0,0.08333333333333333
EMG6_max,25.0,65.0,18.75,32.25,0.06935975609756098
EMG7_max,0.0,12.0,5.75,12.0,0.2860576923076923
