Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,30.0,92.0,-1.3186274509803921,-0.0196078431372549,0.043402777777777776
EMG1_mean,20.0,129.0,-1.8039215686274512,2.9215686274509802,0.00816761363636364
EMG2_mean,31.0,108.0,-2.946078431372549,1.4950980392156863,0.027544070512820512
EMG3_mean,38.0,108.0,-1.6372549019607845,1.093137254901961,0.03411091549295775
EMG4_mean,55.0,129.0,-0.6323529411764706,1.8088235294117647,0.030208333333333337
EMG5_mean,51.0,117.0,-1.03921568627451,1.2745098039215685,0.0384794776119403
EMG6_mean,15.0,92.0,-3.269607843137255,0.09803921568627452,0.027544070512820512
EMG7_mean,33.0,90.0,-1.392156862745098,-0.07352941176470588,0.050511853448275856
Accl0_mean,121.0,132.0,0.7408926176470587,0.7716495490196078,0.3938802083333333
Accl1_mean,118.0,128.0,-0.48580153921568625,-0.4520479068627451,0.43323863636363635
Accl2_mean,23.0,71.0,0.444606406862745,0.46925262254901956,0.06696428571428571
Gyr0_mean,77.0,101.0,0.7775735294117647,1.1387867647058822,0.16875
Gyr1_mean,50.0,100.0,-1.285232843137255,-0.5291053921568627,0.0628063725490196
Gyr2_mean,33.0,120.0,-1.981311274509804,-0.53125,0.019975142045454544
Orien0_mean,117.0,122.0,65.97549019607843,67.57352941176471,0.8268229166666666
Orien1_mean,0.0,11.0,39.078431372549026,41.94117647058823,0.3938802083333333
Orien2_mean,26.0,35.0,143.15686274509804,144.01470588235293,0.48046875
EMG0_min,52.0,118.0,-28.0,-9.75,0.0384794776119403
EMG1_min,13.0,60.0,-75.5,-25.75,0.06917317708333333
EMG2_min,54.0,103.0,-77.5,-39.0,0.06484375
EMG3_min,34.0,94.0,-74.25,-31.0,0.046106557377049176
EMG4_min,10.0,122.0,-42.0,-13.0,0.006913716814159289
EMG5_min,74.0,124.0,-28.25,-14.0,0.0628063725490196
EMG6_min,56.0,83.0,-40.0,-31.0,0.146484375
EMG7_min,71.0,117.0,-23.0,-13.0,0.07147606382978723
Accl0_min,126.0,132.0,0.6557615,0.707764,0.703125
Accl1_min,107.0,131.0,-0.65454125,-0.56311025,0.16875
Accl2_min,11.0,57.0,0.395508,0.424316,0.07147606382978723
Gyr0_min,70.0,125.0,-9.078125,-2.78125,0.0537109375
Gyr1_min,47.0,90.0,-13.78125,-10.15625,0.07901278409090909
Gyr2_min,47.0,128.0,-17.6875,-6.734375,0.02429496951219512
Orien0_min,121.0,125.0,65.0,65.0,1.0
Orien1_min,0.0,13.0,36.75,40.25,0.33203125
Orien2_min,26.0,39.0,143.0,144.0,0.33203125
EMG0_max,17.0,76.0,9.0,34.25,0.04752604166666667
EMG1_max,96.0,112.0,34.0,63.25,0.2665441176470588
EMG2_max,20.0,100.0,29.0,89.25,0.02507716049382716
EMG3_max,47.0,121.0,29.0,83.75,0.030208333333333337
EMG4_max,27.0,116.0,13.0,25.0,0.018663194444444448
EMG5_max,2.0,37.0,11.0,24.0,0.1052517361111111
EMG6_max,50.0,93.0,26.75,52.0,0.07901278409090909
EMG7_max,7.0,43.0,10.0,18.0,0.10135135135135134
Accl0_max,124.0,131.0,0.786133,0.82189925,0.6103515625
Accl1_max,115.0,130.0,-0.444824,-0.3955075,0.28564453125
Accl2_max,17.0,85.0,0.5,0.545532,0.03623188405797101
Gyr0_max,19.0,98.0,9.0,16.21875,0.02587890625
Gyr1_max,44.0,117.0,4.171875,8.578125,0.03114442567567567
Gyr2_max,31.0,110.0,2.421875,8.984375,0.02587890625
Orien0_max,116.0,121.0,66.75,67.0,0.8268229166666666
Orien1_max,0.0,4.0,43.0,46.0,1.0
Orien2_max,26.0,31.0,144.0,144.0,0.8268229166666666
EMG0_stdev,15.0,47.0,3.9494847972136924,7.645973155285191,0.11837121212121213
EMG1_stdev,93.0,115.0,12.437618986988028,22.506571631612385,0.18682065217391305
EMG2_stdev,38.0,99.0,17.523233251208126,33.43860695106443,0.04473286290322581
EMG3_stdev,37.0,103.0,11.493781430754176,25.46664799658324,0.0384794776119403
EMG4_stdev,44.0,94.0,6.891289411129064,9.261189049636407,0.0628063725490196
EMG5_stdev,2.0,23.0,5.002161478489049,8.571764983693397,0.19708806818181818
EMG6_stdev,41.0,79.0,9.89311364154765,15.796322612803976,0.09415064102564102
EMG7_stdev,7.0,52.0,4.941082085643133,8.355080225386153,0.07387907608695653
Accl0_stdev,20.0,85.0,0.016279923184917725,0.0281362408841226,0.039654356060606064
Accl1_stdev,36.0,93.0,0.023124047876944446,0.040203377074824354,0.050511853448275856
Accl2_stdev,32.0,76.0,0.014884036298165202,0.02102064661976437,0.0763888888888889
Gyr0_stdev,8.0,63.0,2.6572099729809935,4.0020142880607725,0.0537109375
Gyr1_stdev,52.0,95.0,3.124569249890706,4.245852717650262,0.07901278409090909
Gyr2_stdev,9.0,92.0,2.0968940193134884,4.911260875256072,0.022786458333333336
Orien0_stdev,31.0,105.0,0.2425192339465223,0.6366204161893422,0.030208333333333337
Orien1_stdev,19.0,106.0,0.9013046431418177,2.4702738079306146,0.019975142045454544
Orien2_stdev,4.0,94.0,0.0,0.5025425550218046,0.018028846153846152
EMG0_energy,16.0,47.0,908.75,2986.75,0.123291015625
EMG1_energy,92.0,115.0,7793.75,25443.25,0.17740885416666666
EMG2_energy,37.0,97.0,15263.5,56046.0,0.046106557377049176
EMG3_energy,37.0,102.0,6666.75,32871.25,0.039654356060606064
EMG4_energy,45.0,94.0,2447.5,4461.75,0.06484375
EMG5_energy,2.0,23.0,1281.5,3813.75,0.19708806818181818
EMG6_energy,42.0,81.0,4992.0,13072.25,0.0908203125
EMG7_energy,6.0,53.0,1221.75,3599.25,0.06917317708333333
Accl0_energy,118.0,129.0,28.025574224221508,36.177868011083,0.3938802083333333
Accl1_energy,4.0,14.0,10.529189708149755,12.092864457837502,0.43323863636363635
Accl2_energy,23.0,67.0,10.099682313904248,11.245917489124748,0.0763888888888889
Gyr0_energy,11.0,67.0,414.236328125,845.9580078125,0.05208333333333333
Gyr1_energy,50.0,89.0,502.87890625,962.8056640625,0.0908203125
Gyr2_energy,9.0,91.0,235.80078125,1407.5849609375,0.023531626506024098
