Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,9.0,119.0,-2.1715686274509802,1.230392156862745,0.007742117117117114
EMG1_mean,5.0,123.0,-3.5784313725490198,1.5392156862745097,0.004595588235294115
EMG2_mean,14.0,68.0,-4.465686274509804,-0.8578431372549019,0.05539772727272728
EMG3_mean,18.0,76.0,-2.7549019607843137,-0.28921568627450983,0.048993644067796605
EMG4_mean,39.0,95.0,-1.2794117647058822,-0.014705882352941176,0.05208333333333333
EMG5_mean,20.0,74.0,-1.96078431372549,-0.3774509803921568,0.05539772727272728
EMG6_mean,33.0,95.0,-1.767156862745098,0.18627450980392157,0.043402777777777776
EMG7_mean,4.0,121.0,-2.740196078431373,1.2990196078431373,0.004965572033898302
Accl0_mean,69.0,92.0,0.6537080735294118,0.6688854754901961,0.17740885416666666
Accl1_mean,120.0,126.0,-0.47342931862745097,-0.4594439166666666,0.703125
Accl2_mean,123.0,127.0,0.5778688921568627,0.6133194852941177,1.0
Gyr0_mean,122.0,128.0,3.4846813725490193,5.238664215686274,0.703125
Gyr1_mean,116.0,131.0,-0.1246936274509804,0.6550245098039216,0.28564453125
Gyr2_mean,69.0,129.0,-1.1715686274509804,-0.015931372549019614,0.046106557377049176
Orien0_mean,123.0,127.0,69.34803921568628,71.26470588235296,1.0
Orien1_mean,42.0,63.0,48.20588235294119,49.22549019607844,0.19708806818181818
Orien2_mean,25.0,40.0,143.14215686274508,144.97058823529412,0.28564453125
EMG0_min,9.0,27.0,-53.75,-36.0,0.234375
EMG1_min,19.0,46.0,-65.25,-29.75,0.146484375
EMG2_min,38.0,75.0,-88.25,-63.0,0.09765625
EMG3_min,83.0,113.0,-37.0,-20.0,0.12852822580645162
EMG4_min,66.0,117.0,-23.0,-14.0,0.06084735576923077
EMG5_min,57.0,121.0,-33.0,-16.0,0.04086538461538461
EMG6_min,86.0,132.0,-30.0,-9.25,0.07147606382978723
EMG7_min,4.0,68.0,-65.0,-24.0,0.04086538461538461
Accl0_min,96.0,120.0,0.6053467499999999,0.6427005,0.16875
Accl1_min,122.0,132.0,-0.6169435,-0.5604247499999999,0.43323863636363635
Accl2_min,114.0,132.0,0.48339825000000003,0.54345675,0.234375
Gyr0_min,105.0,132.0,-4.78125,-1.984375,0.146484375
Gyr1_min,117.0,132.0,-6.9375,-2.75,0.28564453125
Gyr2_min,79.0,120.0,-12.609375,-7.953125,0.08463541666666667
Orien0_min,112.0,132.0,64.0,66.5,0.20833333333333334
Orien1_min,67.0,95.0,48.0,49.0,0.1400862068965517
Orien2_min,21.0,40.0,143.0,144.0,0.220703125
EMG0_max,72.0,122.0,29.0,60.0,0.0628063725490196
EMG1_max,70.0,118.0,22.75,70.5,0.06696428571428571
EMG2_max,53.0,119.0,50.0,109.25,0.0384794776119403
EMG3_max,15.0,57.0,14.0,33.0,0.08175872093023256
EMG4_max,38.0,74.0,15.0,18.0,0.10135135135135134
EMG5_max,26.0,70.0,20.75,30.0,0.0763888888888889
EMG6_max,14.0,23.0,15.0,18.0,0.48046875
EMG7_max,78.0,107.0,25.0,39.0,0.13411458333333334
Accl0_max,40.0,87.0,0.6691897499999999,0.7052,0.06917317708333333
Accl1_max,112.0,123.0,-0.4475095,-0.43127475,0.3938802083333333
Accl2_max,122.0,132.0,0.6152345,0.66442875,0.43323863636363635
Gyr0_max,122.0,130.0,28.828125,51.234375,0.5381944444444444
Gyr1_max,4.0,119.0,1.859375,9.25,0.005724676724137928
Gyr2_max,25.0,85.0,2.0625,5.28125,0.046106557377049176
Orien0_max,123.0,127.0,70.0,72.25,1.0
Orien1_max,18.0,38.0,48.75,51.25,0.20833333333333334
Orien2_max,34.0,43.0,144.75,146.0,0.48046875
EMG0_stdev,100.0,129.0,13.256503096326501,23.714789322854184,0.13411458333333334
EMG1_stdev,79.0,110.0,9.50419544959566,18.327884864133583,0.123291015625
EMG2_stdev,79.0,91.0,27.469515586610257,30.264763868508645,0.3605769230769231
EMG3_stdev,29.0,54.0,9.10484846093788,13.773647903137913,0.16075721153846154
EMG4_stdev,14.0,91.0,5.928120905869253,9.18884036962376,0.027544070512820512
EMG5_stdev,31.0,51.0,9.503901683049305,10.978882421345709,0.20833333333333334
EMG6_stdev,12.0,38.0,6.070776515642945,9.352360079405567,0.15335648148148148
EMG7_stdev,85.0,117.0,11.273079188433947,16.84072416785847,0.11837121212121213
Accl0_stdev,0.0,10.0,0.0055899401295983085,0.013117644647090625,0.43323863636363635
Accl1_stdev,39.0,121.0,0.02340979184583859,0.055065912785325535,0.023531626506024098
Accl2_stdev,39.0,130.0,0.015822266295458305,0.04300247286478286,0.017408288043478264
Gyr0_stdev,117.0,128.0,7.634867913492576,10.860243222598685,0.3938802083333333
Gyr1_stdev,0.0,28.0,0.8514196447018957,2.615451280949217,0.1400862068965517
Gyr2_stdev,6.0,49.0,2.0028288697444117,3.306119274204993,0.07901278409090909
Orien0_stdev,115.0,129.0,0.7974659100662486,2.5145787740459578,0.3072916666666667
Orien1_stdev,0.0,7.0,-0.06788109558083824,0.48099229378756425,0.6103515625
Orien2_stdev,17.0,109.0,0.1960392117639213,0.5810504905129315,0.016801075268817203
EMG0_energy,99.0,129.0,9052.25,28191.5,0.12852822580645162
EMG1_energy,79.0,110.0,4562.0,17227.0,0.123291015625
EMG2_energy,78.0,88.0,37662.0,45652.75,0.43323863636363635
EMG3_energy,30.0,53.0,4481.25,9155.0,0.17740885416666666
EMG4_energy,14.0,89.0,1760.5,4251.5,0.029296875
EMG5_energy,31.0,52.0,4526.75,6194.25,0.19708806818181818
EMG6_energy,11.0,36.0,1854.5,4466.75,0.16075721153846154
EMG7_energy,87.0,114.0,6748.75,14091.25,0.146484375
Accl0_energy,67.0,90.0,21.790465797425,22.820840911850247,0.17740885416666666
Accl1_energy,5.0,12.0,10.76657756909175,11.486958287140752,0.6103515625
Accl2_energy,120.0,124.0,17.099108474532994,19.242850805073253,1.0
Gyr0_energy,121.0,128.0,3715.4375,7309.9716796875,0.6103515625
Gyr1_energy,0.0,28.0,34.609375,365.712890625,0.1400862068965517
Gyr2_energy,7.0,50.0,223.1083984375,612.9482421875,0.07901278409090909
Orien0_energy,120.0,124.0,245503.75,259187.5,1.0
