Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,39.0,127.0,-1.1176470588235294,2.303921568627451,0.019311797752808987
EMG1_mean,27.0,109.0,-1.5049019607843137,0.29901960784313725,0.023531626506024098
EMG2_mean,41.0,102.0,-2.372549019607843,0.8774509803921569,0.04473286290322581
EMG3_mean,25.0,86.0,-2.2990196078431375,-0.024509803921568627,0.04473286290322581
EMG4_mean,13.0,114.0,-2.063725490196078,0.5686274509803921,0.011871936274509803
EMG5_mean,12.0,111.0,-2.333333333333334,0.6568627450980392,0.012890625000000003
EMG6_mean,50.0,114.0,-1.2941176470588236,1.0686274509803921,0.04086538461538461
EMG7_mean,25.0,106.0,-1.6715686274509804,0.357843137254902,0.02429496951219512
Accl0_mean,7.0,31.0,0.6048871813725489,0.6338440980392157,0.16875
Accl1_mean,5.0,52.0,-0.6558119607843138,-0.6277429901960785,0.06917317708333333
Accl2_mean,77.0,90.0,0.47370937745098035,0.48041127941176476,0.33203125
Gyr0_mean,83.0,102.0,0.8149509803921569,1.142769607843137,0.220703125
Gyr1_mean,30.0,77.0,-1.6721813725490196,-0.7947303921568628,0.06917317708333333
Gyr2_mean,99.0,125.0,-0.8560049019607843,-0.39644607843137253,0.15335648148148148
Orien0_mean,36.0,47.0,62.647058823529406,62.941176470588225,0.3938802083333333
Orien1_mean,105.0,122.0,50.799019607843135,52.544117647058826,0.2495659722222222
Orien2_mean,118.0,122.0,152.66176470588232,154.04411764705884,1.0
EMG0_min,22.0,76.0,-39.25,-20.0,0.05539772727272728
EMG1_min,52.0,130.0,-29.0,-8.0,0.02670094936708861
EMG2_min,112.0,126.0,-31.25,-18.0,0.3072916666666667
EMG3_min,119.0,123.0,-18.0,-16.0,1.0
EMG4_min,3.0,111.0,-48.75,-15.0,0.008600917431192658
EMG5_min,5.0,69.0,-58.5,-30.0,0.04086538461538461
EMG6_min,24.0,102.0,-60.5,-21.5,0.02670094936708861
EMG7_min,31.0,113.0,-37.25,-14.0,0.023531626506024098
Accl0_min,14.0,26.0,0.505371,0.528931,0.3605769230769231
Accl1_min,0.0,26.0,-0.9165042499999999,-0.7580565,0.15335648148148148
Accl2_min,89.0,110.0,0.44567875,0.46521025,0.19708806818181818
Gyr0_min,6.0,92.0,-23.59375,-6.234375,0.02065373563218391
Gyr1_min,23.0,64.0,-16.75,-12.015625,0.08463541666666667
Gyr2_min,69.0,117.0,-14.140625,-8.171875,0.06696428571428571
