Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,48.0,95.0,-0.9607843137254902,0.16666666666666669,0.06833333333333333
EMG1_mean,26.0,104.0,-1.6323529411764706,-0.28921568627450983,0.02582278481012658
EMG2_mean,16.0,89.0,-2.647058823529412,-0.17647058823529413,0.030270270270270273
EMG3_mean,13.0,120.0,-1.8676470588235294,0.7941176470588235,0.008148148148148146
EMG4_mean,6.0,126.0,-3.019607843137255,1.5588235294117647,0.0029752066115702504
EMG5_mean,33.0,127.0,-1.8431372549019607,5.666666666666667,0.014736842105263158
EMG6_mean,26.0,127.0,-2.357843137254902,7.254901960784313,0.010980392156862742
EMG7_mean,29.0,100.0,-2.2598039215686274,0.08333333333333334,0.03222222222222223
Accl0_mean,25.0,50.0,0.6769900392156862,0.7145995441176471,0.16
Accl1_mean,12.0,58.0,-0.5177289607843135,-0.44468783333333334,0.07063829787234042
Accl2_mean,53.0,81.0,0.500627093137255,0.5426695833333333,0.13931034482758622
Gyr0_mean,11.0,67.0,-0.2800245098039216,0.5238970588235294,0.0512280701754386
Gyr1_mean,19.0,30.0,-3.4197303921568625,-3.0281862745098036,0.3933333333333333
Gyr2_mean,78.0,113.0,-0.19607843137254902,1.0091911764705883,0.10444444444444445
Orien0_mean,12.0,73.0,66.2156862745098,69.33333333333334,0.04387096774193549
Orien1_mean,75.0,103.0,42.30882352941177,45.426470588235304,0.13931034482758622
Orien2_mean,40.0,101.0,100.79411764705881,115.05882352941177,0.04387096774193549
EMG0_min,86.0,119.0,-22.25,-11.75,0.11294117647058823
EMG1_min,69.0,114.0,-21.25,-10.0,0.07304347826086956
EMG2_min,7.0,66.0,-89.25,-31.0,0.04666666666666667
EMG3_min,36.0,98.0,-22.0,-12.0,0.042539682539682544
EMG4_min,3.0,123.0,-60.75,-12.0,0.0029752066115702504
EMG5_min,29.0,128.0,-66.5,-10.5,0.012
EMG6_min,38.0,119.0,-60.25,-22.5,0.023414634146341463
EMG7_min,64.0,120.0,-30.0,-11.75,0.0512280701754386
Accl0_min,21.0,46.0,0.5933835000000001,0.6499020000000001,0.16
Accl1_min,38.0,68.0,-0.57287625,-0.515137,0.12774193548387097
Accl2_min,32.0,90.0,0.4262695,0.49218724999999997,0.04813559322033899
Gyr0_min,8.0,31.0,-18.78125,-9.90625,0.17666666666666667
Gyr1_min,7.0,48.0,-40.046875,-21.078125,0.0838095238095238
Gyr2_min,14.0,104.0,-38.921875,-10.40625,0.017142857142857147
Orien0_min,34.0,85.0,66.0,68.25,0.06
Orien1_min,73.0,107.0,40.0,43.0,0.10857142857142858
Orien2_min,33.0,103.0,97.0,112.0,0.0332394366197183
EMG0_max,16.0,72.0,11.75,32.25,0.0512280701754386
EMG1_max,6.0,110.0,6.0,36.0,0.009523809523809525
EMG2_max,50.0,122.0,25.0,108.5,0.03123287671232876
EMG3_max,22.0,94.0,10.0,19.25,0.03123287671232876
EMG4_max,23.0,119.0,15.75,46.0,0.013608247422680414
EMG5_max,4.0,113.0,13.75,81.5,0.007272727272727274
EMG6_max,22.0,117.0,31.75,98.25,0.014166666666666664
EMG7_max,30.0,85.0,18.75,39.5,0.05285714285714286
Accl0_max,17.0,71.0,0.7310795,0.78198225,0.05454545454545455
Accl1_max,23.0,87.0,-0.43212875,-0.32959000000000005,0.04
Accl2_max,60.0,110.0,0.5727537500000001,0.66223125,0.06196078431372548
Gyr0_max,72.0,111.0,11.21875,17.8125,0.09
Gyr1_max,51.0,110.0,6.109375,21.078125,0.04666666666666667
Gyr2_max,49.0,109.0,10.46875,25.34375,0.04524590163934427
Orien0_max,19.0,88.0,68.0,72.25,0.034285714285714294
Orien1_max,61.0,98.0,44.0,48.0,0.0968421052631579
Orien2_max,38.0,96.0,102.0,116.0,0.04813559322033899
EMG0_stdev,13.0,33.0,5.6440013197380505,8.004704825770336,0.20761904761904762
EMG1_stdev,17.0,86.0,3.980646188401088,9.958983781141782,0.034285714285714294
EMG2_stdev,53.0,107.0,10.471810835098692,23.351087181188092,0.05454545454545455
EMG3_stdev,41.0,97.0,5.478990593991185,8.217171934866611,0.0512280701754386
EMG4_stdev,24.0,118.0,6.857603760246022,14.914665533436226,0.014736842105263158
EMG5_stdev,5.0,103.0,6.117019400834715,25.02101311288048,0.012525252525252526
EMG6_stdev,18.0,95.0,11.108842106151991,27.47721706400866,0.026666666666666672
EMG7_stdev,11.0,67.0,5.45554583579624,11.42812085527324,0.0512280701754386
Accl0_stdev,50.0,100.0,0.015638238366702657,0.02764706565921972,0.06196078431372548
Accl1_stdev,15.0,98.0,0.015483229074469498,0.03831384908142925,0.021904761904761906
Accl2_stdev,73.0,111.0,0.02027972953244212,0.03506521731352548,0.09333333333333334
Gyr0_stdev,74.0,112.0,3.033959465645178,4.808601128751224,0.09333333333333334
Gyr1_stdev,63.0,119.0,4.588518029904753,11.254237624008514,0.0512280701754386
Gyr2_stdev,31.0,99.0,3.6550218449031138,8.315975765119353,0.03536231884057971
Orien0_stdev,17.0,106.0,0.32539568672798486,1.2155179386438966,0.017777777777777778
Orien1_stdev,27.0,83.0,0.7765470558590013,1.5138072848909796,0.0512280701754386
Orien2_stdev,51.0,102.0,0.7553717046878765,1.7100615587017312,0.06
EMG0_energy,11.0,33.0,1515.5,3205.0,0.18608695652173912
EMG1_energy,16.0,86.0,830.75,5054.25,0.0332394366197183
EMG2_energy,49.0,107.0,5491.25,27936.0,0.04813559322033899
EMG3_energy,39.0,96.0,1503.25,3387.5,0.04965517241379311
EMG4_energy,22.0,118.0,2385.5,11128.0,0.013608247422680414
EMG5_energy,5.0,101.0,1971.0,31482.25,0.013608247422680414
EMG6_energy,17.0,94.0,6171.5,37751.0,0.026666666666666672
EMG7_energy,10.0,67.0,1529.75,6532.25,0.04965517241379311
Accl0_energy,25.0,50.0,23.398554998672005,26.063426374310737,0.16
Accl1_energy,72.0,118.0,10.178012746322999,13.707184734753998,0.07063829787234042
Accl2_energy,53.0,81.0,12.83455428574075,15.06634935295125,0.13931034482758622
Gyr0_energy,72.0,112.0,472.6953125,1158.6220703125,0.08682926829268292
Gyr1_energy,73.0,115.0,1526.8486328125,5964.0673828125,0.08093023255813954
Gyr2_energy,27.0,97.0,661.1640625,3505.37109375,0.0332394366197183
Orien0_energy,12.0,73.0,223632.0,245308.0,0.04387096774193549
Orien1_energy,76.0,103.0,91361.5,105317.75,0.1457142857142857
Orien2_energy,40.0,101.0,518258.0,675228.0,0.04387096774193549
