Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,41.0,120.0,-1.2941176470588236,1.8627450980392157,0.01984126984126984
EMG1_mean,57.0,119.0,-1.0,0.5049019607843137,0.03376165280927186
EMG2_mean,23.0,98.0,-2.2990196078431375,0.0392156862745098,0.022556390977443608
EMG3_mean,44.0,110.0,-1.0980392156862746,-0.04901960784313726,0.02985074626865672
EMG4_mean,68.0,105.0,-0.7303921568627451,0.18137254901960786,0.07685881370091896
EMG5_mean,0.0,125.0,-8.833333333333334,5.38235294117647,0.001007810531620059
EMG6_mean,22.0,120.0,-2.818627450980392,3.700980392156863,0.009940676607343275
EMG7_mean,36.0,107.0,-1.9460784313725492,0.20098039215686278,0.02557319223985891
Accl0_mean,16.0,92.0,0.667236343137255,0.7636288088235292,0.02185116470830756
Accl1_mean,39.0,102.0,-0.4739894460784314,-0.3608445735294117,0.03273809523809524
Accl2_mean,64.0,105.0,0.519883132352941,0.5697261274509804,0.06651549508692366
Gyr0_mean,62.0,115.0,0.45128676470588236,1.1893382352941178,0.04467960023515579
Gyr1_mean,45.0,81.0,-2.7294730392156863,-1.757046568627451,0.07979407979407979
Gyr2_mean,17.0,94.0,-2.248468137254902,0.16666666666666666,0.021164021164021166
Orien0_mean,68.0,96.0,69.09313725490196,71.76470588235294,0.11056376573617951
Orien1_mean,33.0,112.0,37.990196078431374,46.33333333333334,0.01984126984126984
Orien2_mean,12.0,69.0,92.3578431372549,105.2843137254902,0.039408866995073885
EMG0_min,23.0,91.0,-51.25,-20.75,0.0280653324131585
EMG1_min,86.0,111.0,-17.25,-11.0,0.12698412698412698
EMG2_min,33.0,110.0,-51.0,-17.75,0.021164021164021166
EMG3_min,63.0,88.0,-17.0,-14.0,0.12698412698412698
EMG4_min,12.0,102.0,-40.0,-16.75,0.01360544217687075
EMG5_min,21.0,70.0,-77.5,-39.75,0.050793650793650794
EMG6_min,11.0,54.0,-97.0,-49.75,0.06204906204906205
EMG7_min,57.0,91.0,-35.25,-20.0,0.08616780045351474
Accl0_min,23.0,95.0,0.6024167500000001,0.7161865,0.02478799739073712
Accl1_min,17.0,69.0,-0.6127929999999999,-0.51355,0.04612159329140461
Accl2_min,51.0,110.0,0.4460447500000001,0.5266115,0.037037037037037035
Gyr0_min,18.0,116.0,-14.125,-2.171875,0.009940676607343275
Gyr1_min,21.0,93.0,-29.5625,-12.578125,0.02478799739073712
Gyr2_min,13.0,49.0,-39.09375,-20.859375,0.07979407979407979
Orien0_min,48.0,100.0,67.0,71.0,0.04612159329140461
Orien1_min,35.0,114.0,37.0,44.0,0.01984126984126984
Orien2_min,13.0,69.0,90.75,103.25,0.04065719855193539
EMG0_max,26.0,107.0,17.0,60.25,0.01858304297328688
EMG1_max,31.0,104.0,12.0,34.25,0.024024024024024024
EMG2_max,28.0,111.0,17.0,71.75,0.017384731670445956
EMG3_max,49.0,109.0,13.0,25.0,0.035909445745511324
EMG4_max,94.0,121.0,31.0,49.0,0.11564625850340138
EMG5_max,77.0,117.0,59.5,95.25,0.0689121176926055
EMG6_max,72.0,128.0,55.0,123.25,0.04065719855193539
EMG7_max,29.0,65.0,18.0,29.25,0.07979407979407979
Accl0_max,15.0,95.0,0.7280270000000001,0.80834925,0.019204389574759947
Accl1_max,34.0,91.0,-0.40710475,-0.314331,0.039408866995073885
Accl2_max,65.0,99.0,0.57788075,0.6376955,0.08616780045351474
Gyr0_max,37.0,109.0,7.953125,16.1875,0.02478799739073712
Gyr1_max,56.0,109.0,6.296875,17.359375,0.04467960023515579
Gyr2_max,97.0,110.0,20.609375,25.671875,0.2630385487528345
Orien0_max,52.0,85.0,70.0,72.0,0.0896358543417367
Orien1_max,33.0,106.0,40.0,49.0,0.024024024024024024
Orien2_max,10.0,70.0,92.75,108.0,0.035909445745511324
EMG0_stdev,44.0,90.0,9.127496634489791,14.836342567247389,0.056062141168524156
EMG1_stdev,24.0,79.0,4.699891662918937,9.169323096079356,0.04195011337868481
EMG2_stdev,48.0,93.0,10.268729085830412,15.120984336563708,0.057971014492753624
EMG3_stdev,36.0,74.0,5.336568113703237,6.529524038491046,0.07407407407407408
EMG4_stdev,61.0,117.0,8.83701767823316,14.263680113503233,0.04065719855193539
EMG5_stdev,97.0,112.0,23.92703840254219,31.54327992999376,0.2261904761904762
EMG6_stdev,97.0,109.0,27.507581584743193,30.38899583935135,0.2857142857142857
EMG7_stdev,25.0,58.0,7.238783562556965,10.271758074561458,0.0896358543417367
Accl0_stdev,36.0,107.0,0.01387923752990326,0.03439267528037355,0.02557319223985891
Accl1_stdev,72.0,109.0,0.02593856797212423,0.04629762683982554,0.07685881370091896
Accl2_stdev,48.0,108.0,0.017106074348572597,0.032313283466314,0.035909445745511324
Gyr0_stdev,55.0,101.0,2.5631240526088988,4.013182781472288,0.056062141168524156
Gyr1_stdev,64.0,108.0,4.636537048726438,8.523893223839435,0.059964726631393295
Gyr2_stdev,70.0,110.0,5.886308453828007,9.1330178840808,0.0689121176926055
Orien0_stdev,40.0,108.0,0.4401425793945397,1.310539822228947,0.0280653324131585
Orien1_stdev,46.0,101.0,0.9950490147049017,2.050966803975829,0.04195011337868481
Orien2_stdev,44.0,95.0,0.7097270843732134,1.416906817675399,0.047619047619047616
EMG0_energy,44.0,91.0,4240.5,11407.5,0.05423280423280424
EMG1_energy,22.0,79.0,1104.75,4214.25,0.039408866995073885
EMG2_energy,48.0,93.0,5376.5,11607.75,0.057971014492753624
EMG3_energy,38.0,73.0,1488.0,2159.5,0.08289241622574955
EMG4_energy,59.0,117.0,3922.25,10197.75,0.03820285176217379
EMG5_energy,97.0,112.0,28853.5,50048.75,0.2261904761904762
EMG6_energy,96.0,109.0,37940.0,46489.0,0.2630385487528345
EMG7_energy,24.0,57.0,2623.25,5283.25,0.0896358543417367
Accl0_energy,15.0,92.0,22.733572311085013,29.748964682072252,0.021164021164021166
Accl1_energy,27.0,90.0,6.686928223904252,11.5571268967395,0.03273809523809524
Accl2_energy,64.0,104.0,13.800747266663254,16.56533003910799,0.0689121176926055
Gyr0_energy,49.0,99.0,337.890625,816.3896484375,0.04917522564581388
Gyr1_energy,63.0,106.0,1339.7041015625,3939.5556640625,0.06204906204906205
Gyr2_energy,67.0,106.0,1725.4560546875,4372.306640625,0.07142857142857142
Orien0_energy,68.0,96.0,243477.25,262677.0,0.11056376573617951
Orien1_energy,33.0,112.0,73653.0,109634.5,0.01984126984126984
Orien2_energy,12.0,69.0,435054.25,565406.5,0.039408866995073885
