Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,7.0,71.0,-2.3872549019607843,-0.4117647058823529,0.04
EMG1_mean,54.0,126.0,-1.0686274509803921,1.5686274509803924,0.03123287671232876
EMG2_mean,5.0,129.0,-4.03921568627451,10.127450980392156,0.0016000000000000014
EMG3_mean,65.0,124.0,-0.8676470588235294,1.1176470588235294,0.04666666666666667
EMG4_mean,11.0,117.0,-2.5,0.5980392156862745,0.008598130841121496
EMG5_mean,3.0,120.0,-5.750000000000002,3.07843137254902,0.004067796610169495
EMG6_mean,2.0,103.0,-7.3284313725490176,1.093137254901961,0.010980392156862742
EMG7_mean,21.0,126.0,-2.514705882352941,2.681372549019608,0.009056603773584904
Accl0_mean,88.0,120.0,0.7525443088235295,0.8072199068627451,0.11757575757575757
Accl1_mean,54.0,116.0,-0.4543313284313726,-0.26317875980392147,0.042539682539682544
Accl2_mean,21.0,68.0,0.4646952647058825,0.5226428284313727,0.06833333333333333
Gyr0_mean,0.0,29.0,-1.8566176470588236,0.13480392156862744,0.13333333333333333
Gyr1_mean,107.0,121.0,-0.4834558823529412,0.9718137254901961,0.3066666666666667
Gyr2_mean,29.0,100.0,-1.6200980392156865,0.34129901960784315,0.03222222222222223
Orien0_mean,31.0,112.0,67.45098039215686,75.84313725490196,0.023414634146341463
Orien1_mean,8.0,48.0,34.28921568627451,40.63725490196078,0.08682926829268292
Orien2_mean,14.0,67.0,93.57352941176472,105.02941176470586,0.05629629629629629
EMG0_min,8.0,41.0,-85.25,-41.75,0.11294117647058823
EMG1_min,8.0,39.0,-46.25,-27.0,0.1225
EMG2_min,0.0,10.0,-120.0,-84.25,0.43272727272727274
EMG3_min,1.0,18.0,-66.0,-29.75,0.2488888888888889
EMG4_min,4.0,47.0,-52.5,-26.75,0.07818181818181819
EMG5_min,0.0,14.0,-129.25,-90.25,0.3066666666666667
EMG6_min,1.0,44.0,-121.25,-56.0,0.07818181818181819
EMG7_min,28.0,121.0,-52.75,-10.75,0.015319148936170215
Accl0_min,17.0,125.0,0.5766600000000001,0.778809,0.007706422018348626
Accl1_min,13.0,117.0,-0.6276857499999999,-0.3206785,0.009523809523809525
