Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,42.0,84.0,-1.2352941176470589,-0.13725490196078433,0.06423034330011074
EMG1_mean,23.0,93.0,-1.6764705882352942,-0.38725490196078427,0.02638050525374469
EMG2_mean,7.0,109.0,-3.7647058823529416,0.892156862745098,0.008321775312066577
EMG3_mean,26.0,124.0,-1.4362745098039214,1.357843137254902,0.009940676607343275
EMG4_mean,34.0,129.0,-1.5980392156862746,5.249999999999999,0.011243386243386246
EMG5_mean,8.0,129.0,-3.681372549019608,7.946078431372548,0.002081706999739789
EMG6_mean,9.0,92.0,-4.985294117647059,0.6127450980392156,0.017384731670445956
EMG7_mean,23.0,82.0,-2.455882352941177,-0.46078431372549017,0.037037037037037035
Accl0_mean,38.0,53.0,0.7036349999999996,0.7174454754901962,0.2261904761904762
Accl1_mean,73.0,81.0,-0.418691612745098,-0.4117886715686275,0.4268077601410935
Accl2_mean,85.0,106.0,0.5488209803921567,0.5707002254901962,0.15584415584415584
Gyr0_mean,25.0,125.0,0.11121323529411764,2.4090073529411766,0.009115197234009116
Gyr1_mean,70.0,78.0,-2.086703431372549,-1.811887254901961,0.4268077601410935
Gyr2_mean,82.0,89.0,-0.15441176470588236,0.05729166666666667,0.48412698412698413
Orien0_mean,80.0,87.0,70.41176470588236,71.02450980392157,0.48412698412698413
Orien1_mean,69.0,89.0,41.96078431372548,43.205882352941174,0.16477702191987906
Orien2_mean,43.0,80.0,101.22058823529412,107.88235294117646,0.07685881370091896
EMG0_min,111.0,129.0,-16.0,-3.75,0.18546365914786966
EMG1_min,117.0,129.0,-10.0,-3.5,0.2857142857142857
EMG2_min,65.0,112.0,-31.0,-16.75,0.05423280423280424
EMG3_min,74.0,125.0,-16.0,-9.75,0.047619047619047616
EMG4_min,56.0,118.0,-25.0,-14.0,0.03376165280927186
EMG5_min,76.0,123.0,-38.0,-15.25,0.05423280423280424
EMG6_min,52.0,129.0,-51.25,-8.5,0.021164021164021166
EMG7_min,113.0,129.0,-15.0,-4.75,0.21101774042950514
Accl0_min,55.0,81.0,0.6636960000000001,0.69543425,0.12110523221634333
Accl1_min,85.0,100.0,-0.483887,-0.443237,0.2261904761904762
Accl2_min,102.0,121.0,0.51196275,0.5567625,0.1746031746031746
Gyr0_min,16.0,51.0,-14.421875,-6.5625,0.08289241622574955
Gyr1_min,79.0,127.0,-15.40625,-6.40625,0.05247813411078717
Gyr2_min,65.0,122.0,-18.265625,-5.1875,0.039408866995073885
Orien0_min,93.0,101.0,69.75,71.0,0.4268077601410935
Orien1_min,83.0,107.0,41.0,43.0,0.13333333333333333
Orien2_min,45.0,92.0,100.0,107.0,0.05423280423280424
EMG0_max,1.0,31.0,3.0,18.25,0.10138248847926266
EMG1_max,0.0,56.0,1.5,18.0,0.04065719855193539
EMG2_max,0.0,76.0,1.0,34.0,0.02185116470830756
EMG3_max,1.0,61.0,5.0,15.0,0.035909445745511324
EMG4_max,2.0,69.0,7.75,25.0,0.028944911297852476
EMG5_max,7.0,86.0,19.5,63.25,0.01984126984126984
EMG6_max,0.0,74.0,13.75,58.25,0.023280423280423283
EMG7_max,1.0,5.0,6.75,9.0,0.7936507936507936
Accl0_max,20.0,47.0,0.7346195,0.765381,0.11564625850340138
Accl1_max,56.0,68.0,-0.377441,-0.35913075,0.2857142857142857
Accl2_max,76.0,93.0,0.5944827500000001,0.61731,0.19753086419753088
Gyr0_max,27.0,73.0,7.109375,11.328125,0.056062141168524156
Gyr1_max,6.0,16.0,1.390625,3.0,0.3434343434343434
Gyr2_max,7.0,67.0,3.078125,14.140625,0.035909445745511324
Orien0_max,72.0,76.0,71.0,71.0,0.7936507936507936
Orien1_max,45.0,60.0,43.0,44.0,0.2261904761904762
Orien2_max,36.0,72.0,102.0,108.0,0.07979407979407979
