Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,8.0,123.0,-2.3284313725490193,2.715686274509804,0.0048275862068965555
EMG1_mean,38.0,97.0,-1.3529411764705883,-0.3333333333333333,0.04666666666666667
EMG2_mean,2.0,120.0,-4.637254901960785,1.9215686274509804,0.0036974789915966396
EMG3_mean,10.0,90.0,-1.96078431372549,-0.4313725490196079,0.02419753086419753
EMG4_mean,8.0,64.0,-2.931372549019607,-0.7598039215686274,0.0512280701754386
EMG5_mean,14.0,103.0,-3.0392156862745097,0.75,0.017777777777777778
EMG6_mean,20.0,101.0,-2.936274509803921,1.0196078431372548,0.023414634146341463
EMG7_mean,43.0,120.0,-1.6470588235294117,1.6127450980392155,0.026666666666666672
Accl0_mean,61.0,99.0,0.7248750294117647,0.7730282107843138,0.09333333333333334
Accl1_mean,45.0,106.0,-0.46785483333333333,-0.3251665882352942,0.04387096774193549
Accl2_mean,35.0,67.0,0.4829317107843138,0.5217332941176471,0.11757575757575757
Gyr0_mean,22.0,109.0,0.05269607843137255,1.0281862745098038,0.019090909090909092
Gyr1_mean,1.0,110.0,-6.280330882352941,-0.3707107843137255,0.007272727272727274
Gyr2_mean,51.0,115.0,-0.8930759803921569,1.2040441176470587,0.04
Orien0_mean,35.0,104.0,67.83333333333333,73.22058823529412,0.034285714285714294
Orien1_mean,24.0,89.0,36.92647058823528,43.11764705882353,0.03878787878787878
Orien2_mean,0.0,129.0,81.84313725490196,136.01470588235293,0.0
EMG0_min,66.0,113.0,-30.25,-15.0,0.06833333333333333
EMG1_min,96.0,128.0,-15.0,-5.75,0.11757575757575757
EMG2_min,23.0,63.0,-66.25,-31.75,0.08682926829268292
EMG3_min,54.0,100.0,-19.0,-12.0,0.07063829787234042
EMG4_min,12.0,113.0,-40.0,-15.75,0.010980392156862742
EMG5_min,36.0,99.0,-62.25,-30.75,0.04125
EMG6_min,31.0,79.0,-66.0,-36.75,0.06612244897959184
EMG7_min,77.0,109.0,-26.0,-16.75,0.11757575757575757
Accl0_min,62.0,105.0,0.67272975,0.734497,0.07818181818181819
Accl1_min,72.0,106.0,-0.5113525,-0.40954625,0.10857142857142858
Accl2_min,53.0,64.0,0.44909675,0.460083,0.3933333333333333
Gyr0_min,50.0,119.0,-6.734375,-1.9375,0.034285714285714294
Gyr1_min,25.0,106.0,-29.234375,-10.640625,0.023414634146341463
Gyr2_min,11.0,116.0,-39.640625,-6.328125,0.009056603773584904
Orien0_min,40.0,103.0,66.75,71.25,0.04125
Orien1_min,16.0,105.0,34.0,42.25,0.017777777777777778
Orien2_min,0.0,129.0,75.5,134.75,0.0
EMG0_max,34.0,84.0,20.5,39.0,0.06196078431372548
EMG1_max,8.0,37.0,7.75,13.0,0.13333333333333333
EMG2_max,54.0,108.0,26.0,65.0,0.05454545454545455
EMG3_max,16.0,74.0,9.0,16.0,0.04813559322033899
EMG4_max,12.0,88.0,13.0,29.0,0.027532467532467537
EMG5_max,17.0,97.0,25.75,70.25,0.02419753086419753
EMG6_max,48.0,111.0,43.0,94.0,0.04125
EMG7_max,44.0,82.0,23.0,37.25,0.09333333333333334
Accl0_max,26.0,97.0,0.742188,0.812256,0.03222222222222223
Accl1_max,21.0,107.0,-0.4461665,-0.23876975,0.019770114942528734
Accl2_max,35.0,108.0,0.5350345,0.654785,0.030270270270270273
Gyr0_max,17.0,89.0,6.109375,13.109375,0.03123287671232876
Gyr1_max,5.0,108.0,1.234375,16.078125,0.01
Gyr2_max,31.0,77.0,8.15625,16.265625,0.07063829787234042
Orien0_max,14.0,111.0,67.75,77.0,0.013061224489795919
Orien1_max,21.0,72.0,39.0,45.0,0.06
Orien2_max,0.0,129.0,84.75,137.0,0.0
EMG0_stdev,33.0,68.0,8.106932722752813,12.266239987404997,0.10444444444444445
EMG1_stdev,8.0,32.0,3.142530681138519,5.397933494524794,0.168
EMG2_stdev,57.0,108.0,11.067808305436479,24.690626688831752,0.06
EMG3_stdev,37.0,87.0,5.375085619131899,7.423530896112011,0.06196078431372548
EMG4_stdev,15.0,111.0,6.2559385487859,12.491252334773634,0.013608247422680414
EMG5_stdev,35.0,94.0,13.360131819032954,23.448611675805672,0.04666666666666667
