Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,33.0,121.0,-1.4705882352941178,2.5784313725490198,0.014624576422329233
EMG1_mean,11.0,124.0,-2.1862745098039214,1.4411764705882355,0.004455583402951824
EMG2_mean,70.0,81.0,-0.8578431372549019,-0.5588235294117647,0.3121693121693122
EMG3_mean,47.0,108.0,-1.0441176470588238,-0.07352941176470588,0.03481822836661546
EMG4_mean,49.0,116.0,-1.1029411764705883,0.5441176470588236,0.028944911297852476
EMG5_mean,78.0,126.0,-0.3872549019607844,5.504901960784314,0.05247813411078717
EMG6_mean,106.0,129.0,1.156862745098039,7.84313725490196,0.14021164021164023
EMG7_mean,72.0,124.0,-0.7549019607843137,2.343137254901961,0.04612159329140461
Accl0_mean,49.0,66.0,0.7142692647058824,0.7286185343137255,0.19753086419753088
Accl1_mean,108.0,113.0,-0.3175072941176471,-0.281475024509804,0.6560846560846562
Accl2_mean,116.0,124.0,0.5951119411764707,0.6221348970588236,0.4268077601410935
Gyr0_mean,122.0,125.0,1.8134191176470589,2.252450980392157,1.0
Gyr1_mean,2.0,87.0,-5.306678921568627,-1.4862132352941178,0.0162421557770395
Gyr2_mean,57.0,127.0,-0.7018995098039216,3.832414215686275,0.02638050525374469
Orien0_mean,110.0,119.0,75.25490196078432,77.30882352941177,0.38095238095238093
Orien1_mean,56.0,76.0,40.897058823529406,42.32843137254902,0.16477702191987906
Orien2_mean,97.0,105.0,112.73529411764706,115.91176470588235,0.4268077601410935
EMG0_min,21.0,97.0,-54.25,-19.75,0.02185116470830756
EMG1_min,60.0,69.0,-24.0,-21.0,0.38095238095238093
EMG2_min,93.0,129.0,-23.0,-9.0,0.07979407979407979
EMG3_min,52.0,123.0,-19.0,-10.0,0.02557319223985891
EMG4_min,70.0,127.0,-23.25,-11.0,0.039408866995073885
EMG5_min,44.0,110.0,-53.0,-24.0,0.02985074626865672
EMG6_min,17.0,62.0,-84.25,-44.0,0.057971014492753624
EMG7_min,47.0,81.0,-41.0,-25.0,0.08616780045351474
Accl0_min,44.0,56.0,0.6481935,0.664551,0.2857142857142857
Accl1_min,105.0,122.0,-0.430908,-0.30688475000000004,0.19753086419753088
Accl2_min,112.0,126.0,0.5280765,0.578125,0.24338624338624337
Gyr0_min,94.0,124.0,-3.59375,-1.71875,0.10138248847926266
Gyr1_min,15.0,69.0,-31.515625,-17.25,0.043290043290043295
Gyr2_min,50.0,126.0,-20.828125,-4.359375,0.02185116470830756
Orien0_min,107.0,120.0,72.75,76.0,0.2630385487528345
Orien1_min,55.0,76.0,39.0,40.0,0.15584415584415584
Orien2_min,83.0,101.0,106.0,111.25,0.18546365914786966
EMG0_max,45.0,99.0,23.75,51.25,0.043290043290043295
EMG1_max,49.0,101.0,17.0,33.25,0.04612159329140461
EMG2_max,2.0,47.0,6.75,25.0,0.057971014492753624
EMG3_max,5.0,101.0,7.0,22.25,0.010800196367206673
EMG4_max,1.0,61.0,7.0,23.0,0.035909445745511324
EMG5_max,59.0,82.0,46.75,62.0,0.14021164021164023
EMG6_max,119.0,127.0,100.5,121.25,0.4268077601410935
EMG7_max,51.0,108.0,25.75,64.5,0.039408866995073885
Accl0_max,52.0,73.0,0.767334,0.78381325,0.15584415584415584
Accl1_max,102.0,121.0,-0.29186975,-0.170288,0.1746031746031746
Accl2_max,104.0,124.0,0.647461,0.718384,0.16477702191987906
Gyr0_max,94.0,115.0,13.859375,18.359375,0.15584415584415584
Gyr1_max,26.0,68.0,4.1875,7.515625,0.06423034330011074
Gyr2_max,51.0,123.0,10.984375,47.703125,0.02478799739073712
Orien0_max,108.0,129.0,76.0,80.75,0.15584415584415584
Orien1_max,49.0,82.0,43.0,46.0,0.0896358543417367
Orien2_max,86.0,103.0,112.75,119.0,0.19753086419753088
EMG0_stdev,56.0,79.0,11.200454095133157,13.184857905520358,0.14021164021164023
EMG1_stdev,66.0,94.0,8.156099490305692,10.782317987586556,0.11056376573617951
EMG2_stdev,3.0,42.0,3.9836563475107756,9.278382299572504,0.07142857142857142
EMG3_stdev,5.0,58.0,3.812463689555625,6.132138175920359,0.04467960023515579
EMG4_stdev,4.0,51.0,4.682419007253255,8.364210952962154,0.05423280423280424
EMG5_stdev,51.0,101.0,15.416583688261026,24.854886048067932,0.04917522564581388
EMG6_stdev,104.0,125.0,29.550972517621524,44.03859843702315,0.15584415584415584
EMG7_stdev,74.0,93.0,12.63465102953704,17.114842412814973,0.1746031746031746
Accl0_stdev,61.0,86.0,0.01723450133738953,0.022583490149154277,0.12698412698412698
Accl1_stdev,24.0,106.0,0.016493277428473244,0.04512579710856358,0.017976668579078217
Accl2_stdev,62.0,114.0,0.019046339819014043,0.039660801261970184,0.04612159329140461
Gyr0_stdev,102.0,118.0,4.023905702632969,5.2054924183798335,0.21101774042950514
Gyr1_stdev,30.0,115.0,3.3788667105736403,9.84369521386088,0.0162421557770395
Gyr2_stdev,55.0,121.0,4.718649895869577,13.61560089492271,0.02985074626865672
Orien0_stdev,77.0,119.0,0.7113300347471969,2.1268584650839792,0.06423034330011074
Orien1_stdev,35.0,82.0,0.8967113802506654,1.4608475248580066,0.05423280423280424
Orien2_stdev,14.0,125.0,0.4603582719415968,3.7019895020173648,0.005102040816326534
EMG0_energy,55.0,80.0,6276.25,8865.75,0.12698412698412698
EMG1_energy,69.0,95.0,3553.25,5917.75,0.12110523221634333
EMG2_energy,2.0,42.0,837.75,4349.75,0.0689121176926055
EMG3_energy,5.0,57.0,780.0,1891.25,0.04612159329140461
EMG4_energy,3.0,50.0,1127.5,3509.25,0.05423280423280424
EMG5_energy,51.0,104.0,11912.5,33027.25,0.04467960023515579
EMG6_energy,104.0,125.0,44019.5,97233.0,0.15584415584415584
EMG7_energy,73.0,92.0,8051.25,14667.75,0.1746031746031746
Accl0_energy,49.0,65.0,26.03200167309251,27.092327242759765,0.21101774042950514
Accl1_energy,16.0,21.0,4.05772543307925,5.205715355926499,0.6560846560846562
Accl2_energy,114.0,124.0,18.130227806336002,19.771380323540257,0.3434343434343434
Gyr0_energy,108.0,118.0,1024.0888671875,1531.486328125,0.3434343434343434
Gyr1_energy,23.0,116.0,686.5,6131.1416015625,0.012158054711246204
Gyr2_energy,57.0,121.0,1305.130859375,9812.91796875,0.031746031746031744
Orien0_energy,110.0,119.0,289007.5,304836.75,0.38095238095238093
Orien1_energy,56.0,75.0,85415.75,91356.5,0.1746031746031746
Orien2_energy,97.0,105.0,648281.0,685758.5,0.4268077601410935
