Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,29.0,124.0,-1.534313725490196,3.053921568627451,0.014166666666666664
EMG1_mean,3.0,87.0,-2.985294117647059,-0.4509803921568628,0.021176470588235297
EMG2_mean,0.0,122.0,-5.75,2.588235294117647,0.0022764227642276397
EMG3_mean,2.0,119.0,-3.2941176470588234,0.48529411764705876,0.004067796610169495
EMG4_mean,39.0,107.0,-1.3970588235294117,0.2598039215686274,0.03536231884057971
EMG5_mean,23.0,105.0,-2.460784313725491,1.1715686274509802,0.02265060240963855
EMG6_mean,35.0,99.0,-1.8284313725490193,0.8823529411764706,0.04
EMG7_mean,1.0,118.0,-9.03921568627451,1.1666666666666667,0.004067796610169495
Accl0_mean,60.0,78.0,0.7234006078431373,0.7418212352941177,0.23368421052631577
Accl1_mean,22.0,51.0,-0.49657491666666664,-0.45951575490196084,0.13333333333333333
Accl2_mean,24.0,30.0,0.4704756666666668,0.47841032352941165,0.7028571428571428
Gyr0_mean,15.0,50.0,-0.026654411764705885,0.36182598039215685,0.10444444444444445
Gyr1_mean,95.0,107.0,-1.0459558823529411,-0.4433210784313726,0.36
Gyr2_mean,67.0,104.0,-0.5150122549019608,0.5091911764705882,0.0968421052631579
Orien0_mean,8.0,27.0,65.81372549019608,67.17647058823529,0.22
Orien1_mean,65.0,84.0,41.392156862745104,42.818627450980394,0.22
Orien2_mean,121.0,126.0,127.43627450980392,129.4607843137255,0.8266666666666667
EMG0_min,16.0,66.0,-59.5,-30.0,0.06196078431372548
EMG1_min,24.0,70.0,-33.25,-21.0,0.07063829787234042
EMG2_min,27.0,84.0,-57.5,-24.75,0.04965517241379311
EMG3_min,45.0,94.0,-20.0,-13.0,0.064
EMG4_min,75.0,125.0,-22.0,-12.0,0.06196078431372548
EMG5_min,52.0,110.0,-47.25,-24.75,0.04813559322033899
EMG6_min,98.0,127.0,-32.0,-13.75,0.13333333333333333
EMG7_min,6.0,23.0,-100.25,-63.0,0.2488888888888889
Accl0_min,55.0,89.0,0.66442875,0.704346,0.10857142857142858
Accl1_min,36.0,74.0,-0.5777585,-0.5062257499999999,0.09333333333333334
Accl2_min,28.0,58.0,0.41882349999999996,0.45593225000000004,0.12774193548387097
Gyr0_min,57.0,120.0,-6.015625,-1.9375,0.04125
Gyr1_min,62.0,123.0,-18.671875,-7.9375,0.04387096774193549
Gyr2_min,37.0,120.0,-26.703125,-5.25,0.021904761904761906
Orien0_min,12.0,57.0,65.0,67.25,0.07304347826086956
Orien1_min,90.0,101.0,41.0,42.0,0.3933333333333333
Orien2_min,122.0,126.0,126.5,128.5,1.0
EMG0_max,45.0,119.0,24.0,76.0,0.02933333333333333
EMG1_max,48.0,123.0,17.0,45.5,0.028421052631578944
EMG2_max,36.0,107.0,21.0,58.75,0.03222222222222223
EMG3_max,58.0,94.0,14.0,20.0,0.10054054054054054
EMG4_max,9.0,90.0,11.75,30.0,0.023414634146341463
EMG5_max,18.0,100.0,26.0,72.0,0.02265060240963855
EMG6_max,3.0,22.0,19.75,33.0,0.22
EMG7_max,62.0,118.0,28.0,80.5,0.0512280701754386
Accl0_max,43.0,59.0,0.759155,0.770752,0.26588235294117646
Accl1_max,14.0,35.0,-0.46154825,-0.404175,0.19636363636363638
Accl2_max,12.0,32.0,0.4982910000000001,0.532471,0.20761904761904762
Gyr0_max,3.0,47.0,3.75,9.140625,0.07555555555555556
Gyr1_max,18.0,98.0,3.25,13.203125,0.02419753086419753
Gyr2_max,53.0,94.0,11.53125,20.078125,0.0838095238095238
Orien0_max,8.0,24.0,66.75,68.0,0.26588235294117646
Orien1_max,50.0,76.0,43.0,45.0,0.15259259259259259
Orien2_max,121.0,127.0,127.75,132.5,0.7028571428571428
EMG0_stdev,45.0,118.0,10.11026639879625,24.722641452059605,0.030270270270270273
EMG1_stdev,57.0,105.0,7.614305364337386,12.27853237323636,0.06612244897959184
EMG2_stdev,52.0,100.0,10.467661974785926,17.030445496039214,0.06612244897959184
EMG3_stdev,67.0,95.0,6.235870182215166,8.07469022593131,0.13931034482758622
EMG4_stdev,14.0,65.0,6.122955708432604,9.263045679103106,0.06
EMG5_stdev,15.0,67.0,10.343138839791198,18.122801184887273,0.05811320754716981
EMG6_stdev,2.0,34.0,7.368765216292539,14.212812539246652,0.11757575757575757
EMG7_stdev,92.0,123.0,16.421293844430604,33.213170018145185,0.1225
Accl0_stdev,9.0,77.0,0.009999600256539943,0.020800325548381543,0.03536231884057971
Accl1_stdev,12.0,39.0,0.014334890653041063,0.019583313277803535,0.1457142857142857
Accl2_stdev,10.0,44.0,0.011497527177093294,0.016817275880058945,0.10857142857142858
Gyr0_stdev,2.0,46.0,1.1977700148148298,2.4332070986248144,0.07555555555555556
Gyr1_stdev,7.0,76.0,2.1041158134645253,5.0731563666370665,0.034285714285714294
Gyr2_stdev,23.0,86.0,3.259523599753908,6.6629918468272,0.04125
Orien0_stdev,6.0,41.0,0.10502100630210087,0.4622900822071181,0.10444444444444445
Orien1_stdev,14.0,46.0,0.5918093948239379,1.0018577969043014,0.11757575757575757
