Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,54.0,118.0,-0.8235294117647058,1.6127450980392155,0.031746031746031744
EMG1_mean,2.0,71.0,-3.3284313725490193,-0.7990196078431372,0.0272108843537415
EMG2_mean,59.0,103.0,-1.147058823529412,0.3431372549019608,0.059964726631393295
EMG3_mean,14.0,118.0,-1.8480392156862746,0.3774509803921569,0.007558578987150417
EMG4_mean,16.0,105.0,-2.235294117647059,0.21078431372549022,0.014109347442680775
EMG5_mean,13.0,61.0,-3.1029411764705883,-0.8529411764705883,0.05247813411078717
EMG6_mean,7.0,85.0,-5.299019607843138,0.2549019607843137,0.020494273658830626
EMG7_mean,7.0,116.0,-4.53921568627451,0.9117647058823529,0.005772005772005774
Accl0_mean,10.0,25.0,0.6471808921568627,0.6816310735294118,0.2261904761904762
Accl1_mean,27.0,69.0,-0.4933531127450981,-0.4223082647058823,0.06423034330011074
Accl2_mean,104.0,114.0,0.5664661813725489,0.5923401911764705,0.3434343434343434
Gyr0_mean,104.0,129.0,0.9142156862745098,3.361519607843137,0.12698412698412698
Gyr1_mean,93.0,126.0,-1.309129901960784,2.8394607843137254,0.0896358543417367
Gyr2_mean,8.0,121.0,-3.6776960784313726,1.7132352941176467,0.004455583402951824
Orien0_mean,56.0,93.0,68.70588235294119,71.38235294117646,0.07685881370091896
Orien1_mean,103.0,118.0,45.03921568627451,47.950980392156865,0.2261904761904762
Orien2_mean,28.0,84.0,97.35784313725489,108.5735294117647,0.04065719855193539
EMG0_min,31.0,81.0,-46.25,-24.75,0.04917522564581388
EMG1_min,15.0,53.0,-37.0,-24.75,0.07407407407407408
EMG2_min,29.0,105.0,-53.75,-19.0,0.02185116470830756
EMG3_min,11.0,61.0,-34.25,-17.0,0.04917522564581388
EMG4_min,6.0,119.0,-50.5,-14.0,0.004455583402951824
EMG5_min,8.0,117.0,-102.5,-23.0,0.005772005772005774
EMG6_min,3.0,77.0,-119.5,-37.0,0.023280423280423283
EMG7_min,7.0,46.0,-98.5,-41.75,0.07142857142857142
Accl0_min,13.0,24.0,0.55615275,0.610474,0.3121693121693122
Accl1_min,6.0,19.0,-0.706909,-0.6053465,0.2630385487528345
Accl2_min,0.0,3.0,0.29016175,0.34191925,1.0
Gyr0_min,3.0,12.0,-22.921875,-15.875,0.38095238095238093
Gyr1_min,0.0,55.0,-54.59375,-20.1875,0.04195011337868481
Gyr2_min,5.0,28.0,-54.5625,-28.875,0.14021164021164023
Orien0_min,0.0,7.0,62.0,64.0,0.48412698412698413
Orien1_min,74.0,112.0,40.0,44.0,0.07407407407407408
Orien2_min,22.0,89.0,94.0,106.25,0.028944911297852476
EMG0_max,38.0,120.0,21.0,76.75,0.017976668579078217
EMG1_max,29.0,111.0,11.75,36.25,0.017976668579078217
EMG2_max,54.0,104.0,26.0,53.5,0.04917522564581388
EMG3_max,83.0,117.0,17.0,33.0,0.08616780045351474
EMG4_max,32.0,95.0,17.0,32.0,0.03273809523809524
EMG5_max,8.0,66.0,21.75,51.25,0.03820285176217379
EMG6_max,4.0,117.0,20.75,99.0,0.004455583402951824
EMG7_max,82.0,117.0,34.75,78.25,0.08289241622574955
Accl0_max,45.0,112.0,0.76000975,0.827759,0.028944911297852476
Accl1_max,40.0,89.0,-0.393066,-0.3188475,0.050793650793650794
Accl2_max,117.0,129.0,0.67578125,0.78430175,0.2857142857142857
Gyr0_max,126.0,129.0,35.140625,60.1875,1.0
Gyr1_max,124.0,129.0,46.484375,71.671875,0.6560846560846562
Gyr2_max,64.0,121.0,13.78125,37.15625,0.039408866995073885
Orien0_max,93.0,103.0,73.0,75.0,0.3434343434343434
Orien1_max,103.0,113.0,48.0,51.25,0.3434343434343434
Orien2_max,55.0,100.0,104.0,118.25,0.057971014492753624
EMG0_stdev,55.0,95.0,11.181095735891969,16.141450203371,0.0689121176926055
EMG1_stdev,51.0,97.0,6.923414818062379,10.800252038522132,0.056062141168524156
EMG2_stdev,40.0,63.0,8.793415057112112,11.345802230526079,0.14021164021164023
EMG3_stdev,94.0,99.0,7.7602608295761915,8.342411059053612,0.6560846560846562
EMG4_stdev,10.0,87.0,5.61374180387395,10.823107099062867,0.021164021164021166
EMG5_stdev,9.0,78.0,7.531777288775428,19.409663550191702,0.0272108843537415
EMG6_stdev,43.0,98.0,15.356227497187053,28.285146141227823,0.04195011337868481
EMG7_stdev,80.0,111.0,13.488416982454158,22.388907502486667,0.09722222222222222
Accl0_stdev,109.0,120.0,0.034554033355601796,0.048998237596371404,0.3121693121693122
Accl1_stdev,117.0,124.0,0.05959478543286545,0.08864403676192784,0.48412698412698413
Accl2_stdev,126.0,129.0,0.07483057643941529,0.10362084271638833,1.0
Gyr0_stdev,126.0,129.0,8.646047260181284,13.136897630190072,1.0
Gyr1_stdev,124.0,127.0,16.740439619631232,19.787135058482757,1.0
Gyr2_stdev,91.0,123.0,7.103533361008891,14.6672907490462,0.09331409331409332
Orien0_stdev,124.0,129.0,2.676486328894133,4.259476110963108,0.6560846560846562
Orien1_stdev,95.0,116.0,1.7896969714666722,2.751871882815459,0.15584415584415584
Orien2_stdev,116.0,121.0,2.4647299195692134,3.2377150364928187,0.6560846560846562
EMG0_energy,54.0,94.0,6239.75,12975.0,0.0689121176926055
EMG1_energy,55.0,94.0,2835.25,5863.0,0.07142857142857142
EMG2_energy,39.0,63.0,3888.75,6440.25,0.13333333333333333
EMG3_energy,93.0,98.0,3022.75,3518.75,0.6560846560846562
EMG4_energy,7.0,87.0,1603.75,5883.75,0.019204389574759947
EMG5_energy,8.0,78.0,2919.5,18888.0,0.02638050525374469
EMG6_energy,42.0,98.0,11752.25,40016.25,0.04065719855193539
EMG7_energy,79.0,112.0,9022.75,25636.75,0.0896358543417367
Accl0_energy,10.0,25.0,21.454173300011504,23.772671124645754,0.2261904761904762
Accl1_energy,62.0,107.0,9.337696312519249,12.68993832019825,0.057971014492753624
Accl2_energy,108.0,117.0,16.816401283433,18.414190597805504,0.38095238095238093
Gyr0_energy,126.0,129.0,3775.78125,9223.21875,1.0
Gyr1_energy,124.0,127.0,14359.06640625,19751.3359375,1.0
Gyr2_energy,90.0,123.0,2687.103515625,11529.1103515625,0.0896358543417367
Orien0_energy,60.0,93.0,241765.25,260593.0,0.0896358543417367
Orien1_energy,103.0,118.0,103598.5,117542.5,0.2261904761904762
Orien2_energy,28.0,84.0,483807.25,601748.25,0.04065719855193539
