Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,15.0,35.0,-2.0049019607843137,-1.4264705882352944,0.16477702191987906
EMG1_mean,24.0,72.0,-1.6470588235294117,-0.7745098039215687,0.05247813411078717
EMG2_mean,32.0,78.0,-2.019607843137255,-0.6470588235294118,0.056062141168524156
EMG3_mean,11.0,73.0,-1.96078431372549,-0.7205882352941176,0.03376165280927186
EMG4_mean,7.0,103.0,-2.9705882352941178,0.14705882352941177,0.010800196367206673
EMG5_mean,10.0,123.0,-3.549019607843137,4.5,0.004455583402951824
EMG6_mean,20.0,94.0,-2.980392156862745,0.6666666666666666,0.023280423280423283
EMG7_mean,36.0,105.0,-1.9460784313725492,0.14215686274509803,0.0272108843537415
Accl0_mean,47.0,80.0,0.7137618725490193,0.7429773186274509,0.0896358543417367
Accl1_mean,34.0,56.0,-0.477788,-0.4454633039215686,0.147688060731539
Accl2_mean,40.0,58.0,0.4914311519607843,0.510562681372549,0.18546365914786966
Gyr0_mean,60.0,111.0,0.4420955882352941,1.1363357843137254,0.047619047619047616
Gyr1_mean,21.0,50.0,-3.392463235294118,-2.5830269607843137,0.10582010582010581
Gyr2_mean,60.0,102.0,-0.6409313725490196,0.4264705882352941,0.06423034330011074
Orien0_mean,28.0,47.0,67.16176470588235,68.24019607843138,0.1746031746031746
Orien1_mean,47.0,81.0,40.1764705882353,42.58333333333333,0.08616780045351474
Orien2_mean,107.0,120.0,118.04411764705881,126.58333333333333,0.2630385487528345
EMG0_min,13.0,74.0,-65.25,-26.75,0.03481822836661546
EMG1_min,31.0,76.0,-29.0,-19.75,0.057971014492753624
EMG2_min,62.0,120.0,-32.0,-15.0,0.03820285176217379
EMG3_min,34.0,124.0,-23.0,-10.0,0.01360544217687075
EMG4_min,35.0,106.0,-30.0,-16.0,0.02557319223985891
EMG5_min,37.0,79.0,-61.25,-37.0,0.06423034330011074
EMG6_min,37.0,111.0,-62.0,-27.5,0.023280423280423283
EMG7_min,63.0,104.0,-30.5,-17.0,0.06651549508692366
Accl0_min,65.0,97.0,0.6776120000000001,0.719238,0.09331409331409332
Accl1_min,51.0,64.0,-0.548462,-0.52050775,0.2630385487528345
Accl2_min,16.0,60.0,0.39489775,0.457642,0.059964726631393295
Gyr0_min,74.0,97.0,-5.0,-3.1875,0.14021164021164023
Gyr1_min,14.0,88.0,-32.03125,-13.546875,0.023280423280423283
Gyr2_min,43.0,114.0,-23.625,-6.984375,0.02557319223985891
Orien0_min,47.0,79.0,67.0,68.0,0.09331409331409332
Orien1_min,61.0,98.0,39.0,42.0,0.07685881370091896
Orien2_min,107.0,118.0,114.75,124.0,0.3121693121693122
EMG0_max,67.0,122.0,31.0,86.25,0.04195011337868481
EMG1_max,18.0,95.0,10.0,29.25,0.021164021164021166
EMG2_max,1.0,45.0,5.0,25.0,0.059964726631393295
EMG3_max,0.0,27.0,5.0,10.25,0.11564625850340138
EMG4_max,5.0,69.0,9.75,25.0,0.031746031746031744
EMG5_max,21.0,95.0,27.0,69.0,0.023280423280423283
EMG6_max,12.0,103.0,25.0,85.0,0.01311249137336094
EMG7_max,7.0,57.0,9.75,27.25,0.04917522564581388
Accl0_max,21.0,80.0,0.736694,0.79309075,0.037037037037037035
Accl1_max,40.0,87.0,-0.393066,-0.32482875,0.05423280423280424
Accl2_max,34.0,70.0,0.533203,0.5902102499999999,0.07979407979407979
Gyr0_max,38.0,115.0,8.046875,18.78125,0.021164021164021166
Gyr1_max,3.0,81.0,0.90625,9.671875,0.020494273658830626
Gyr2_max,80.0,112.0,16.625,27.046875,0.09331409331409332
Orien0_max,33.0,40.0,69.0,69.0,0.48412698412698413
Orien1_max,38.0,68.0,41.0,44.25,0.10138248847926266
Orien2_max,104.0,118.0,119.0,127.0,0.24338624338624337
EMG0_stdev,69.0,117.0,12.297419476522482,24.42246545476511,0.05247813411078717
EMG1_stdev,48.0,91.0,6.522468837734749,10.533511123402326,0.06204906204906205
EMG2_stdev,3.0,30.0,4.109261350589593,7.460102664182895,0.11564625850340138
EMG3_stdev,2.0,44.0,3.3772016388389705,5.700635642563423,0.06423034330011074
EMG4_stdev,7.0,69.0,5.575273062479327,9.471804937602908,0.03376165280927186
EMG5_stdev,19.0,95.0,10.810321080827695,23.712014619280325,0.02185116470830756
EMG6_stdev,11.0,82.0,10.573446628224724,23.14433376280888,0.02557319223985891
EMG7_stdev,16.0,52.0,6.179624646263483,9.994528340898912,0.07979407979407979
Accl0_stdev,10.0,70.0,0.010172984037221607,0.01949816402450128,0.035909445745511324
Accl1_stdev,32.0,85.0,0.01757567171798062,0.03179641834632832,0.04467960023515579
Accl2_stdev,64.0,95.0,0.019546066059643,0.025970860480760544,0.09722222222222222
Gyr0_stdev,31.0,93.0,2.1764280165841186,3.7838943743864744,0.03376165280927186
Gyr1_stdev,30.0,96.0,3.3939682538810416,6.956669836534207,0.02985074626865672
Gyr2_stdev,25.0,93.0,3.4148551312573305,7.449003052221521,0.0280653324131585
Orien0_stdev,36.0,60.0,0.42725291013809147,0.5677302047534858,0.13333333333333333
Orien1_stdev,6.0,50.0,0.4754606696536886,1.020760426424507,0.059964726631393295
Orien2_stdev,80.0,94.0,1.0420452595778935,1.3896255787720617,0.24338624338624337
EMG0_energy,68.0,117.0,7590.75,29958.0,0.050793650793650794
EMG1_energy,47.0,89.0,2150.75,5697.75,0.06423034330011074
EMG2_energy,2.0,28.0,927.25,2803.5,0.12110523221634333
EMG3_energy,2.0,53.0,620.75,1823.5,0.047619047619047616
EMG4_energy,10.0,77.0,1695.0,4927.25,0.028944911297852476
EMG5_energy,20.0,95.0,6489.5,28794.5,0.022556390977443608
EMG6_energy,14.0,81.0,6042.25,26871.75,0.028944911297852476
EMG7_energy,13.0,53.0,1896.5,5146.5,0.0689121176926055
Accl0_energy,47.0,80.0,25.989855107410506,28.17340737488201,0.0896358543417367
Accl1_energy,72.0,94.0,10.1192224054295,11.686332315983998,0.147688060731539
Accl2_energy,40.0,58.0,12.335349106052751,13.314156678826256,0.18546365914786966
Gyr0_energy,27.0,92.0,246.21484375,771.8134765625,0.030784030784030785
Gyr1_energy,50.0,97.0,1160.072265625,2737.58984375,0.05423280423280424
Gyr2_energy,22.0,91.0,584.6943359375,2814.931640625,0.0272108843537415
Orien0_energy,29.0,47.0,230157.0,237502.25,0.18546365914786966
Orien1_energy,46.0,80.0,82186.0,92375.5,0.08616780045351474
Orien2_energy,107.0,120.0,710728.25,817271.25,0.2630385487528345
