Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,11.0,128.0,-2.13235294117647,5.911764705882353,0.0032284100080710236
EMG1_mean,5.0,115.0,-2.823529411764706,0.14705882352941177,0.005434005434005435
EMG2_mean,3.0,93.0,-4.156862745098039,-0.0196078431372549,0.01360544217687075
EMG3_mean,25.0,113.0,-1.5098039215686274,0.14215686274509803,0.014624576422329233
EMG4_mean,23.0,86.0,-1.950980392156863,-0.303921568627451,0.03273809523809524
EMG5_mean,5.0,87.0,-4.416666666666666,-0.10784313725490197,0.017976668579078217
EMG6_mean,8.0,91.0,-5.044117647058823,0.6078431372549019,0.017384731670445956
EMG7_mean,42.0,128.0,-1.676470588235294,4.313725490196079,0.015690567414705345
Accl0_mean,12.0,29.0,0.6597613137254903,0.6901496372549021,0.19753086419753088
Accl1_mean,19.0,49.0,-0.4996672450980392,-0.46366372058823535,0.10138248847926266
Accl2_mean,85.0,102.0,0.5469635784313723,0.5617053284313726,0.19753086419753088
Gyr0_mean,59.0,118.0,0.4362745098039216,1.4473039215686274,0.037037037037037035
Gyr1_mean,60.0,85.0,-2.3661151960784315,-1.5487132352941178,0.12698412698412698
Gyr2_mean,26.0,57.0,-1.6446078431372548,-0.6657475490196079,0.09722222222222222
Orien0_mean,50.0,71.0,68.26960784313725,69.29901960784314,0.15584415584415584
Orien1_mean,97.0,115.0,44.28921568627452,46.90196078431373,0.18546365914786966
Orien2_mean,23.0,71.0,95.93627450980392,105.52450980392155,0.05247813411078717
EMG0_min,26.0,96.0,-49.0,-20.0,0.02638050525374469
EMG1_min,26.0,84.0,-31.25,-18.0,0.03820285176217379
EMG2_min,24.0,119.0,-63.0,-15.0,0.011243386243386246
EMG3_min,64.0,127.0,-17.0,-7.75,0.03273809523809524
EMG4_min,41.0,120.0,-29.0,-13.75,0.01984126984126984
EMG5_min,8.0,124.0,-102.5,-13.0,0.0035273368606701955
EMG6_min,25.0,123.0,-70.0,-19.75,0.009940676607343275
EMG7_min,41.0,115.0,-44.0,-13.0,0.023280423280423283
Accl0_min,29.0,37.0,0.61499,0.6262205000000001,0.4268077601410935
Accl1_min,18.0,59.0,-0.60974125,-0.534546,0.06651549508692366
Accl2_min,70.0,104.0,0.464355,0.513306,0.08616780045351474
