Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,0.0,126.0,-5.857843137254902,3.7058823529411766,0.000749906261717284
EMG1_mean,0.0,117.0,-4.901960784313726,0.4068627450980392,0.0032284100080710236
EMG2_mean,4.0,127.0,-4.03921568627451,8.406862745098039,0.0015360983102918574
EMG3_mean,1.0,122.0,-3.5931372549019613,0.9558823529411765,0.002081706999739789
EMG4_mean,4.0,74.0,-3.166666666666666,-0.5882352941176471,0.02638050525374469
EMG5_mean,18.0,92.0,-2.715686274509804,0.27941176470588236,0.023280423280423283
EMG6_mean,29.0,80.0,-2.2450980392156863,0.08823529411764705,0.047619047619047616
EMG7_mean,16.0,98.0,-2.9607843137254903,-0.03431372549019608,0.017976668579078217
Accl0_mean,45.0,86.0,0.7112629754901962,0.7489396323529411,0.06651549508692366
Accl1_mean,16.0,46.0,-0.5032982647058823,-0.4665550833333333,0.10138248847926266
Accl2_mean,12.0,32.0,0.45815145588235284,0.48196949019607843,0.16477702191987906
Gyr0_mean,35.0,119.0,0.17677696078431374,1.5036764705882353,0.016806722689075626
Gyr1_mean,31.0,91.0,-2.991421568627451,-1.3268995098039214,0.035909445745511324
Gyr2_mean,99.0,129.0,0.29013480392156865,4.342524509803921,0.10138248847926266
Orien0_mean,9.0,12.0,66.05392156862746,66.23529411764707,1.0
Orien1_mean,41.0,82.0,39.51960784313726,42.7892156862745,0.06651549508692366
Orien2_mean,112.0,127.0,120.78431372549018,131.82352941176472,0.2261904761904762
EMG0_min,7.0,13.0,-85.25,-61.75,0.5578231292517007
EMG1_min,1.0,21.0,-69.25,-34.0,0.16477702191987906
EMG2_min,6.0,27.0,-92.25,-55.75,0.15584415584415584
EMG3_min,8.0,46.0,-39.25,-19.0,0.07407407407407408
EMG4_min,21.0,94.0,-35.25,-18.0,0.024024024024024024
EMG5_min,117.0,127.0,-23.0,-12.5,0.3434343434343434
EMG6_min,68.0,116.0,-42.25,-23.75,0.05247813411078717
EMG7_min,13.0,34.0,-85.25,-48.5,0.15584415584415584
Accl0_min,69.0,94.0,0.6802975000000001,0.7097169999999999,0.12698412698412698
Accl1_min,37.0,64.0,-0.57531725,-0.5231935,0.11564625850340138
Accl2_min,7.0,45.0,0.36547875,0.4420165,0.07407407407407408
Gyr0_min,24.0,117.0,-11.46875,-2.078125,0.012158054711246204
Gyr1_min,31.0,121.0,-25.6875,-9.0,0.01360544217687075
Gyr2_min,68.0,127.0,-17.546875,-3.921875,0.037037037037037035
Orien0_min,15.0,27.0,65.0,66.0,0.2857142857142857
Orien1_min,17.0,61.0,34.0,39.0,0.059964726631393295
Orien2_min,105.0,127.0,112.0,131.0,0.147688060731539
EMG0_max,109.0,118.0,61.0,75.25,0.38095238095238093
EMG1_max,87.0,129.0,25.75,65.5,0.06423034330011074
EMG2_max,95.0,123.0,40.75,114.5,0.11056376573617951
EMG3_max,97.0,128.0,20.75,53.5,0.09722222222222222
EMG4_max,24.0,72.0,16.0,26.0,0.05247813411078717
EMG5_max,1.0,66.0,12.0,52.0,0.030784030784030785
EMG6_max,2.0,92.0,18.0,70.0,0.01360544217687075
EMG7_max,93.0,113.0,48.75,73.5,0.16477702191987906
Accl0_max,55.0,111.0,0.768066,0.8269042500000001,0.04065719855193539
Accl1_max,24.0,84.0,-0.42846700000000004,-0.33276375,0.035909445745511324
Accl2_max,10.0,18.0,0.49633825,0.516846,0.4268077601410935
Gyr0_max,23.0,69.0,6.875,11.125,0.056062141168524156
Gyr1_max,39.0,106.0,4.90625,15.953125,0.028944911297852476
Gyr2_max,90.0,120.0,18.125,34.5625,0.10138248847926266
Orien0_max,12.0,64.0,67.0,71.0,0.04612159329140461
Orien1_max,38.0,69.0,41.75,45.0,0.09722222222222222
Orien2_max,113.0,126.0,123.0,131.0,0.2630385487528345
EMG0_stdev,116.0,123.0,23.499867654085826,29.548635938308355,0.48412698412698413
EMG1_stdev,115.0,128.0,13.895098634967116,20.522751952566388,0.2630385487528345
EMG2_stdev,109.0,121.0,24.933196770354414,35.57548329431751,0.2857142857142857
EMG3_stdev,110.0,121.0,10.198829644539213,14.561774383341788,0.3121693121693122
EMG4_stdev,36.0,77.0,7.77367863023637,9.795136810228016,0.06651549508692366
EMG5_stdev,1.0,13.0,5.261813618121344,9.674194686054632,0.2857142857142857
EMG6_stdev,21.0,57.0,12.101791468025782,17.010227586101948,0.07979407979407979
EMG7_stdev,101.0,116.0,19.317308408360983,24.129792460166076,0.2261904761904762
Accl0_stdev,68.0,103.0,0.018720148123101875,0.02926843913978216,0.08289241622574955
Accl1_stdev,50.0,114.0,0.02167062383252309,0.05584104289946549,0.031746031746031744
Accl2_stdev,16.0,76.0,0.012497499787330647,0.02108140460049909,0.035909445745511324
Gyr0_stdev,5.0,83.0,1.39117351770281,3.47248510094059,0.020494273658830626
Gyr1_stdev,27.0,72.0,3.317477202685952,5.055106963023384,0.057971014492753624
Gyr2_stdev,65.0,105.0,5.471660752215558,8.822143460065746,0.0689121176926055
Orien0_stdev,21.0,118.0,0.3475403771153649,2.083537199970094,0.01036605118237771
Orien1_stdev,70.0,113.0,1.2269703430990713,2.666424477332904,0.06204906204906205
Orien2_stdev,22.0,123.0,0.501955926266276,3.54278868609052,0.008714596949891065
EMG0_energy,116.0,123.0,28879.5,43686.5,0.48412698412698413
EMG1_energy,117.0,128.0,10480.25,21930.5,0.3121693121693122
EMG2_energy,109.0,123.0,31618.5,69260.75,0.24338624338624337
EMG3_energy,110.0,121.0,5238.5,10666.25,0.3121693121693122
EMG4_energy,35.0,82.0,3013.0,5355.0,0.05423280423280424
EMG5_energy,1.0,12.0,1408.75,4763.25,0.3121693121693122
EMG6_energy,21.0,58.0,7328.25,14754.0,0.07685881370091896
EMG7_energy,101.0,116.0,19016.25,29581.25,0.2261904761904762
Accl0_energy,45.0,86.0,25.82810308817775,28.646774863907755,0.06651549508692366
Accl1_energy,85.0,111.0,11.275913606952999,12.987007846416745,0.12110523221634333
Accl2_energy,11.0,32.0,10.71785747250775,11.858070212791507,0.15584415584415584
Gyr0_energy,5.0,81.0,109.3623046875,607.900390625,0.02185116470830756
Gyr1_energy,27.0,76.0,776.9365234375,1734.271484375,0.050793650793650794
Gyr2_energy,63.0,110.0,1521.177734375,4877.2705078125,0.05423280423280424
Orien0_energy,9.0,13.0,222554.75,224270.0,0.7936507936507936
Orien1_energy,42.0,83.0,80160.75,93617.0,0.06651549508692366
Orien2_energy,112.0,127.0,744502.0,886517.0,0.2261904761904762
