Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,30.0,122.0,-1.5147058823529411,2.6127450980392157,0.01263014166239973
EMG1_mean,30.0,45.0,-1.534313725490196,-1.2892156862745097,0.2261904761904762
EMG2_mean,12.0,63.0,-3.21078431372549,-1.0784313725490196,0.047619047619047616
EMG3_mean,31.0,61.0,-1.2990196078431373,-0.9166666666666667,0.10138248847926266
EMG4_mean,48.0,84.0,-1.1568627450980393,-0.4362745098039216,0.07979407979407979
EMG5_mean,12.0,102.0,-3.1470588235294112,0.7107843137254902,0.01360544217687075
EMG6_mean,42.0,103.0,-1.5980392156862746,1.1421568627450982,0.03481822836661546
EMG7_mean,35.0,91.0,-1.9901960784313726,-0.20098039215686278,0.04065719855193539
Accl0_mean,32.0,100.0,0.6931056617647057,0.7751609019607844,0.0280653324131585
Accl1_mean,14.0,65.0,-0.5041288284313726,-0.42344519607843134,0.047619047619047616
Accl2_mean,8.0,57.0,0.45331645588235303,0.5099475294117647,0.050793650793650794
Gyr0_mean,10.0,85.0,-0.3327205882352941,0.6721813725490196,0.022556390977443608
Gyr1_mean,0.0,55.0,-6.3330269607843155,-2.4310661764705883,0.04195011337868481
Gyr2_mean,33.0,53.0,-1.4025735294117645,-0.7913602941176471,0.16477702191987906
Orien0_mean,15.0,31.0,66.44607843137256,67.55882352941177,0.21101774042950514
Orien1_mean,26.0,98.0,36.995098039215684,44.38235294117648,0.02478799739073712
Orien2_mean,18.0,39.0,94.23039215686276,100.77450980392156,0.15584415584415584
EMG0_min,2.0,85.0,-108.25,-22.75,0.017384731670445956
EMG1_min,58.0,119.0,-24.0,-9.0,0.03481822836661546
EMG2_min,72.0,89.0,-28.5,-24.0,0.19753086419753088
EMG3_min,50.0,129.0,-19.0,-7.25,0.01984126984126984
EMG4_min,38.0,117.0,-29.0,-14.0,0.01984126984126984
EMG5_min,56.0,105.0,-46.0,-28.0,0.050793650793650794
EMG6_min,35.0,128.0,-62.75,-11.5,0.012158054711246204
EMG7_min,2.0,61.0,-124.75,-32.75,0.037037037037037035
Accl0_min,8.0,96.0,0.53308075,0.718872,0.014624576422329233
Accl1_min,14.0,65.0,-0.6239015,-0.51867675,0.047619047619047616
Accl2_min,8.0,88.0,0.37060550000000003,0.49023425,0.019204389574759947
Gyr0_min,43.0,110.0,-7.875,-2.484375,0.028944911297852476
Gyr1_min,2.0,86.0,-44.921875,-13.5625,0.016806722689075626
Gyr2_min,9.0,97.0,-40.796875,-10.9375,0.014624576422329233
Orien0_min,25.0,45.0,65.75,67.0,0.16477702191987906
Orien1_min,19.0,112.0,34.75,44.0,0.012158054711246204
Orien2_min,12.0,47.0,90.0,100.0,0.08289241622574955
EMG0_max,70.0,128.0,32.0,111.75,0.03820285176217379
EMG1_max,2.0,110.0,4.75,36.0,0.006116207951070335
EMG2_max,10.0,85.0,12.0,37.0,0.022556390977443608
EMG3_max,6.0,104.0,7.0,23.0,0.009940676607343275
EMG4_max,6.0,79.0,10.75,28.0,0.024024024024024024
EMG5_max,15.0,107.0,25.0,78.25,0.01263014166239973
EMG6_max,7.0,107.0,22.75,87.25,0.009115197234009116
EMG7_max,78.0,127.0,33.75,127.0,0.050793650793650794
Accl0_max,11.0,86.0,0.72045875,0.79968225,0.022556390977443608
Accl1_max,12.0,44.0,-0.46386725,-0.38806175,0.09331409331409332
Accl2_max,14.0,94.0,0.50061075,0.617676,0.019204389574759947
Gyr0_max,0.0,69.0,2.609375,11.125,0.0272108843537415
Gyr1_max,16.0,101.0,2.734375,14.109375,0.0162421557770395
Gyr2_max,14.0,95.0,4.984375,20.1875,0.01858304297328688
Orien0_max,25.0,49.0,68.0,69.25,0.13333333333333333
Orien1_max,26.0,119.0,39.0,54.25,0.012158054711246204
