Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,2.0,130.0,-4.284313725490196,6.245098039215685,0.0006152331733727094
EMG1_mean,10.0,117.0,-2.3235294117647056,0.23039215686274508,0.008450911228689007
EMG2_mean,13.0,115.0,-3.019607843137255,1.230392156862745,0.010787486515641858
EMG3_mean,0.0,113.0,-4.318627450980394,0.13725490196078433,0.00591757170704539
EMG4_mean,0.0,126.0,-5.745098039215685,1.1470588235294117,0.0012498437695288066
EMG5_mean,55.0,120.0,-1.0833333333333333,2.7401960784313726,0.03908128908128908
EMG6_mean,49.0,118.0,-1.1715686274509802,2.9950980392156863,0.03458049886621316
EMG7_mean,0.0,130.0,-11.470588235294118,5.529411764705883,0.0
Accl0_mean,107.0,130.0,0.7790767401960785,0.8502412647058823,0.17691798941798942
Accl1_mean,118.0,125.0,-0.25793697549019606,-0.20755307843137252,0.6101190476190477
Accl2_mean,6.0,96.0,0.4520240049019607,0.5571886862745099,0.01744287458573173
Gyr0_mean,8.0,79.0,-0.49479166666666663,0.6127450980392157,0.032517636684303346
Gyr1_mean,105.0,121.0,-0.6020220588235294,0.8023897058823529,0.2661064425770308
Gyr2_mean,40.0,80.0,-1.1237745098039216,-0.15900735294117646,0.08710801393728224
Orien0_mean,114.0,122.0,76.71078431372548,77.79901960784315,0.5379188712522045
Orien1_mean,0.0,30.0,29.328431372549016,37.686274509803916,0.12800819252432155
Orien2_mean,38.0,49.0,100.48529411764707,101.75,0.39351851851851855
EMG0_min,0.0,10.0,-130.5,-77.25,0.4329004329004329
EMG1_min,0.0,11.0,-74.25,-39.75,0.39351851851851855
EMG2_min,26.0,64.0,-59.5,-31.0,0.09361009361009362
EMG3_min,0.0,60.0,-66.0,-18.0,0.04553734061930783
EMG4_min,0.0,83.0,-102.5,-20.0,0.022203325774754343
EMG5_min,64.0,107.0,-43.0,-26.0,0.07846320346320347
EMG6_min,62.0,108.0,-45.0,-29.0,0.07092198581560283
EMG7_min,0.0,5.0,-128.25,-100.75,0.8267195767195767
Accl0_min,99.0,130.0,0.719238,0.8194579999999999,0.12276785714285714
Accl1_min,109.0,130.0,-0.40258774999999997,-0.24548325,0.19660894660894662
Accl2_min,6.0,101.0,0.35510275,0.51147425,0.014467592592592594
Gyr0_min,19.0,92.0,-13.0,-3.6875,0.030566280566280562
Gyr1_min,29.0,127.0,-28.0,-7.171875,0.012826679493346158
Gyr2_min,60.0,119.0,-19.203125,-6.078125,0.046957671957671955
Orien0_min,115.0,121.0,76.0,76.0,0.7029478458049886
Orien1_min,0.0,33.0,28.0,36.25,0.11321195144724557
Orien2_min,44.0,57.0,99.75,101.0,0.33163265306122447
EMG0_max,106.0,130.0,58.0,113.25,0.16825396825396824
EMG1_max,107.0,129.0,35.0,60.5,0.1863354037267081
EMG2_max,75.0,113.0,33.75,74.75,0.09361009361009362
EMG3_max,79.0,109.0,17.0,25.0,0.12800819252432155
EMG4_max,66.0,123.0,24.0,49.5,0.049945265462506834
EMG5_max,31.0,92.0,34.75,66.0,0.044162826420890935
EMG6_max,34.0,78.0,37.0,61.25,0.07583774250440917
EMG7_max,125.0,130.0,108.25,127.0,0.8267195767195767
Accl0_max,93.0,130.0,0.80493175,0.89782725,0.09711779448621553
Accl1_max,114.0,128.0,-0.22045925,-0.14172400000000002,0.30687830687830686
Accl2_max,8.0,106.0,0.48718275,0.650757,0.012826679493346158
Gyr0_max,59.0,101.0,9.984375,14.53125,0.0812107788851975
Gyr1_max,46.0,120.0,5.484375,31.140625,0.029629629629629624
Gyr2_max,8.0,45.0,3.265625,10.140625,0.09711779448621553
Orien0_max,109.0,117.0,76.75,78.0,0.5379188712522045
Orien1_max,0.0,33.0,30.75,40.0,0.11321195144724557
Orien2_max,40.0,48.0,102.0,103.0,0.5379188712522045
EMG0_stdev,126.0,130.0,30.942175561023717,48.649584196860815,1.0
EMG1_stdev,119.0,130.0,14.513684513918257,21.396467883803766,0.39351851851851855
EMG2_stdev,81.0,104.0,13.111897658895334,20.090033479096753,0.17691798941798942
EMG3_stdev,102.0,120.0,8.862687624585421,12.730875045665275,0.23391812865497075
EMG4_stdev,68.0,128.0,9.355619533671717,20.903625766121504,0.04553734061930783
EMG5_stdev,35.0,86.0,13.320301639161803,21.22871463562807,0.06028693528693529
EMG6_stdev,38.0,78.0,14.959781872994652,22.18355236684049,0.08710801393728224
EMG7_stdev,126.0,130.0,45.124104732184826,67.78724243535544,1.0
Accl0_stdev,0.0,70.0,0.006983442719201643,0.019172890652881486,0.03353454057679409
Accl1_stdev,8.0,78.0,0.01299773964632771,0.027803035604617145,0.03353454057679409
Accl2_stdev,11.0,95.0,0.011588535585444978,0.02555165416491556,0.021475256769374416
Gyr0_stdev,49.0,106.0,2.447417269147264,4.122676510162885,0.049945265462506834
Gyr1_stdev,12.0,101.0,2.4531489079188646,7.492583064804917,0.018077601410934743
Gyr2_stdev,1.0,58.0,2.208249716252859,4.936947212970809,0.049945265462506834
Orien0_stdev,7.0,84.0,0.21323355983650155,0.7840315431012503,0.026963776963776966
Orien1_stdev,2.0,64.0,0.3034556176245889,1.138360101637063,0.04283194759385236
Orien2_stdev,16.0,64.0,0.48078597445974747,0.8776081576827852,0.06640751538710722
EMG0_energy,126.0,130.0,48572.0,119197.0,1.0
EMG1_energy,119.0,130.0,10867.75,23207.5,0.39351851851851855
EMG2_energy,81.0,104.0,8860.0,20406.0,0.17691798941798942
EMG3_energy,102.0,121.0,3954.5,9280.0,0.22023809523809523
EMG4_energy,66.0,129.0,4376.75,23266.0,0.04154265873015873
EMG5_energy,35.0,88.0,8879.0,23080.25,0.056584362139917695
EMG6_energy,38.0,78.0,11233.0,25062.75,0.08710801393728224
EMG7_energy,126.0,130.0,104129.0,235534.0,1.0
Accl0_energy,107.0,130.0,30.967275849895756,36.875649585606006,0.17691798941798942
Accl1_energy,4.0,12.0,2.1987897228515005,3.43039760435925,0.5379188712522045
Accl2_energy,6.0,96.0,10.435185970638752,15.8537469292915,0.01744287458573173
Gyr0_energy,46.0,102.0,317.0458984375,865.9169921875,0.05151768309663046
Gyr1_energy,4.0,99.0,314.2158203125,2894.38671875,0.014467592592592594
Gyr2_energy,1.0,55.0,248.3544921875,1249.1826171875,0.054834054834054825
Orien0_energy,114.0,122.0,300124.75,308704.25,0.5379188712522045
Orien1_energy,0.0,30.0,43865.75,72503.5,0.12800819252432155
Orien2_energy,38.0,49.0,514995.75,528019.75,0.39351851851851855
